phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	one-core	typerb-native	pass	0			5.181303122999964	5.17926	1216512
warmup	1	0	2	spectral-norm	one-core	typerb-go	pass	0			5.647800881999956	5.630457	7213056
warmup	1	0	3	spectral-norm	one-core	c	pass	0			1.7880008729999872	1.785607	696320
warmup	1	0	4	spectral-norm	one-core	cpp	pass	0			1.8389810539999871	1.836778	688128
warmup	1	0	5	spectral-norm	one-core	go	pass	0			3.21777473100002	3.213039	3944448
warmup	1	0	6	spectral-norm	one-core	rust	pass	0			1.7986218469999926	1.795226	1421312
warmup	1	0	7	spectral-norm	one-core	java	pass	0			1.941880900000001	1.890162	50057216
warmup	2	0	1	spectral-norm	one-core	typerb-go	pass	0			5.640909276000002	5.630288	7196672
warmup	2	0	2	spectral-norm	one-core	c	pass	0			1.788288351999995	1.785718	692224
warmup	2	0	3	spectral-norm	one-core	cpp	pass	0			1.839521660999992	1.836954	925696
warmup	2	0	4	spectral-norm	one-core	go	pass	0			3.2192537640000296	3.213084	3903488
warmup	2	0	5	spectral-norm	one-core	rust	pass	0			1.7983199030000492	1.795387	1441792
warmup	2	0	6	spectral-norm	one-core	java	pass	0			1.934376439999994	1.890986	50040832
warmup	2	0	7	spectral-norm	one-core	typerb-native	pass	0			5.180185187999996	5.177882	1368064
retained	3	1	1	spectral-norm	one-core	c	pass	0			1.7886036319999903	1.786008	946176
retained	3	1	2	spectral-norm	one-core	cpp	pass	0			1.8392784060000054	1.837023	937984
retained	3	1	3	spectral-norm	one-core	go	pass	0			3.2205493769999975	3.213283	3928064
retained	3	1	4	spectral-norm	one-core	rust	pass	0			1.7985327499999926	1.795517	1445888
retained	3	1	5	spectral-norm	one-core	java	pass	0			1.9312728470000025	1.889195	50311168
retained	3	1	6	spectral-norm	one-core	typerb-native	pass	0			5.181121674999986	5.178188	1363968
retained	3	1	7	spectral-norm	one-core	typerb-go	pass	0			5.634698804000038	5.629572	7278592
retained	4	2	1	spectral-norm	one-core	cpp	pass	0			1.839848059000019	1.837054	946176
retained	4	2	2	spectral-norm	one-core	go	pass	0			3.2227696429999924	3.212999	3702784
retained	4	2	3	spectral-norm	one-core	rust	pass	0			1.7996221650000166	1.795724	1540096
retained	4	2	4	spectral-norm	one-core	java	pass	0			1.9312283900000011	1.890082	50302976
retained	4	2	5	spectral-norm	one-core	typerb-native	pass	0			5.179557820999946	5.177434	1220608
retained	4	2	6	spectral-norm	one-core	typerb-go	pass	0			5.635925739000015	5.629539	6938624
retained	4	2	7	spectral-norm	one-core	c	pass	0			1.7879842460000077	1.785544	700416
retained	5	3	1	spectral-norm	one-core	go	pass	0			3.2170768729999963	3.212855	3960832
retained	5	3	2	spectral-norm	one-core	rust	pass	0			1.7984516569999869	1.795094	1449984
retained	5	3	3	spectral-norm	one-core	java	pass	0			1.932625951000034	1.889527	50311168
retained	5	3	4	spectral-norm	one-core	typerb-native	pass	0			5.179384733999996	5.177195	1216512
