phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	baseline	pass	0			0.5289962500000058	0.527204	421888
warmup	1	0	2	fannkuch-redux	candidate	pass	0			0.5294588520000048	0.527637	421888
warmup	2	0	1	fannkuch-redux	candidate	pass	0			0.5292362029999822	0.527437	417792
warmup	2	0	2	fannkuch-redux	baseline	pass	0			0.5296284329999992	0.527586	425984
retained	3	1	1	fannkuch-redux	baseline	pass	0			0.5294146969999929	0.527334	425984
retained	3	1	2	fannkuch-redux	candidate	pass	0			0.5293558720000249	0.527334	430080
retained	4	2	1	fannkuch-redux	candidate	pass	0			0.5294449149999991	0.527395	425984
retained	4	2	2	fannkuch-redux	baseline	pass	0			0.5292612220000024	0.527286	409600
retained	5	3	1	fannkuch-redux	baseline	pass	0			0.5295155430000023	0.527652	430080
retained	5	3	2	fannkuch-redux	candidate	pass	0			0.5297180609999828	0.527409	425984
retained	6	4	1	fannkuch-redux	candidate	pass	0			0.5292852769999854	0.527495	442368
retained	6	4	2	fannkuch-redux	baseline	pass	0			0.5293659600000069	0.527489	438272
retained	7	5	1	fannkuch-redux	baseline	pass	0			0.5292420119999974	0.527365	438272
retained	7	5	2	fannkuch-redux	candidate	pass	0			0.5294007370000031	0.527302	425984
retained	8	6	1	fannkuch-redux	candidate	pass	0			0.5292120869999906	0.527287	425984
retained	8	6	2	fannkuch-redux	baseline	pass	0			0.529639622000019	0.527739	430080
retained	9	7	1	fannkuch-redux	baseline	pass	0			0.5300259400000016	0.527912	425984
retained	9	7	2	fannkuch-redux	candidate	pass	0			0.5295407229999967	0.527472	430080
retained	10	8	1	fannkuch-redux	candidate	pass	0			0.5293850059999841	0.527334	434176
retained	10	8	2	fannkuch-redux	baseline	pass	0			0.5297489379999831	0.527572	524288
retained	11	9	1	fannkuch-redux	baseline	pass	0			0.5297756109999909	0.527455	524288
retained	11	9	2	fannkuch-redux	candidate	pass	0			0.5295898769999781	0.527736	524288
retained	12	10	1	fannkuch-redux	candidate	pass	0			0.5298649020000141	0.527316	524288
retained	12	10	2	fannkuch-redux	baseline	pass	0			0.5289709870000081	0.527283	442368
retained	13	11	1	fannkuch-redux	baseline	pass	0			0.5291730049999899	0.527295	524288
retained	13	11	2	fannkuch-redux	candidate	pass	0			0.5291981579999856	0.527275	524288
