phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	baseline	pass	0			0.26854165899999316	0.266527	524288
warmup	1	0	2	n-body	candidate	pass	0			0.2684490789999927	0.266761	524288
warmup	2	0	1	n-body	candidate	pass	0			0.26894376300001	0.267046	524288
warmup	2	0	2	n-body	baseline	pass	0			0.2687635890000024	0.266756	524288
retained	3	1	1	n-body	baseline	pass	0			0.2688494160000232	0.266789	524288
retained	3	1	2	n-body	candidate	pass	0			0.26877374199997917	0.266632	524288
retained	4	2	1	n-body	candidate	pass	0			0.2690363019999893	0.267055	524288
retained	4	2	2	n-body	baseline	pass	0			0.26853618999999185	0.266674	524288
retained	5	3	1	n-body	baseline	pass	0			0.26905923999999004	0.267005	524288
retained	5	3	2	n-body	candidate	pass	0			0.2689805810000223	0.267086	524288
retained	6	4	1	n-body	candidate	pass	0			0.26866104199999086	0.266741	524288
retained	6	4	2	n-body	baseline	pass	0			0.2693871150000007	0.267064	524288
retained	7	5	1	n-body	baseline	pass	0			0.26861315200000035	0.266847	524288
retained	7	5	2	n-body	candidate	pass	0			0.26887868200000753	0.26708	524288
retained	8	6	1	n-body	candidate	pass	0			0.26884996800001204	0.266796	524288
retained	8	6	2	n-body	baseline	pass	0			0.2689207310000086	0.266533	524288
retained	9	7	1	n-body	baseline	pass	0			0.26898704500001713	0.267052	524288
retained	9	7	2	n-body	candidate	pass	0			0.269288744000022	0.267117	524288
retained	10	8	1	n-body	candidate	pass	0			0.26892577099999926	0.266801	524288
retained	10	8	2	n-body	baseline	pass	0			0.26894596899998646	0.267041	524288
retained	11	9	1	n-body	baseline	pass	0			0.26862092500002177	0.266808	524288
retained	11	9	2	n-body	candidate	pass	0			0.26929290100000003	0.266997	524288
retained	12	10	1	n-body	candidate	pass	0			0.26906593299997894	0.266815	524288
retained	12	10	2	n-body	baseline	pass	0			0.2688675579999824	0.266736	524288
retained	13	11	1	n-body	baseline	pass	0			0.2688674860000049	0.266728	503808
retained	13	11	2	n-body	candidate	pass	0			0.26904910799999016	0.266846	524288
