phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	baseline	pass	0			8.324908522999976	8.321789	1200128
warmup	1	0	2	spectral-norm	candidate	pass	0			6.0114663190000215	6.008599	1216512
warmup	2	0	1	spectral-norm	candidate	pass	0			6.007921177000014	6.004716	1208320
warmup	2	0	2	spectral-norm	baseline	pass	0			8.324231155999996	8.320969	1257472
retained	3	1	1	spectral-norm	baseline	pass	0			8.324465641000018	8.321389	1212416
retained	3	1	2	spectral-norm	candidate	pass	0			6.0072558319999985	6.004494	1257472
retained	4	2	1	spectral-norm	candidate	pass	0			6.012221249999982	6.0086	1212416
retained	4	2	2	spectral-norm	baseline	pass	0			8.325144205000015	8.322204	1208320
retained	5	3	1	spectral-norm	baseline	pass	0			8.325086469999974	8.322114	1212416
retained	5	3	2	spectral-norm	candidate	pass	0			6.009295732999988	6.005624	1208320
retained	6	4	1	spectral-norm	candidate	pass	0			6.006508793999956	6.003537	1208320
retained	6	4	2	spectral-norm	baseline	pass	0			8.325217165999959	8.322108	1294336
retained	7	5	1	spectral-norm	baseline	pass	0			8.326067238000007	8.323085	1204224
retained	7	5	2	spectral-norm	candidate	pass	0			6.00901804800003	6.006385	1232896
retained	8	6	1	spectral-norm	candidate	pass	0			6.011634529000048	6.007714	1208320
retained	8	6	2	spectral-norm	baseline	pass	0			8.32327146900002	8.320322	1368064
retained	9	7	1	spectral-norm	baseline	pass	0			8.323323750999975	8.320386	1212416
retained	9	7	2	spectral-norm	candidate	pass	0			6.008751843000027	6.005787	1200128
retained	10	8	1	spectral-norm	candidate	pass	0			6.010454288999995	6.007856	1200128
retained	10	8	2	spectral-norm	baseline	pass	0			8.324315735000027	8.321097	1212416
retained	11	9	1	spectral-norm	baseline	pass	0			8.32585859599999	8.322586	1376256
retained	11	9	2	spectral-norm	candidate	pass	0			6.009331946000032	6.006448	1208320
retained	12	10	1	spectral-norm	candidate	pass	0			6.00763882800004	6.003296	1208320
retained	12	10	2	spectral-norm	baseline	pass	0			8.324136189	8.320954	1372160
retained	13	11	1	spectral-norm	baseline	pass	0			8.326554283999997	8.32251	1290240
retained	13	11	2	spectral-norm	candidate	pass	0			6.008296788999985	6.005803	1224704
