phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	baseline	pass	0			0.5298783619999767	0.527767	413696
warmup	1	0	2	fannkuch-redux	candidate	pass	0			0.5155846329999747	0.512916	442368
warmup	2	0	1	fannkuch-redux	candidate	pass	0			0.5157825430000003	0.513164	430080
warmup	2	0	2	fannkuch-redux	baseline	pass	0			0.5304136670000048	0.527767	524288
retained	3	1	1	fannkuch-redux	baseline	pass	0			0.5302817109999864	0.527922	524288
retained	3	1	2	fannkuch-redux	candidate	pass	0			0.515154898999981	0.512774	524288
retained	4	2	1	fannkuch-redux	candidate	pass	0			0.5148104879999948	0.512524	524288
retained	4	2	2	fannkuch-redux	baseline	pass	0			0.5297791870000026	0.52769	524288
retained	5	3	1	fannkuch-redux	baseline	pass	0			0.5303056529999992	0.527672	524288
retained	5	3	2	fannkuch-redux	candidate	pass	0			0.5149475480000092	0.512889	524288
retained	6	4	1	fannkuch-redux	candidate	pass	0			0.5145553270000107	0.512512	524288
retained	6	4	2	fannkuch-redux	baseline	pass	0			0.5295736930000032	0.527528	524288
retained	7	5	1	fannkuch-redux	baseline	pass	0			0.530095437	0.527907	524288
retained	7	5	2	fannkuch-redux	candidate	pass	0			0.5148910430000058	0.512628	524288
retained	8	6	1	fannkuch-redux	candidate	pass	0			0.5149058190000062	0.512618	524288
retained	8	6	2	fannkuch-redux	baseline	pass	0			0.5305002100000138	0.527966	524288
retained	9	7	1	fannkuch-redux	baseline	pass	0			0.5297267280000142	0.527771	524288
retained	9	7	2	fannkuch-redux	candidate	pass	0			0.5149345089999997	0.512595	524288
retained	10	8	1	fannkuch-redux	candidate	pass	0			0.5149359650000065	0.512836	524288
retained	10	8	2	fannkuch-redux	baseline	pass	0			0.5299856099999829	0.527651	524288
retained	11	9	1	fannkuch-redux	baseline	pass	0			0.5296845129999781	0.527624	524288
retained	11	9	2	fannkuch-redux	candidate	pass	0			0.5146492199999955	0.512423	524288
retained	12	10	1	fannkuch-redux	candidate	pass	0			0.5145980010000244	0.512583	524288
retained	12	10	2	fannkuch-redux	baseline	pass	0			0.5298073100000238	0.527712	524288
retained	13	11	1	fannkuch-redux	baseline	pass	0			0.5302560760000006	0.528035	524288
retained	13	11	2	fannkuch-redux	candidate	pass	0			0.515728509000013	0.513252	524288
