phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	baseline	pass	0			0.26958832500000085	0.267071	524288
warmup	1	0	2	n-body	candidate	pass	0			0.26501043499999355	0.263119	524288
warmup	2	0	1	n-body	candidate	pass	0			0.26590859099999875	0.263478	524288
warmup	2	0	2	n-body	baseline	pass	0			0.2693214360000127	0.267013	524288
retained	3	1	1	n-body	baseline	pass	0			0.2687539460000039	0.266666	524288
retained	3	1	2	n-body	candidate	pass	0			0.2652665040000102	0.263355	524288
retained	4	2	1	n-body	candidate	pass	0			0.26584225999999944	0.263793	524288
retained	4	2	2	n-body	baseline	pass	0			0.2698523669999986	0.267266	524288
retained	5	3	1	n-body	baseline	pass	0			0.26924320399999147	0.267105	524288
retained	5	3	2	n-body	candidate	pass	0			0.2661508529999992	0.263702	524288
retained	6	4	1	n-body	candidate	pass	0			0.26621223099999725	0.263666	524288
retained	6	4	2	n-body	baseline	pass	0			0.2688541690000079	0.266758	524288
retained	7	5	1	n-body	baseline	pass	0			0.26867140300001324	0.266661	524288
retained	7	5	2	n-body	candidate	pass	0			0.2653787579999971	0.263367	524288
retained	8	6	1	n-body	candidate	pass	0			0.26545504800000685	0.263412	524288
retained	8	6	2	n-body	baseline	pass	0			0.26860647199998766	0.266584	524288
retained	9	7	1	n-body	baseline	pass	0			0.26962271900001156	0.267061	524288
retained	9	7	2	n-body	candidate	pass	0			0.2654567760000077	0.263434	524288
retained	10	8	1	n-body	candidate	pass	0			0.2653777380000122	0.263075	524288
retained	10	8	2	n-body	baseline	pass	0			0.269090116000001	0.266739	524288
retained	11	9	1	n-body	baseline	pass	0			0.2691578609999965	0.266697	524288
retained	11	9	2	n-body	candidate	pass	0			0.2651594909999915	0.263041	524288
retained	12	10	1	n-body	candidate	pass	0			0.26576680600001623	0.263507	524288
retained	12	10	2	n-body	baseline	pass	0			0.26884750799999324	0.266523	524288
retained	13	11	1	n-body	baseline	pass	0			0.26856786700000157	0.266607	524288
retained	13	11	2	n-body	candidate	pass	0			0.26519038000000705	0.263284	524288
