phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	baseline	pass	0			6.0090186550000055	6.006792	1212416
warmup	1	0	2	spectral-norm	candidate	pass	0			5.449193127000001	5.446704	1245184
warmup	2	0	1	spectral-norm	candidate	pass	0			5.44813815400002	5.445611	1363968
warmup	2	0	2	spectral-norm	baseline	pass	0			6.015384470000015	6.0132	1212416
retained	3	1	1	spectral-norm	baseline	pass	0			6.0038386049999986	6.000919	1212416
retained	3	1	2	spectral-norm	candidate	pass	0			5.453707388999987	5.450239	1204224
retained	4	2	1	spectral-norm	candidate	pass	0			5.450860697999985	5.44833	1212416
retained	4	2	2	spectral-norm	baseline	pass	0			6.005828890999993	6.003238	1216512
retained	5	3	1	spectral-norm	baseline	pass	0			6.002244862999987	5.99961	1191936
retained	5	3	2	spectral-norm	candidate	pass	0			5.456664625000002	5.453643	1191936
retained	6	4	1	spectral-norm	candidate	pass	0			5.449828857	5.447487	1204224
retained	6	4	2	spectral-norm	baseline	pass	0			6.002665251000025	6.000015	1191936
retained	7	5	1	spectral-norm	baseline	pass	0			6.007654388999981	6.004723	1208320
retained	7	5	2	spectral-norm	candidate	pass	0			5.449697561999983	5.446649	1208320
retained	8	6	1	spectral-norm	candidate	pass	0			5.452033444999984	5.448709	1187840
retained	8	6	2	spectral-norm	baseline	pass	0			6.012148846999992	6.008189	1200128
retained	9	7	1	spectral-norm	baseline	pass	0			6.003764872000033	6.00132	1257472
retained	9	7	2	spectral-norm	candidate	pass	0			5.4574009239999555	5.454716	1257472
retained	10	8	1	spectral-norm	candidate	pass	0			5.4487049879999745	5.446166	1216512
retained	10	8	2	spectral-norm	baseline	pass	0			6.010090168999966	6.007577	1200128
retained	11	9	1	spectral-norm	baseline	pass	0			6.009939541999984	6.0072	1204224
retained	11	9	2	spectral-norm	candidate	pass	0			5.461232330999962	5.458575	1327104
retained	12	10	1	spectral-norm	candidate	pass	0			5.450195579999956	5.447883	1200128
retained	12	10	2	spectral-norm	baseline	pass	0			6.008775888999992	6.006101	1191936
retained	13	11	1	spectral-norm	baseline	pass	0			6.008408431000021	6.004706	1212416
retained	13	11	2	spectral-norm	candidate	pass	0			5.458892915999968	5.45447	1196032
