phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	baseline	pass	0			0.23328818999999612	0.231181	524288
warmup	1	0	2	n-body	candidate	pass	0			0.21312063999999964	0.210803	524288
warmup	2	0	1	n-body	candidate	pass	0			0.2129061859999979	0.21057	524288
warmup	2	0	2	n-body	baseline	pass	0			0.23260222599998315	0.230678	524288
retained	3	1	1	n-body	baseline	pass	0			0.23277031099996748	0.230797	524288
retained	3	1	2	n-body	candidate	pass	0			0.2126147209999658	0.210657	524288
retained	4	2	1	n-body	candidate	pass	0			0.2125326070000142	0.210669	524288
retained	4	2	2	n-body	baseline	pass	0			0.23347048300001916	0.231064	524288
retained	5	3	1	n-body	baseline	pass	0			0.23289906600001586	0.230753	524288
retained	5	3	2	n-body	candidate	pass	0			0.21365011699998604	0.211066	524288
retained	6	4	1	n-body	candidate	pass	0			0.2127724840000269	0.21062	524288
retained	6	4	2	n-body	baseline	pass	0			0.23306293600001027	0.230988	524288
retained	7	5	1	n-body	baseline	pass	0			0.23305195200003936	0.230767	524288
retained	7	5	2	n-body	candidate	pass	0			0.21270369100000153	0.210862	524288
retained	8	6	1	n-body	candidate	pass	0			0.21260614400000577	0.210574	524288
retained	8	6	2	n-body	baseline	pass	0			0.23292884400001412	0.230654	524288
retained	9	7	1	n-body	baseline	pass	0			0.23292792400002327	0.23109	524288
retained	9	7	2	n-body	candidate	pass	0			0.21290636899999527	0.210562	524288
retained	10	8	1	n-body	candidate	pass	0			0.21267976100000396	0.210747	524288
retained	10	8	2	n-body	baseline	pass	0			0.23261172300004773	0.230754	524288
retained	11	9	1	n-body	baseline	pass	0			0.2329098120000026	0.230942	524288
retained	11	9	2	n-body	candidate	pass	0			0.21313664600000948	0.210586	524288
retained	12	10	1	n-body	candidate	pass	0			0.21243166199997177	0.210562	524288
retained	12	10	2	n-body	baseline	pass	0			0.23293681600000582	0.230754	524288
retained	13	11	1	n-body	baseline	pass	0			0.23337349800004858	0.230701	524288
retained	13	11	2	n-body	candidate	pass	0			0.21305329300002995	0.210682	524288
