phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	baseline	pass	0			5.179252664999979	5.176886	1200128
warmup	1	0	2	spectral-norm	candidate	pass	0			5.180601973000023	5.177975	1191936
warmup	2	0	1	spectral-norm	candidate	pass	0			5.17952367800001	5.176928	1204224
warmup	2	0	2	spectral-norm	baseline	pass	0			5.180563130999985	5.178131	1216512
retained	3	1	1	spectral-norm	baseline	pass	0			5.179674261000002	5.176956	1216512
retained	3	1	2	spectral-norm	candidate	pass	0			5.179357710999966	5.17684	1200128
retained	4	2	1	spectral-norm	candidate	pass	0			5.179082513000026	5.17686	1216512
retained	4	2	2	spectral-norm	baseline	pass	0			5.181611848999978	5.178167	1204224
retained	5	3	1	spectral-norm	baseline	pass	0			5.178976483999975	5.176609	1212416
retained	5	3	2	spectral-norm	candidate	pass	0			5.179538364999985	5.176749	1200128
retained	6	4	1	spectral-norm	candidate	pass	0			5.180167070000039	5.177408	1200128
retained	6	4	2	spectral-norm	baseline	pass	0			5.178772555000023	5.176585	1282048
retained	7	5	1	spectral-norm	baseline	pass	0			5.179408482999975	5.177128	1200128
retained	7	5	2	spectral-norm	candidate	pass	0			5.179470558999981	5.177147	1212416
retained	8	6	1	spectral-norm	candidate	pass	0			5.179437004999954	5.177046	1212416
retained	8	6	2	spectral-norm	baseline	pass	0			5.178651547000015	5.176229	1216512
retained	9	7	1	spectral-norm	baseline	pass	0			5.177927917999966	5.175557	1212416
retained	9	7	2	spectral-norm	candidate	pass	0			5.181517416999952	5.17818	1191936
retained	10	8	1	spectral-norm	candidate	pass	0			5.179605994999974	5.176998	1212416
retained	10	8	2	spectral-norm	baseline	pass	0			5.178361455000015	5.175989	1191936
retained	11	9	1	spectral-norm	baseline	pass	0			5.179851982999992	5.177298	1417216
retained	11	9	2	spectral-norm	candidate	pass	0			5.180228222999972	5.177805	1208320
retained	12	10	1	spectral-norm	candidate	pass	0			5.178650563000019	5.17637	1200128
retained	12	10	2	spectral-norm	baseline	pass	0			5.178507989000025	5.175802	1216512
retained	13	11	1	spectral-norm	baseline	pass	0			5.178710439999975	5.176243	1363968
retained	13	11	2	spectral-norm	candidate	pass	0			5.179649935999919	5.177214	1200128
