phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	baseline	pass	0			0.5151307129999907	0.513038	524288
warmup	1	0	2	fannkuch-redux	candidate	pass	0			0.5148566869999911	0.512684	524288
warmup	2	0	1	fannkuch-redux	candidate	pass	0			0.5142245189999812	0.512376	524288
warmup	2	0	2	fannkuch-redux	baseline	pass	0			0.5147969589999946	0.512876	524288
retained	3	1	1	fannkuch-redux	baseline	pass	0			0.5153225299999917	0.512913	524288
retained	3	1	2	fannkuch-redux	candidate	pass	0			0.5146478250000257	0.51255	524288
retained	4	2	1	fannkuch-redux	candidate	pass	0			0.5148968190000005	0.512649	524288
retained	4	2	2	fannkuch-redux	baseline	pass	0			0.5145994309999935	0.512426	524288
retained	5	3	1	fannkuch-redux	baseline	pass	0			0.514489315999981	0.512402	524288
retained	5	3	2	fannkuch-redux	candidate	pass	0			0.5150934810000081	0.512886	524288
retained	6	4	1	fannkuch-redux	candidate	pass	0			0.5148286080000162	0.512432	524288
retained	6	4	2	fannkuch-redux	baseline	pass	0			0.514609949000004	0.512462	524288
retained	7	5	1	fannkuch-redux	baseline	pass	0			0.5150277940000194	0.512963	524288
retained	7	5	2	fannkuch-redux	candidate	pass	0			0.514393076999994	0.512414	524288
retained	8	6	1	fannkuch-redux	candidate	pass	0			0.5144676159999904	0.512553	524288
retained	8	6	2	fannkuch-redux	baseline	pass	0			0.5145858599999826	0.512462	524288
retained	9	7	1	fannkuch-redux	baseline	pass	0			0.5147399360000122	0.512756	524288
retained	9	7	2	fannkuch-redux	candidate	pass	0			0.5145455440000148	0.512446	524288
retained	10	8	1	fannkuch-redux	candidate	pass	0			0.5150627670000176	0.512723	524288
retained	10	8	2	fannkuch-redux	baseline	pass	0			0.5150048370000206	0.512722	524288
retained	11	9	1	fannkuch-redux	baseline	pass	0			0.5149876229999961	0.512694	524288
retained	11	9	2	fannkuch-redux	candidate	pass	0			0.5145494409999856	0.512543	524288
retained	12	10	1	fannkuch-redux	candidate	pass	0			0.5145300249999991	0.512506	524288
retained	12	10	2	fannkuch-redux	baseline	pass	0			0.5146995979999929	0.512664	524288
retained	13	11	1	fannkuch-redux	baseline	pass	0			0.5148832120000009	0.512699	524288
retained	13	11	2	fannkuch-redux	candidate	pass	0			0.5148221240000055	0.512556	524288
