phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	baseline	pass	0			0.2657429329999843	0.263438	524288
warmup	1	0	2	n-body	candidate	pass	0			0.23334793899999795	0.231453	524288
warmup	2	0	1	n-body	candidate	pass	0			0.23362842299999897	0.231384	524288
warmup	2	0	2	n-body	baseline	pass	0			0.2657712090000075	0.263716	524288
retained	3	1	1	n-body	baseline	pass	0			0.2654369969999948	0.263392	524288
retained	3	1	2	n-body	candidate	pass	0			0.2338421540000013	0.231403	524288
retained	4	2	1	n-body	candidate	pass	0			0.2334302760000071	0.231219	524288
retained	4	2	2	n-body	baseline	pass	0			0.2656066909999879	0.263502	524288
retained	5	3	1	n-body	baseline	pass	0			0.2656164040000135	0.2636	524288
retained	5	3	2	n-body	candidate	pass	0			0.23360157700000173	0.231418	524288
retained	6	4	1	n-body	candidate	pass	0			0.23433301000000029	0.231768	524288
retained	6	4	2	n-body	baseline	pass	0			0.26643128999998567	0.263644	524288
retained	7	5	1	n-body	baseline	pass	0			0.26604148199999145	0.263932	524288
retained	7	5	2	n-body	candidate	pass	0			0.23348645499999066	0.231312	524288
retained	8	6	1	n-body	candidate	pass	0			0.23362390799999844	0.231327	524288
retained	8	6	2	n-body	baseline	pass	0			0.26560715400000845	0.26363	524288
retained	9	7	1	n-body	baseline	pass	0			0.26604089700001055	0.263478	524288
retained	9	7	2	n-body	candidate	pass	0			0.23330955100001916	0.23142	524288
retained	10	8	1	n-body	candidate	pass	0			0.23338728100000594	0.231393	524288
retained	10	8	2	n-body	baseline	pass	0			0.2659781280000004	0.263741	524288
retained	11	9	1	n-body	baseline	pass	0			0.26595435100000486	0.263393	524288
retained	11	9	2	n-body	candidate	pass	0			0.23300294800000643	0.231195	524288
retained	12	10	1	n-body	candidate	pass	0			0.2330684790000248	0.231174	524288
retained	12	10	2	n-body	baseline	pass	0			0.2658952529999965	0.263552	524288
retained	13	11	1	n-body	baseline	pass	0			0.26597123099998043	0.263685	524288
retained	13	11	2	n-body	candidate	pass	0			0.2340465079999774	0.231606	524288
