phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	baseline	pass	0			5.180563156000005	5.177965	1200128
warmup	1	0	2	spectral-norm	candidate	pass	0			5.180137808000012	5.177722	1191936
warmup	2	0	1	spectral-norm	candidate	pass	0			5.1803035180000165	5.177967	1200128
warmup	2	0	2	spectral-norm	baseline	pass	0			5.182708107999986	5.17963	1204224
retained	3	1	1	spectral-norm	baseline	pass	0			5.183367253999961	5.180611	1191936
retained	3	1	2	spectral-norm	candidate	pass	0			5.180378453000003	5.177891	1208320
retained	4	2	1	spectral-norm	candidate	pass	0			5.182110421999994	5.17938	1200128
retained	4	2	2	spectral-norm	baseline	pass	0			5.184599386000002	5.180324	1204224
retained	5	3	1	spectral-norm	baseline	pass	0			5.1821790459999875	5.179614	1200128
retained	5	3	2	spectral-norm	candidate	pass	0			5.181447440999989	5.178484	1368064
retained	6	4	1	spectral-norm	candidate	pass	0			5.1801405109999905	5.177238	1204224
retained	6	4	2	spectral-norm	baseline	pass	0			5.183097748000023	5.18015	1187840
retained	7	5	1	spectral-norm	baseline	pass	0			5.182845074999989	5.18019	1363968
retained	7	5	2	spectral-norm	candidate	pass	0			5.183137595000005	5.179841	1216512
retained	8	6	1	spectral-norm	candidate	pass	0			5.182132539999998	5.179222	1200128
retained	8	6	2	spectral-norm	baseline	pass	0			5.183359036000013	5.18045	1216512
retained	9	7	1	spectral-norm	baseline	pass	0			5.182976135999979	5.18011	1200128
retained	9	7	2	spectral-norm	candidate	pass	0			5.182579377000025	5.178805	1191936
retained	10	8	1	spectral-norm	candidate	pass	0			5.180541866999988	5.17816	1200128
retained	10	8	2	spectral-norm	baseline	pass	0			5.181781911999963	5.179439	1200128
retained	11	9	1	spectral-norm	baseline	pass	0			5.181365986000003	5.179017	1212416
retained	11	9	2	spectral-norm	candidate	pass	0			5.180747860999986	5.1782	1204224
retained	12	10	1	spectral-norm	candidate	pass	0			5.1803168060000075	5.177684	1204224
retained	12	10	2	spectral-norm	baseline	pass	0			5.1811335639999925	5.178873	1212416
retained	13	11	1	spectral-norm	baseline	pass	0			5.181049786000017	5.178546	1212416
retained	13	11	2	spectral-norm	candidate	pass	0			5.181488621999961	5.178945	1216512
