phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	baseline	pass	0			0.5138678980000009	0.512169	417792
warmup	1	0	2	fannkuch-redux	candidate	pass	0			0.5138140000000249	0.512025	524288
warmup	2	0	1	fannkuch-redux	candidate	pass	0			0.5138853059999633	0.512061	524288
warmup	2	0	2	fannkuch-redux	baseline	pass	0			0.5140632399999845	0.512128	524288
retained	3	1	1	fannkuch-redux	baseline	pass	0			0.5146493299999975	0.512504	524288
retained	3	1	2	fannkuch-redux	candidate	pass	0			0.5144520420000163	0.512306	524288
retained	4	2	1	fannkuch-redux	candidate	pass	0			0.5146235020000063	0.512382	524288
retained	4	2	2	fannkuch-redux	baseline	pass	0			0.5148312919999967	0.512922	524288
retained	5	3	1	fannkuch-redux	baseline	pass	0			0.5139455999999996	0.512197	524288
retained	5	3	2	fannkuch-redux	candidate	pass	0			0.514290716000005	0.512478	524288
retained	6	4	1	fannkuch-redux	candidate	pass	0			0.5141131980000182	0.512023	524288
retained	6	4	2	fannkuch-redux	baseline	pass	0			0.5142599540000106	0.5124	524288
retained	7	5	1	fannkuch-redux	baseline	pass	0			0.5138168289999498	0.511965	524288
retained	7	5	2	fannkuch-redux	candidate	pass	0			0.5139824499999577	0.512004	524288
retained	8	6	1	fannkuch-redux	candidate	pass	0			0.5144740619999766	0.512237	524288
retained	8	6	2	fannkuch-redux	baseline	pass	0			0.5141611210000292	0.512227	524288
retained	9	7	1	fannkuch-redux	baseline	pass	0			0.5142840619999447	0.512368	524288
retained	9	7	2	fannkuch-redux	candidate	pass	0			0.5142565250000075	0.512339	524288
retained	10	8	1	fannkuch-redux	candidate	pass	0			0.514949573000024	0.512868	524288
retained	10	8	2	fannkuch-redux	baseline	pass	0			0.5146441540000524	0.512342	524288
retained	11	9	1	fannkuch-redux	baseline	pass	0			0.5140728430000081	0.512224	524288
retained	11	9	2	fannkuch-redux	candidate	pass	0			0.5142381320000027	0.512082	524288
retained	12	10	1	fannkuch-redux	candidate	pass	0			0.5142976779999913	0.512323	524288
retained	12	10	2	fannkuch-redux	baseline	pass	0			0.514226409999992	0.512264	524288
retained	13	11	1	fannkuch-redux	baseline	pass	0			0.5139537050000058	0.512172	524288
retained	13	11	2	fannkuch-redux	candidate	pass	0			0.5139314500000296	0.512	524288
