phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	baseline	pass	0			0.2651280289999818	0.263235	524288
warmup	1	0	2	n-body	candidate	pass	0			0.2656409659999781	0.263503	524288
warmup	2	0	1	n-body	candidate	pass	0			0.2648148840000317	0.263021	524288
warmup	2	0	2	n-body	baseline	pass	0			0.2650236650000011	0.263097	524288
retained	3	1	1	n-body	baseline	pass	0			0.2655668529999957	0.263233	524288
retained	3	1	2	n-body	candidate	pass	0			0.2648438520000127	0.263078	524288
retained	4	2	1	n-body	candidate	pass	0			0.2652220489999877	0.263078	524288
retained	4	2	2	n-body	baseline	pass	0			0.2675523799999837	0.265892	524288
retained	5	3	1	n-body	baseline	pass	0			0.2646927490000053	0.263037	524288
retained	5	3	2	n-body	candidate	pass	0			0.2654657669999665	0.263301	524288
retained	6	4	1	n-body	candidate	pass	0			0.2650494910000134	0.263075	524288
retained	6	4	2	n-body	baseline	pass	0			0.2648597869999776	0.262989	524288
retained	7	5	1	n-body	baseline	pass	0			0.26495084599997654	0.263154	524288
retained	7	5	2	n-body	candidate	pass	0			0.2651001469999983	0.263128	524288
retained	8	6	1	n-body	candidate	pass	0			0.265336058999992	0.263298	524288
retained	8	6	2	n-body	baseline	pass	0			0.26495405399998617	0.263081	524288
retained	9	7	1	n-body	baseline	pass	0			0.2648972690000164	0.263197	524288
retained	9	7	2	n-body	candidate	pass	0			0.26507456199999524	0.263316	524288
retained	10	8	1	n-body	candidate	pass	0			0.26578813700001547	0.263743	524288
retained	10	8	2	n-body	baseline	pass	0			0.26478831299999683	0.262968	524288
retained	11	9	1	n-body	baseline	pass	0			0.26516285299999254	0.263263	524288
retained	11	9	2	n-body	candidate	pass	0			0.2653103379999493	0.263335	524288
retained	12	10	1	n-body	candidate	pass	0			0.2650573539999641	0.26321	524288
retained	12	10	2	n-body	baseline	pass	0			0.2653613640000003	0.263489	524288
retained	13	11	1	n-body	baseline	pass	0			0.26526018499998827	0.263136	524288
retained	13	11	2	n-body	candidate	pass	0			0.26493195799997693	0.263123	524288
