phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	baseline	pass	0			5.450178055000038	5.447829	1249280
warmup	1	0	2	spectral-norm	candidate	pass	0			5.181539319999956	5.179333	1359872
warmup	2	0	1	spectral-norm	candidate	pass	0			5.182548918000009	5.179958	1368064
warmup	2	0	2	spectral-norm	baseline	pass	0			5.450409568999987	5.447857	1212416
retained	3	1	1	spectral-norm	baseline	pass	0			5.453461081	5.449938	1204224
retained	3	1	2	spectral-norm	candidate	pass	0			5.1813869849999605	5.178895	1212416
retained	4	2	1	spectral-norm	candidate	pass	0			5.181968310000002	5.179551	1200128
retained	4	2	2	spectral-norm	baseline	pass	0			5.450310340999977	5.447683	1392640
retained	5	3	1	spectral-norm	baseline	pass	0			5.456429699000012	5.453915	1204224
retained	5	3	2	spectral-norm	candidate	pass	0			5.181872640999984	5.179495	1179648
retained	6	4	1	spectral-norm	candidate	pass	0			5.180929590999995	5.178189	1216512
retained	6	4	2	spectral-norm	baseline	pass	0			5.455689765999978	5.453365	1327104
retained	7	5	1	spectral-norm	baseline	pass	0			5.456158502999983	5.453581	1191936
retained	7	5	2	spectral-norm	candidate	pass	0			5.181479146000015	5.179022	1204224
retained	8	6	1	spectral-norm	candidate	pass	0			5.18373379600007	5.179906	1200128
retained	8	6	2	spectral-norm	baseline	pass	0			5.455146458999934	5.45271	1200128
retained	9	7	1	spectral-norm	baseline	pass	0			5.454523895000079	5.452317	1212416
retained	9	7	2	spectral-norm	candidate	pass	0			5.181924072000015	5.179654	1204224
retained	10	8	1	spectral-norm	candidate	pass	0			5.18141420500001	5.179105	1204224
retained	10	8	2	spectral-norm	baseline	pass	0			5.449502966000068	5.447328	1212416
retained	11	9	1	spectral-norm	baseline	pass	0			5.44968823499994	5.447311	1359872
retained	11	9	2	spectral-norm	candidate	pass	0			5.181801273000019	5.179613	1359872
retained	12	10	1	spectral-norm	candidate	pass	0			5.182913997000014	5.179936	1196032
retained	12	10	2	spectral-norm	baseline	pass	0			5.449903793999965	5.447545	1212416
retained	13	11	1	spectral-norm	baseline	pass	0			5.457728223999993	5.455437	1204224
retained	13	11	2	spectral-norm	candidate	pass	0			5.1829093369999555	5.179286	1191936
