phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	baseline	pass	0			0.6047602710000319	0.602286	524288
warmup	1	0	2	fannkuch-redux	candidate	pass	0			0.5293855560000225	0.527336	524288
warmup	2	0	1	fannkuch-redux	candidate	pass	0			0.5290847109999959	0.527109	524288
warmup	2	0	2	fannkuch-redux	baseline	pass	0			0.604419001999986	0.602152	524288
retained	3	1	1	fannkuch-redux	baseline	pass	0			0.604722258000038	0.602646	524288
retained	3	1	2	fannkuch-redux	candidate	pass	0			0.5294042949999493	0.52735	524288
retained	4	2	1	fannkuch-redux	candidate	pass	0			0.530036138000014	0.527592	524288
retained	4	2	2	fannkuch-redux	baseline	pass	0			0.6047705830000041	0.602494	524288
retained	5	3	1	fannkuch-redux	baseline	pass	0			0.6044266520000292	0.602301	524288
retained	5	3	2	fannkuch-redux	candidate	pass	0			0.5293510820000051	0.52732	524288
retained	6	4	1	fannkuch-redux	candidate	pass	0			0.5293751629999974	0.527269	524288
retained	6	4	2	fannkuch-redux	baseline	pass	0			0.6047741840000072	0.602465	524288
retained	7	5	1	fannkuch-redux	baseline	pass	0			0.6044999920000009	0.602328	524288
retained	7	5	2	fannkuch-redux	candidate	pass	0			0.52934381700004	0.527377	524288
retained	8	6	1	fannkuch-redux	candidate	pass	0			0.529659123999977	0.527394	524288
retained	8	6	2	fannkuch-redux	baseline	pass	0			0.6048210179999955	0.602365	524288
retained	9	7	1	fannkuch-redux	baseline	pass	0			0.6049380700000029	0.602512	524288
retained	9	7	2	fannkuch-redux	candidate	pass	0			0.5292482300000074	0.52721	524288
retained	10	8	1	fannkuch-redux	candidate	pass	0			0.5297928900000102	0.527349	524288
retained	10	8	2	fannkuch-redux	baseline	pass	0			0.6049488170000359	0.602966	524288
retained	11	9	1	fannkuch-redux	baseline	pass	0			0.6052344329999642	0.602898	524288
retained	11	9	2	fannkuch-redux	candidate	pass	0			0.5296842949999814	0.527214	524288
retained	12	10	1	fannkuch-redux	candidate	pass	0			0.530076595999958	0.527426	524288
retained	12	10	2	fannkuch-redux	baseline	pass	0			0.6046857839999689	0.602744	524288
retained	13	11	1	fannkuch-redux	baseline	pass	0			0.6048633190000032	0.602688	524288
retained	13	11	2	fannkuch-redux	candidate	pass	0			0.5293302279999921	0.527239	524288
