phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	baseline	pass	0			0.2685918629999833	0.266744	524288
warmup	1	0	2	n-body	candidate	pass	0			0.26917796100002533	0.266803	524288
warmup	2	0	1	n-body	candidate	pass	0			0.26891926499996543	0.266563	524288
warmup	2	0	2	n-body	baseline	pass	0			0.26848159500002566	0.266523	524288
retained	3	1	1	n-body	baseline	pass	0			0.26884093400002484	0.266532	524288
retained	3	1	2	n-body	candidate	pass	0			0.2691611839999837	0.266869	524288
retained	4	2	1	n-body	candidate	pass	0			0.2692038650000086	0.26682	524288
retained	4	2	2	n-body	baseline	pass	0			0.2693486699999994	0.266934	524288
retained	5	3	1	n-body	baseline	pass	0			0.2689644669999893	0.266681	524288
retained	5	3	2	n-body	candidate	pass	0			0.26930376500001785	0.26652	524288
retained	6	4	1	n-body	candidate	pass	0			0.26891391200001635	0.266718	524288
retained	6	4	2	n-body	baseline	pass	0			0.2687534039999946	0.266518	524288
retained	7	5	1	n-body	baseline	pass	0			0.2684306220000394	0.266418	524288
retained	7	5	2	n-body	candidate	pass	0			0.2686358670000004	0.266672	524288
retained	8	6	1	n-body	candidate	pass	0			0.2687827190000007	0.266596	524288
retained	8	6	2	n-body	baseline	pass	0			0.268663188000005	0.266652	524288
retained	9	7	1	n-body	baseline	pass	0			0.26859459499996774	0.266357	524288
retained	9	7	2	n-body	candidate	pass	0			0.2688881060000199	0.266713	524288
retained	10	8	1	n-body	candidate	pass	0			0.26914588799996864	0.266593	524288
retained	10	8	2	n-body	baseline	pass	0			0.26856486499997345	0.266566	524288
retained	11	9	1	n-body	baseline	pass	0			0.26890418600004296	0.266861	524288
retained	11	9	2	n-body	candidate	pass	0			0.2689602359999981	0.266504	524288
retained	12	10	1	n-body	candidate	pass	0			0.26877783899999486	0.266662	524288
retained	12	10	2	n-body	baseline	pass	0			0.26845853999998326	0.266569	524288
retained	13	11	1	n-body	baseline	pass	0			0.2689881180000384	0.266608	524288
retained	13	11	2	n-body	candidate	pass	0			0.2690776649999975	0.266805	524288
