phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	baseline	pass	0			8.323550537000017	8.320749	1208320
warmup	1	0	2	spectral-norm	candidate	pass	0			8.323886716999993	8.320713	1212416
warmup	2	0	1	spectral-norm	candidate	pass	0			8.323564325000007	8.320341	1220608
warmup	2	0	2	spectral-norm	baseline	pass	0			8.323673096999983	8.320401	1200128
retained	3	1	1	spectral-norm	baseline	pass	0			8.324233103999973	8.320955	1372160
retained	3	1	2	spectral-norm	candidate	pass	0			8.325484133000032	8.321147	1200128
retained	4	2	1	spectral-norm	candidate	pass	0			8.324745517999986	8.321875	1212416
retained	4	2	2	spectral-norm	baseline	pass	0			8.323590550000063	8.320749	1208320
retained	5	3	1	spectral-norm	baseline	pass	0			8.325289207999958	8.322183	1204224
retained	5	3	2	spectral-norm	candidate	pass	0			8.322610757999996	8.319576	1212416
retained	6	4	1	spectral-norm	candidate	pass	0			8.321803306999982	8.31862	1212416
retained	6	4	2	spectral-norm	baseline	pass	0			8.323861635999947	8.320561	1372160
retained	7	5	1	spectral-norm	baseline	pass	0			8.324647796000022	8.321243	1187840
retained	7	5	2	spectral-norm	candidate	pass	0			8.325870557999906	8.322842	1200128
retained	8	6	1	spectral-norm	candidate	pass	0			8.323249833999967	8.320215	1204224
retained	8	6	2	spectral-norm	baseline	pass	0			8.323221278000005	8.320164	1200128
retained	9	7	1	spectral-norm	baseline	pass	0			8.32395006899992	8.321025	1216512
retained	9	7	2	spectral-norm	candidate	pass	0			8.324731113999974	8.321468	1216512
retained	10	8	1	spectral-norm	candidate	pass	0			8.323577669000088	8.319545	1376256
retained	10	8	2	spectral-norm	baseline	pass	0			8.323016686000074	8.320021	1208320
retained	11	9	1	spectral-norm	baseline	pass	0			8.32530146800002	8.321941	1372160
retained	11	9	2	spectral-norm	candidate	pass	0			8.323348317999944	8.320093	1212416
retained	12	10	1	spectral-norm	candidate	pass	0			8.322811893999983	8.319821	1200128
retained	12	10	2	spectral-norm	baseline	pass	0			8.325203372000033	8.321979	1200128
retained	13	11	1	spectral-norm	baseline	pass	0			8.323034401999962	8.319997	1212416
retained	13	11	2	spectral-norm	candidate	pass	0			8.325022450999995	8.32078	1216512
