phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	fannkuch-redux	typerb-native	pass	0			0.15840721200004282	0.054666	78344192	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
warmup	1	0	2	fannkuch-redux	typerb-go	pass	0			3.8246009810000032	9.957128	405245952	2808692	613dbb3d5dab0ffdc87da89d8e456d482f1bc0bece74c4e686a19715925f12fc	0	true	true
warmup	2	0	1	fannkuch-redux	typerb-go	pass	0			0.8478348330000358	0.354471	159629312	2808692	b1a44aadba78aa9fecd72387dd7ecf994b2fefdf60b9aac89dec7aa474109e0c	0	true	true
warmup	2	0	2	fannkuch-redux	typerb-native	pass	0			0.15380582799997455	0.056304	78340096	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	3	1	1	fannkuch-redux	typerb-native	pass	0			0.15994282399998383	0.054875	78077952	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	3	1	2	fannkuch-redux	typerb-go	pass	0			0.39329113100001223	0.33803	159404032	2808836	cee12b914d9fa78df4fe1ff8d32e3edf01fea9144ab9ed00aee3ff476bd14428	0	true	true
retained	4	2	1	fannkuch-redux	typerb-go	pass	0			0.3847251130000018	0.342051	158310400	2808836	2a03c39b4083b39cd52faec6a388d48253f1ea483ab37f978fdb8f0569bbd3fa	0	true	true
retained	4	2	2	fannkuch-redux	typerb-native	pass	0			0.15413000699999202	0.056126	78331904	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	5	3	1	fannkuch-redux	typerb-native	pass	0			0.14917957500000512	0.055697	78147584	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	5	3	2	fannkuch-redux	typerb-go	pass	0			0.46896921899997324	0.350821	160157696	2808692	ed9bb18ee9c2693ffc349785df1499f4027ed1c73c82ff903d9b6f72cd9806e7	0	true	true
retained	6	4	1	fannkuch-redux	typerb-go	pass	0			0.42944279800002505	0.344139	160247808	2808692	42100bd61cbdeccea992a4ad9cea5cde83a24a9fd431706459e7a6707bab39a5	0	true	true
retained	6	4	2	fannkuch-redux	typerb-native	pass	0			0.1593689029999723	0.056306	78143488	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	7	5	1	fannkuch-redux	typerb-native	pass	0			0.1557015749999664	0.05623	78098432	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	7	5	2	fannkuch-redux	typerb-go	pass	0			0.38854021299999886	0.345209	158248960	2808692	7ce20abe32bdc44f1f1d42f01e6d955ed11408cb25797b174e1f3dc44b1acd21	0	true	true
retained	8	6	1	fannkuch-redux	typerb-go	pass	0			0.39218684700000495	0.345563	160178176	2808692	1185fa28bc60e493edf2be72fe2750490e34fcfc5d47f899e950c8af069c530e	0	true	true
retained	8	6	2	fannkuch-redux	typerb-native	pass	0			0.15964613399995642	0.056762	78147584	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	9	7	1	fannkuch-redux	typerb-native	pass	0			0.1574912499999641	0.056326	78077952	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	9	7	2	fannkuch-redux	typerb-go	pass	0			0.42115970600002584	0.347858	158294016	2808692	11a51951b678062ebb56b766841f68ee6915d320851b1a1c7bb8479db8b7997b	0	true	true
retained	10	8	1	fannkuch-redux	typerb-go	pass	0			0.447970239999961	0.344904	160530432	2808692	a87bf8bd2c69d625f66dd032d3627fc69ff383d191167658ac169e015236c89e	0	true	true
retained	10	8	2	fannkuch-redux	typerb-native	pass	0			0.1517324760000065	0.056686	78348288	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	11	9	1	fannkuch-redux	typerb-native	pass	0			0.16181478700002572	0.055845	78352384	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	11	9	2	fannkuch-redux	typerb-go	pass	0			0.3906622129999846	0.343358	160432128	2808692	54d4680ec45aff70f270b19c871445538553e3c5f0f9b30842efd9fb165afcad	0	true	true
retained	12	10	1	fannkuch-redux	typerb-go	pass	0			0.4046241259999874	0.347466	159424512	2808692	b29dbe82a3f377ef812dc995cc05ee3f89e52457d24de58295e2f8a848d30b89	0	true	true
retained	12	10	2	fannkuch-redux	typerb-native	pass	0			0.1589732890000164	0.056931	78163968	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	13	11	1	fannkuch-redux	typerb-native	pass	0			0.16080532899997024	0.056993	78086144	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	13	11	2	fannkuch-redux	typerb-go	pass	0			0.38299096299999746	0.346767	159551488	2808692	5a50f35f6c5fe48ec902eb9169424351f125b3e24fd728046c9eb89069f3dce9	0	true	true
