phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	n-body	typerb-native	pass	0			0.2152907970000797	0.066279	78098432	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
warmup	1	0	2	n-body	typerb-go	pass	0			3.9561530539999694	10.263251	404463616	2815354	df7d6af49afa63b1a1e6e6b30cc69b9b25e15e4578aa674d88d09b026d88be63	0	true	true
warmup	2	0	1	n-body	typerb-go	pass	0			0.4889354509999748	0.387293	162738176	2815354	887011712d8df91f35d84cb961bf6619498680a7fd385f028c4ab9fffe1a678a	0	true	true
warmup	2	0	2	n-body	typerb-native	pass	0			0.22113957599992773	0.066507	78344192	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	3	1	1	n-body	typerb-native	pass	0			0.21541357500007052	0.066919	78278656	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	3	1	2	n-body	typerb-go	pass	0			0.48192572699997527	0.395118	163037184	2815306	677dbb9e1af627151f6ca09425355b6a0c3924867a804632bc79626ce758f89d	0	true	true
retained	4	2	1	n-body	typerb-go	pass	0			0.5223991130000059	0.402118	162353152	2815354	8b542fdfa40878e056f504df23f7f22f109ee78c1005f1c08071538701848c6a	0	true	true
retained	4	2	2	n-body	typerb-native	pass	0			0.22587799500001893	0.067018	78274560	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	5	3	1	n-body	typerb-native	pass	0			0.22543391800002155	0.067099	78286848	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	5	3	2	n-body	typerb-go	pass	0			0.5181749809999019	0.398887	162045952	2815362	ec0012cf7934bbc4e711bc0c4b2d5d2b5e9828dc3b14736299203ba930b45c03	0	true	true
retained	6	4	1	n-body	typerb-go	pass	0			0.5064991020000207	0.397255	161370112	2815314	384a4879baa94cf73e6d03b693e8ef685a2325f52b6ad5245fae4dea25072966	0	true	true
retained	6	4	2	n-body	typerb-native	pass	0			0.2257963849999669	0.067637	78295040	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	7	5	1	n-body	typerb-native	pass	0			0.21520898799997212	0.066864	78286848	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	7	5	2	n-body	typerb-go	pass	0			0.48716910899997856	0.390281	163250176	2815306	99ac6fd75c3cb02da978382c99f6ece244b2ea67ff0a1b30079a87f8d4e06f7b	0	true	true
retained	8	6	1	n-body	typerb-go	pass	0			0.4921567750000122	0.39433	163356672	2815306	ed7c8ccc451b30163e1c3ea42fcef63d04ef936860307071d60fa81ddf58e1ad	0	true	true
retained	8	6	2	n-body	typerb-native	pass	0			0.2162242670000296	0.067468	78090240	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	9	7	1	n-body	typerb-native	pass	0			0.21570875200006867	0.067188	78237696	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	9	7	2	n-body	typerb-go	pass	0			0.4942950820000078	0.398365	162615296	2815362	bdd73bfe390904b5140cf694838a531c37e0d4fa0ef67e1b9507cdc068f45b18	0	true	true
retained	10	8	1	n-body	typerb-go	pass	0			0.5252416859999585	0.398172	162635776	2815354	e2c7cc8f2262838c0a5923faba865b38a8d722ac9df0f26381bcbed6c9cb494f	0	true	true
retained	10	8	2	n-body	typerb-native	pass	0			0.22280479300002298	0.067113	78274560	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	11	9	1	n-body	typerb-native	pass	0			0.22651644099994428	0.067991	78278656	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	11	9	2	n-body	typerb-go	pass	0			0.49526725600003374	0.399298	161529856	2815354	9a5510403da0bd38bd26529e45bedc0d04f7c9c7c9846ab77e2de1f1f71e1f9a	0	true	true
retained	12	10	1	n-body	typerb-go	pass	0			0.48788329199999225	0.390912	161882112	2815354	470ff147dba080ff7d06beb9555f9ec3306fe8acf88185d9b907953c6c3b1cfa	0	true	true
retained	12	10	2	n-body	typerb-native	pass	0			0.22311234799997237	0.067267	78340096	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	13	11	1	n-body	typerb-native	pass	0			0.2242274540000153	0.067728	78295040	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	13	11	2	n-body	typerb-go	pass	0			0.483372122999981	0.389144	163590144	2815354	71c586b083ce2dcb6d865fccfd54c6f900e3c3bc87b8181909551e183b1e2b4a	0	true	true
