phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	spectral-norm	typerb-native	pass	0			0.23362475999999788	0.075596	78057472	19744	fe8fe9a9c93bf5ebf0af07bd4d88dfb4abf04e52fd72ba2b5fd8743326772f8a	0	true	true
warmup	1	0	2	spectral-norm	typerb-go	pass	0			3.8447560689999136	9.906851	380567552	2809882	e8a3fd8d8cbbd5fef727abca78bc3f3a1abf727f5703b434d7f1947d49857221	0	true	true
warmup	2	0	1	spectral-norm	typerb-go	pass	0			1.090772453999989	0.469912	161353728	2809882	fdce0a3619ab1ec4ffd8b3684651499dbade70f830d88959453a25757cf5fc87	0	true	true
warmup	2	0	2	spectral-norm	typerb-native	pass	0			0.23502324800006136	0.07653	78262272	19744	fe8fe9a9c93bf5ebf0af07bd4d88dfb4abf04e52fd72ba2b5fd8743326772f8a	0	true	true
retained	3	1	1	spectral-norm	typerb-native	pass	0			0.24082481599998573	0.076494	78061568	19744	fe8fe9a9c93bf5ebf0af07bd4d88dfb4abf04e52fd72ba2b5fd8743326772f8a	0	true	true
retained	3	1	2	spectral-norm	typerb-go	pass	0			0.6040945010000769	0.460207	159875072	2809882	9397ee3e3ee78cfad41716e201c57554742c82e581494622972c6a6904bbe2da	0	true	true
retained	4	2	1	spectral-norm	typerb-go	pass	0			0.5937461620000022	0.452706	160866304	2809882	4b0a02ed217141fc67e6ce91e3dd69976e9b89db3c87ec460fe83641b7275afa	0	true	true
retained	4	2	2	spectral-norm	typerb-native	pass	0			0.2094206970000414	0.076433	78311424	19744	fe8fe9a9c93bf5ebf0af07bd4d88dfb4abf04e52fd72ba2b5fd8743326772f8a	0	true	true
retained	5	3	1	spectral-norm	typerb-native	pass	0			0.22350298599997132	0.078751	77987840	19744	fe8fe9a9c93bf5ebf0af07bd4d88dfb4abf04e52fd72ba2b5fd8743326772f8a	0	true	true
retained	5	3	2	spectral-norm	typerb-go	pass	0			0.674679423999919	0.461427	159510528	2809882	b3e86bdcec8a50d01495f50bfb1d682ddbf2a048a1652be48f98a01cb5ad0f3a	0	true	true
retained	6	4	1	spectral-norm	typerb-go	pass	0			0.6381855509999923	0.453993	160428032	2809882	4e33aac400aef6ff6139169e5a8ad3f634010db98b36281918b5861c0b6f9558	0	true	true
retained	6	4	2	spectral-norm	typerb-native	pass	0			0.20374765500002923	0.076413	78057472	19744	fe8fe9a9c93bf5ebf0af07bd4d88dfb4abf04e52fd72ba2b5fd8743326772f8a	0	true	true
retained	7	5	1	spectral-norm	typerb-native	pass	0			0.27209299000003284	0.075917	78049280	19744	fe8fe9a9c93bf5ebf0af07bd4d88dfb4abf04e52fd72ba2b5fd8743326772f8a	0	true	true
retained	7	5	2	spectral-norm	typerb-go	pass	0			0.5765908380000155	0.446353	158937088	2809850	614985a0be94961686f6dbb009cd1f8de0ff272fd479a523ea9922e5e2ffdba3	0	true	true
retained	8	6	1	spectral-norm	typerb-go	pass	0			0.6057008919999589	0.452291	159678464	2809850	5f7130c6e5418ec5b0c892fa3a03f01f78ff9d18bb810fa0ddcb86b65a343b7a	0	true	true
retained	8	6	2	spectral-norm	typerb-native	pass	0			0.2537197089999381	0.077026	77987840	19744	fe8fe9a9c93bf5ebf0af07bd4d88dfb4abf04e52fd72ba2b5fd8743326772f8a	0	true	true
retained	9	7	1	spectral-norm	typerb-native	pass	0			0.23974557199994706	0.075737	78258176	19744	fe8fe9a9c93bf5ebf0af07bd4d88dfb4abf04e52fd72ba2b5fd8743326772f8a	0	true	true
retained	9	7	2	spectral-norm	typerb-go	pass	0			0.614525335000053	0.451976	160542720	2809882	5594e1f8e712019d4d3ae64b32ded37a78fbab1e0d180b3f19b7199873f02c75	0	true	true
retained	10	8	1	spectral-norm	typerb-go	pass	0			0.5848018950000551	0.455115	160296960	2809882	42479d5c71705b87e92b241a2a5daf1a31f8f317c900e0d3a1c466de72feb297	0	true	true
retained	10	8	2	spectral-norm	typerb-native	pass	0			0.2670970039999929	0.075669	78262272	19744	fe8fe9a9c93bf5ebf0af07bd4d88dfb4abf04e52fd72ba2b5fd8743326772f8a	0	true	true
retained	11	9	1	spectral-norm	typerb-native	pass	0			0.20692801300003794	0.074208	78065664	19744	fe8fe9a9c93bf5ebf0af07bd4d88dfb4abf04e52fd72ba2b5fd8743326772f8a	0	true	true
retained	11	9	2	spectral-norm	typerb-go	pass	0			0.5837223679999397	0.446405	161316864	2809882	832fa103dabd54dee69c6fd2884331f8aecc87b62c0cff10341ac4b68fbd6784	0	true	true
retained	12	10	1	spectral-norm	typerb-go	pass	0			0.6084284779999507	0.444369	161189888	2809874	a0bbd7938d40dd755878603c1e6b390f7d0812822ca6924b163e9049dfd28d3b	0	true	true
retained	12	10	2	spectral-norm	typerb-native	pass	0			0.2140161250000574	0.076195	78065664	19744	fe8fe9a9c93bf5ebf0af07bd4d88dfb4abf04e52fd72ba2b5fd8743326772f8a	0	true	true
retained	13	11	1	spectral-norm	typerb-native	pass	0			0.2469822010000371	0.074535	78254080	19744	fe8fe9a9c93bf5ebf0af07bd4d88dfb4abf04e52fd72ba2b5fd8743326772f8a	0	true	true
retained	13	11	2	spectral-norm	typerb-go	pass	0			0.6231426099999453	0.451823	160452608	2809882	348f9cdea4aa946ad09bbd4c0a06475cf0ec3060ab06fc508266159e1208247a	0	true	true
