phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	fannkuch-redux	typerb-native	pass	0			0.1577837809999778	0.054848	78082048	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
warmup	1	0	2	fannkuch-redux	typerb-go	pass	0			3.7198055979999936	9.787084	398196736	2808836	41f97aa9021dbb70aeb7af4ebac52ca689c8691b96d9a3c8843afd8315862cff	0	true	true
warmup	2	0	1	fannkuch-redux	typerb-go	pass	0			0.4624629310000046	0.338759	159211520	2808692	6e602e1722ab72bdd05951a7662e485c89bc6fa17778ad6a15a507b31ac909b9	0	true	true
warmup	2	0	2	fannkuch-redux	typerb-native	pass	0			0.17841063200000917	0.056422	78147584	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	3	1	1	fannkuch-redux	typerb-native	pass	0			0.17099912100002257	0.056055	78077952	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	3	1	2	fannkuch-redux	typerb-go	pass	0			0.42732965099997955	0.343887	159027200	2808692	9b6962e959091f9c820356b706a0d168c6ee4bd89ca5568a3a057355b8ee91b3	0	true	true
retained	4	2	1	fannkuch-redux	typerb-go	pass	0			0.39312497000003077	0.338369	159227904	2808692	f259eef52f6453836ce9f4d032e443931c0dcfa98bab453b76f51ce9d5e6f931	0	true	true
retained	4	2	2	fannkuch-redux	typerb-native	pass	0			0.16327612700001737	0.055426	78143488	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	5	3	1	fannkuch-redux	typerb-native	pass	0			0.16458602099999098	0.055483	78147584	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	5	3	2	fannkuch-redux	typerb-go	pass	0			0.38946898599999713	0.338787	158560256	2808692	3e26f139110b92a01ff93557ea78b7b40a18812159f501444e5d6c52472e8965	0	true	true
retained	6	4	1	fannkuch-redux	typerb-go	pass	0			0.3949130999999966	0.344118	159412224	2808692	a7ea48665945d11b593ba710ad8eda6e5d23ac735ec6d682a3433ccadc16870e	0	true	true
retained	6	4	2	fannkuch-redux	typerb-native	pass	0			0.161390114000028	0.054846	78139392	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	7	5	1	fannkuch-redux	typerb-native	pass	0			0.1628248009999993	0.05497	78135296	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	7	5	2	fannkuch-redux	typerb-go	pass	0			0.38839996599995175	0.335471	160301056	2808836	c1283292dcbf5dd26b8135cb6408308860143c114b9d273a9b57747a2e380fc0	0	true	true
retained	8	6	1	fannkuch-redux	typerb-go	pass	0			0.40070387599996593	0.339777	159256576	2808692	b5dee76061ecbea1d19b040110fa96b5de413914176197425be34e01c5e2e5f6	0	true	true
retained	8	6	2	fannkuch-redux	typerb-native	pass	0			0.16173791400001392	0.055183	78336000	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	9	7	1	fannkuch-redux	typerb-native	pass	0			0.16177616800001715	0.056608	78143488	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	9	7	2	fannkuch-redux	typerb-go	pass	0			0.38259691700000076	0.337154	158310400	2808692	7a1496f8e3c952db724e2dae60fa498574e41239c16e8095dbbe0be32e2adb02	0	true	true
retained	10	8	1	fannkuch-redux	typerb-go	pass	0			0.38515674000001354	0.339914	160116736	2808692	8617a9a5bcd8bd68291f94520f59105168ff3a70abd4d96ecbb4849d4e75e659	0	true	true
retained	10	8	2	fannkuch-redux	typerb-native	pass	0			0.16242615499999147	0.05561	78082048	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	11	9	1	fannkuch-redux	typerb-native	pass	0			0.18756490999999187	0.056741	78348288	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	11	9	2	fannkuch-redux	typerb-go	pass	0			0.3974031239999931	0.339299	158519296	2808692	0d564bf703b446a0dcccb01ae164f9af61d3619ff17f6ea1e9336c61598e132f	0	true	true
retained	12	10	1	fannkuch-redux	typerb-go	pass	0			0.39508510399997476	0.338976	158429184	2808836	8ab6d03ea8b4a0ebe8550cf0ba71bc119e2ee8943bf078d29f7c15c5e424978d	0	true	true
retained	12	10	2	fannkuch-redux	typerb-native	pass	0			0.15786044699996182	0.055469	78417920	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	13	11	1	fannkuch-redux	typerb-native	pass	0			0.1592323600000327	0.055743	78102528	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	13	11	2	fannkuch-redux	typerb-go	pass	0			0.3799215729999901	0.329733	158568448	2808692	043f411fa3f46b9c20e6a065b0239b9e8f048b901a787bb242cd0b2850071efe	0	true	true
