phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	n-body	typerb-native	pass	0			0.18307676799997807	0.067085	78290944	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
warmup	1	0	2	n-body	typerb-go	pass	0			3.9346339279999256	10.194532	385052672	2815354	0abc7587b608eca30af3ec9fcd12d8fabd4b98bc9bcfda9a13f56b956ab5c5e1	0	true	true
warmup	2	0	1	n-body	typerb-go	pass	0			0.48869018999994296	0.387119	161411072	2815354	0905b76696cdb1d00011d8a25a82fc5807ce41b60708945b8f51dff88dd51c89	0	true	true
warmup	2	0	2	n-body	typerb-native	pass	0			0.1794874660000687	0.067632	78557184	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	3	1	1	n-body	typerb-native	pass	0			0.16916207199994915	0.066345	78102528	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	3	1	2	n-body	typerb-go	pass	0			0.4379177769999387	0.397197	162193408	2815362	4a5036e71354283736615ee7d11a2ac12cf2d93b1ea07e7d9cd14862ad00439a	0	true	true
retained	4	2	1	n-body	typerb-go	pass	0			0.41150229499999114	0.392054	163319808	2815314	8c9b3695ae49edc3c71cbed937fab6942c2b1b0e4f058743ce20dca5fb40595c	0	true	true
retained	4	2	2	n-body	typerb-native	pass	0			0.16779740899994522	0.066593	78352384	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	5	3	1	n-body	typerb-native	pass	0			0.16878850199998396	0.067154	78045184	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	5	3	2	n-body	typerb-go	pass	0			0.40909143599992603	0.385484	163954688	2815354	61a34c2c69c9eda56457c43945e6616f5ffff80c5604b4e6f38e11846104d74c	0	true	true
retained	6	4	1	n-body	typerb-go	pass	0			0.4113736130000234	0.384817	164159488	2815362	e3fa1b172d6ca1e1e1d44d80439d611ba38b5b3f2a2cac9b4976be3a07e3031f	0	true	true
retained	6	4	2	n-body	typerb-native	pass	0			0.17495805299995482	0.066575	78045184	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	7	5	1	n-body	typerb-native	pass	0			0.17064087400001426	0.066589	78290944	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	7	5	2	n-body	typerb-go	pass	0			0.4094042570000056	0.391538	163000320	2815354	a37407952c59c6ae76e238f19581e931308209936a69fd3ec20be4de57ad72aa	0	true	true
retained	8	6	1	n-body	typerb-go	pass	0			0.4067129280000472	0.38733	161955840	2815362	f0d9eab463dbcb9146b15bb37435982391a8151387f5fad0d48ec744a8364ac3	0	true	true
retained	8	6	2	n-body	typerb-native	pass	0			0.16235881600005087	0.066129	78286848	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	9	7	1	n-body	typerb-native	pass	0			0.1650900959999717	0.065784	78475264	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	9	7	2	n-body	typerb-go	pass	0			0.40467679300002146	0.388311	163102720	2815314	9b8ff7786659c55b3b45dbb2251c503fa59b4b46e9a2db90e3013982e046063a	0	true	true
retained	10	8	1	n-body	typerb-go	pass	0			0.40811402300005284	0.391705	162074624	2815362	8db36c4a3cf441f2fc8c9a005729430f500883c7e971edd0b0d262c608edbe6a	0	true	true
retained	10	8	2	n-body	typerb-native	pass	0			0.17135173700000905	0.066819	78086144	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	11	9	1	n-body	typerb-native	pass	0			0.16668460300002153	0.066319	78286848	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	11	9	2	n-body	typerb-go	pass	0			0.40652862900003583	0.386022	162332672	2815354	e0e3dc5e218f7cb7bd206e79d8a0b23155790c2f5fea2f41596c8f150a9c8148	0	true	true
retained	12	10	1	n-body	typerb-go	pass	0			0.4068815430000541	0.382023	162598912	2815362	8a4781c11009d7c52f436d0ffd2a205f1a1d57b58129d41902b7361a8a11014f	0	true	true
retained	12	10	2	n-body	typerb-native	pass	0			0.16599818700001379	0.066442	78446592	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	13	11	1	n-body	typerb-native	pass	0			0.16625790700004472	0.066923	78331904	22320	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	0	true	true
retained	13	11	2	n-body	typerb-go	pass	0			0.4066637330000731	0.384736	163393536	2815354	144372c8e05f0c0d03d5d24869aeedc68b52445491f21cb1e7d282fc45f8e4cd	0	true	true
