phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	spectral-norm	typerb-native	pass	0			0.1689011200001005	0.05517	78254080	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
warmup	1	0	2	spectral-norm	typerb-go	pass	0			4.052201026000148	10.568294	397750272	2809850	10bb354bfb421ea959e841111a9f8058f6b67d4637ca80ce5dc8ddcf4c22a58d	0	true	true
warmup	2	0	1	spectral-norm	typerb-go	pass	0			0.5281516430000011	0.364255	160735232	2809882	b6fbfdc2ce8e739ecd50a0bd6a2f3833a898b26bfdb121dca3e623aacbb8fc67	0	true	true
warmup	2	0	2	spectral-norm	typerb-native	pass	0			0.1592943179998656	0.056447	78254080	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	3	1	1	spectral-norm	typerb-native	pass	0			0.17065551000018786	0.056925	78266368	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	3	1	2	spectral-norm	typerb-go	pass	0			0.44499774199994135	0.377907	160174080	2809882	5f2e8a59fb991505ff6a868f51e8cf3698ce7c61e7703d2d2a40ffba1b6c4a2a	0	true	true
retained	4	2	1	spectral-norm	typerb-go	pass	0			0.42091414900005475	0.36578	160956416	2809882	ccef1556983a42aacbad9497f54a29872f1230bf007ed2103d9706744a04eff8	0	true	true
retained	4	2	2	spectral-norm	typerb-native	pass	0			0.16771003999997447	0.055952	78249984	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	5	3	1	spectral-norm	typerb-native	pass	0			0.1682895510000435	0.056571	78254080	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	5	3	2	spectral-norm	typerb-go	pass	0			0.4412882130000071	0.371273	160256000	2809874	62ef48e4616d7ded4f34ffffdcd7509fd94f3829afcb5beb564ca2ac09374889	0	true	true
retained	6	4	1	spectral-norm	typerb-go	pass	0			0.43312281199996505	0.373842	159178752	2809882	b9a99bd25c83e24b2887a365fb8ed5c46f367fa81e3f2b6235db888c08d4f224	0	true	true
retained	6	4	2	spectral-norm	typerb-native	pass	0			0.1723908419999134	0.057002	78258176	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	7	5	1	spectral-norm	typerb-native	pass	0			0.1614860760000738	0.0558	78323712	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	7	5	2	spectral-norm	typerb-go	pass	0			0.44524806100002934	0.351236	159592448	2809882	e7d02e702441942a9924761604384a78096c39d083383539348aa7d40a96baed	0	true	true
retained	8	6	1	spectral-norm	typerb-go	pass	0			0.39475059799997325	0.350853	160468992	2809882	1617d2fe8c726b0dc350e8dc74d191bf34c649de8f678b83c8418d0ebb39b0cd	0	true	true
retained	8	6	2	spectral-norm	typerb-native	pass	0			0.15826286800006528	0.055142	78270464	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	9	7	1	spectral-norm	typerb-native	pass	0			0.16057766299991272	0.055435	78053376	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	9	7	2	spectral-norm	typerb-go	pass	0			0.4053647150001325	0.338042	160583680	2809882	deed195d45946fb09f3c51e584ac6e567c1639b14c6b1c87c25c9e1a17fb4b14	0	true	true
retained	10	8	1	spectral-norm	typerb-go	pass	0			0.378959949000091	0.343243	159780864	2809882	8b0c5c4005fb7fc705a5bf701129b4a7f60c324016f2d43ba93cda877e40cb11	0	true	true
retained	10	8	2	spectral-norm	typerb-native	pass	0			0.16107421800006705	0.054473	78315520	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	11	9	1	spectral-norm	typerb-native	pass	0			0.1568030490000183	0.054584	77996032	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	11	9	2	spectral-norm	typerb-go	pass	0			0.3869416090001323	0.34543	160681984	2809850	dd07215c6488d749a7f03920107056c2a5315940f9b853ce39df64d221310b7d	0	true	true
retained	12	10	1	spectral-norm	typerb-go	pass	0			0.4246735199999421	0.356331	160751616	2809874	60775b1c8cfe89285b8b82ffcf7bdf09d63b8acd5e9e9520ca81a12add6860fb	0	true	true
retained	12	10	2	spectral-norm	typerb-native	pass	0			0.1560277999999471	0.054306	78008320	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	13	11	1	spectral-norm	typerb-native	pass	0			0.15430282799979977	0.054319	78057472	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	13	11	2	spectral-norm	typerb-go	pass	0			0.41952917399999023	0.361948	159727616	2809882	6ea7636b7a841a5d50f6f1ccbd82a75c80bb7f3834bd60a375ab435df4a5dff7	0	true	true
