phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	four-core	typerb-native	pass	0			84.8366446099999	84.827719	524288
warmup	1	0	2	fannkuch-redux	four-core	typerb-go	pass	0			45.828084839999974	45.950638	4132864
warmup	1	0	3	fannkuch-redux	four-core	c	pass	0			27.901633970999683	27.898055	790528
warmup	1	0	4	fannkuch-redux	four-core	cpp	pass	0			24.983827949999977	24.979864	675840
warmup	1	0	5	fannkuch-redux	four-core	go	pass	0			24.66950582499976	24.736532	3510272
warmup	1	0	6	fannkuch-redux	four-core	rust	pass	0			6.319229384999744	24.825216	1970176
warmup	1	0	7	fannkuch-redux	four-core	java	pass	0			24.003067392000048	23.983123	51798016
warmup	2	0	1	fannkuch-redux	four-core	typerb-go	pass	0			46.33222805300011	46.450879	4063232
warmup	2	0	2	fannkuch-redux	four-core	c	pass	0			27.407146205999197	27.402816	684032
warmup	2	0	3	fannkuch-redux	four-core	cpp	pass	0			24.98912387099972	24.985598	684032
warmup	2	0	4	fannkuch-redux	four-core	go	pass	0			24.641056849999586	24.694838	3670016
warmup	2	0	5	fannkuch-redux	four-core	rust	pass	0			6.311231925999891	24.828983	1990656
warmup	2	0	6	fannkuch-redux	four-core	java	pass	0			22.9370058049999	22.914335	51789824
warmup	2	0	7	fannkuch-redux	four-core	typerb-native	pass	0			84.89237642999979	84.884351	524288
retained	3	1	1	fannkuch-redux	four-core	c	pass	0			27.405623147999904	27.401379	679936
retained	3	1	2	fannkuch-redux	four-core	cpp	pass	0			24.982316679000178	24.978617	692224
retained	3	1	3	fannkuch-redux	four-core	go	pass	0			24.639434703000006	24.700123	3862528
retained	3	1	4	fannkuch-redux	four-core	rust	pass	0			6.31086628399953	24.822137	1998848
retained	3	1	5	fannkuch-redux	four-core	java	pass	0			24.004426554999554	23.981335	51863552
retained	3	1	6	fannkuch-redux	four-core	typerb-native	pass	0			84.85674882299918	84.848594	524288
retained	3	1	7	fannkuch-redux	four-core	typerb-go	pass	0			46.075973983999575	46.201604	4186112
retained	4	2	1	fannkuch-redux	four-core	cpp	pass	0			24.9963637310002	24.991037	679936
retained	4	2	2	fannkuch-redux	four-core	go	pass	0			24.64035344199965	24.701204	3833856
retained	4	2	3	fannkuch-redux	four-core	rust	pass	0			6.313856941999802	24.829831	1986560
retained	4	2	4	fannkuch-redux	four-core	java	pass	0			24.007836529999622	23.978657	51859456
retained	4	2	5	fannkuch-redux	four-core	typerb-native	pass	0			84.83436582600007	84.826387	524288
retained	4	2	6	fannkuch-redux	four-core	typerb-go	pass	0			46.2223125520004	46.341833	4096000
retained	4	2	7	fannkuch-redux	four-core	c	pass	0			27.29648147699936	27.292568	794624
retained	5	3	1	fannkuch-redux	four-core	go	pass	0			24.6372667859996	24.701978	3657728
retained	5	3	2	fannkuch-redux	four-core	rust	pass	0			6.310240828000133	24.827328	1970176
retained	5	3	3	fannkuch-redux	four-core	java	pass	0			24.005798468999274	23.985318	52150272
retained	5	3	4	fannkuch-redux	four-core	typerb-native	pass	0			84.85113031800029	84.844692	524288
retained	5	3	5	fannkuch-redux	four-core	typerb-go	pass	0			45.79728322600022	45.907049	4120576
retained	5	3	6	fannkuch-redux	four-core	c	pass	0			27.291687271000228	27.287789	688128
retained	5	3	7	fannkuch-redux	four-core	cpp	pass	0			24.980037981999885	24.976118	679936
retained	6	4	1	fannkuch-redux	four-core	rust	pass	0			6.3138201960000515	24.831435	1986560
retained	6	4	2	fannkuch-redux	four-core	java	pass	0			24.01170105900019	23.988526	51277824
retained	6	4	3	fannkuch-redux	four-core	typerb-native	pass	0			84.92823152000074	84.919677	524288
retained	6	4	4	fannkuch-redux	four-core	typerb-go	pass	0			46.15078463900045	46.259076	4149248
retained	6	4	5	fannkuch-redux	four-core	c	pass	0			27.401162298999225	27.396975	688128
retained	6	4	6	fannkuch-redux	four-core	cpp	pass	0			24.9652668560002	24.961764	679936
retained	6	4	7	fannkuch-redux	four-core	go	pass	0			24.683599171000424	24.736219	3674112
retained	7	5	1	fannkuch-redux	four-core	java	pass	0			24.005458526999973	23.986198	51716096
retained	7	5	2	fannkuch-redux	four-core	typerb-native	pass	0			84.84154662800029	84.833721	524288
retained	7	5	3	fannkuch-redux	four-core	typerb-go	pass	0			45.92755356699945	46.044265	4108288
retained	7	5	4	fannkuch-redux	four-core	c	pass	0			27.28757962599957	27.28277	679936
retained	7	5	5	fannkuch-redux	four-core	cpp	pass	0			24.962194873000044	24.95842	700416
retained	7	5	6	fannkuch-redux	four-core	go	pass	0			24.637706049999906	24.703568	3801088
retained	7	5	7	fannkuch-redux	four-core	rust	pass	0			6.310554057000445	24.825843	1978368
retained	8	6	1	fannkuch-redux	four-core	typerb-native	pass	0			84.86452847300006	84.856042	524288
retained	8	6	2	fannkuch-redux	four-core	typerb-go	pass	0			45.83397343999968	45.965156	4079616
retained	8	6	3	fannkuch-redux	four-core	c	pass	0			27.902192683000067	27.89783	688128
retained	8	6	4	fannkuch-redux	four-core	cpp	pass	0			24.983013346000007	24.978815	679936
retained	8	6	5	fannkuch-redux	four-core	go	pass	0			24.602718136000476	24.665687	3497984
retained	8	6	6	fannkuch-redux	four-core	rust	pass	0			6.312498569999661	24.825816	1998848
retained	8	6	7	fannkuch-redux	four-core	java	pass	0			24.01146715699997	23.989463	51834880
retained	9	7	1	fannkuch-redux	four-core	typerb-go	pass	0			46.03300786	46.160161	4308992
retained	9	7	2	fannkuch-redux	four-core	c	pass	0			27.408745315000488	27.404738	679936
retained	9	7	3	fannkuch-redux	four-core	cpp	pass	0			24.98334213399994	24.978911	679936
retained	9	7	4	fannkuch-redux	four-core	go	pass	0			24.669266643999435	24.735775	3891200
retained	9	7	5	fannkuch-redux	four-core	rust	pass	0			6.313376408000295	24.82515	1978368
retained	9	7	6	fannkuch-redux	four-core	java	pass	0			24.005336263000572	23.983074	51830784
retained	9	7	7	fannkuch-redux	four-core	typerb-native	pass	0			84.86019091400067	84.851429	524288
retained	10	8	1	fannkuch-redux	four-core	c	pass	0			27.898159172000305	27.893488	675840
retained	10	8	2	fannkuch-redux	four-core	cpp	pass	0			24.983917519999522	24.980068	688128
retained	10	8	3	fannkuch-redux	four-core	go	pass	0			24.620129212999927	24.67652	3825664
retained	10	8	4	fannkuch-redux	four-core	rust	pass	0			6.318020626999896	24.829852	1982464
retained	10	8	5	fannkuch-redux	four-core	java	pass	0			24.630970006999632	24.609748	51818496
retained	10	8	6	fannkuch-redux	four-core	typerb-native	pass	0			84.86606895899968	84.855954	524288
retained	10	8	7	fannkuch-redux	four-core	typerb-go	pass	0			45.75649123899984	45.876942	3964928
retained	11	9	1	fannkuch-redux	four-core	cpp	pass	0			24.95348510399981	24.949244	679936
retained	11	9	2	fannkuch-redux	four-core	go	pass	0			24.61163055400084	24.670416	3694592
retained	11	9	3	fannkuch-redux	four-core	rust	pass	0			6.315510413999618	24.828773	1966080
retained	11	9	4	fannkuch-redux	four-core	java	pass	0			23.952549278000333	23.9153	51945472
retained	11	9	5	fannkuch-redux	four-core	typerb-native	pass	0			84.92063287200017	84.912172	524288
retained	11	9	6	fannkuch-redux	four-core	typerb-go	pass	0			45.78660233200026	45.902705	4132864
retained	11	9	7	fannkuch-redux	four-core	c	pass	0			27.48519909800052	27.481002	679936
retained	12	10	1	fannkuch-redux	four-core	go	pass	0			24.61090234399944	24.671866	3739648
retained	12	10	2	fannkuch-redux	four-core	rust	pass	0			6.312225990000115	24.827645	1990656
retained	12	10	3	fannkuch-redux	four-core	java	pass	0			24.001331723000476	23.977896	51970048
retained	12	10	4	fannkuch-redux	four-core	typerb-native	pass	0			84.86708595599976	84.858906	524288
retained	12	10	5	fannkuch-redux	four-core	typerb-go	pass	0			46.12269436099996	46.24446	4034560
retained	12	10	6	fannkuch-redux	four-core	c	pass	0			27.89780354100003	27.893817	671744
retained	12	10	7	fannkuch-redux	four-core	cpp	pass	0			24.97892672099988	24.97474	684032
retained	13	11	1	fannkuch-redux	four-core	rust	pass	0			6.310301225999865	24.818088	1978368
retained	13	11	2	fannkuch-redux	four-core	java	pass	0			23.93763624699932	23.907872	51875840
retained	13	11	3	fannkuch-redux	four-core	typerb-native	pass	0			84.86533402700024	84.857139	524288
retained	13	11	4	fannkuch-redux	four-core	typerb-go	pass	0			45.97886085200025	46.087258	4280320
retained	13	11	5	fannkuch-redux	four-core	c	pass	0			27.287963328999467	27.283618	671744
retained	13	11	6	fannkuch-redux	four-core	cpp	pass	0			24.994767438000054	24.991329	1036288
retained	13	11	7	fannkuch-redux	four-core	go	pass	0			24.610820343999876	24.659807	3747840
