phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	one-core	typerb-native	pass	0			84.86006723700007	84.851736	524288
warmup	1	0	2	fannkuch-redux	one-core	typerb-go	pass	0			45.8565133699999	45.845257	3391488
warmup	1	0	3	fannkuch-redux	one-core	c	pass	0			27.294967804000066	27.288991	700416
warmup	1	0	4	fannkuch-redux	one-core	cpp	pass	0			25.14770084099996	25.143119	688128
warmup	1	0	5	fannkuch-redux	one-core	go	pass	0			24.60140355899989	24.592283	2899968
warmup	1	0	6	fannkuch-redux	one-core	rust	pass	0			24.876233255000102	24.871522	1216512
warmup	1	0	7	fannkuch-redux	one-core	java	pass	0			24.60251138000001	24.545309	49356800
warmup	2	0	1	fannkuch-redux	one-core	typerb-go	pass	0			45.64501381100001	45.633724	3391488
warmup	2	0	2	fannkuch-redux	one-core	c	pass	0			27.904633863000072	27.899336	696320
warmup	2	0	3	fannkuch-redux	one-core	cpp	pass	0			24.98410921800007	24.979785	692224
warmup	2	0	4	fannkuch-redux	one-core	go	pass	0			24.6281830690001	24.620987	2904064
warmup	2	0	5	fannkuch-redux	one-core	rust	pass	0			24.870544835000032	24.865342	1368064
warmup	2	0	6	fannkuch-redux	one-core	java	pass	0			24.531377619000068	24.471385	49143808
warmup	2	0	7	fannkuch-redux	one-core	typerb-native	pass	0			84.8662120250001	84.856885	524288
retained	3	1	1	fannkuch-redux	one-core	c	pass	0			27.89933058800011	27.894947	700416
retained	3	1	2	fannkuch-redux	one-core	cpp	pass	0			24.963198861000137	24.958059	921600
retained	3	1	3	fannkuch-redux	one-core	go	pass	0			24.620690916000058	24.613479	2904064
retained	3	1	4	fannkuch-redux	one-core	rust	pass	0			24.87487909399988	24.870801	1220608
retained	3	1	5	fannkuch-redux	one-core	java	pass	0			24.472544655999855	24.408867	49590272
retained	3	1	6	fannkuch-redux	one-core	typerb-native	pass	0			84.83600233800007	84.827625	524288
retained	3	1	7	fannkuch-redux	one-core	typerb-go	pass	0			45.942428092	45.931534	3338240
retained	4	2	1	fannkuch-redux	one-core	cpp	pass	0			24.969518723999954	24.964923	688128
retained	4	2	2	fannkuch-redux	one-core	go	pass	0			24.599020969000094	24.5904	2908160
retained	4	2	3	fannkuch-redux	one-core	rust	pass	0			24.87256411899989	24.868514	1212416
retained	4	2	4	fannkuch-redux	one-core	java	pass	0			24.603378395999925	24.545382	49356800
retained	4	2	5	fannkuch-redux	one-core	typerb-native	pass	0			84.92976814600001	84.920756	524288
retained	4	2	6	fannkuch-redux	one-core	typerb-go	pass	0			46.03351305499996	46.022953	3280896
retained	4	2	7	fannkuch-redux	one-core	c	pass	0			27.408362119999993	27.404202	688128
retained	5	3	1	fannkuch-redux	one-core	go	pass	0			24.592661960999976	24.584653	2904064
retained	5	3	2	fannkuch-redux	one-core	rust	pass	0			24.873707776999936	24.869012	1212416
retained	5	3	3	fannkuch-redux	one-core	java	pass	0			24.607375610999952	24.546909	49344512
retained	5	3	4	fannkuch-redux	one-core	typerb-native	pass	0			84.85891081199998	84.850437	524288
retained	5	3	5	fannkuch-redux	one-core	typerb-go	pass	0			45.86749570500001	45.856958	3289088
retained	5	3	6	fannkuch-redux	one-core	c	pass	0			27.899003596000057	27.894698	790528
retained	5	3	7	fannkuch-redux	one-core	cpp	pass	0			24.981799892000026	24.976334	696320
retained	6	4	1	fannkuch-redux	one-core	rust	pass	0			24.871063590000176	24.866676	1204224
retained	6	4	2	fannkuch-redux	one-core	java	pass	0			24.58024008899997	24.51728	49840128
retained	6	4	3	fannkuch-redux	one-core	typerb-native	pass	0			84.84434738300001	84.835508	524288
retained	6	4	4	fannkuch-redux	one-core	typerb-go	pass	0			45.91037032400027	45.898752	3334144
retained	6	4	5	fannkuch-redux	one-core	c	pass	0			27.298375053999735	27.293451	700416
retained	6	4	6	fannkuch-redux	one-core	cpp	pass	0			24.96109390599986	24.955977	675840
retained	6	4	7	fannkuch-redux	one-core	go	pass	0			24.60831945300015	24.599876	2867200
retained	7	5	1	fannkuch-redux	one-core	java	pass	0			24.604496093999842	24.538076	49336320
retained	7	5	2	fannkuch-redux	one-core	typerb-native	pass	0			84.89901883399989	84.890692	524288
retained	7	5	3	fannkuch-redux	one-core	typerb-go	pass	0			45.82638860599991	45.815863	3268608
retained	7	5	4	fannkuch-redux	one-core	c	pass	0			27.40891211600001	27.405037	696320
retained	7	5	5	fannkuch-redux	one-core	cpp	pass	0			24.952593609999894	24.947687	675840
retained	7	5	6	fannkuch-redux	one-core	go	pass	0			24.642061275999822	24.635205	2908160
retained	7	5	7	fannkuch-redux	one-core	rust	pass	0			24.87388791500007	24.86984	1228800
retained	8	6	1	fannkuch-redux	one-core	typerb-native	pass	0			84.85473713600004	84.845454	524288
retained	8	6	2	fannkuch-redux	one-core	typerb-go	pass	0			45.92068993299972	45.910012	3346432
retained	8	6	3	fannkuch-redux	one-core	c	pass	0			27.481179948999852	27.477203	692224
retained	8	6	4	fannkuch-redux	one-core	cpp	pass	0			24.981899414000054	24.977906	679936
retained	8	6	5	fannkuch-redux	one-core	go	pass	0			24.5867978389997	24.579697	2899968
retained	8	6	6	fannkuch-redux	one-core	rust	pass	0			24.87538587300014	24.870876	1208320
retained	8	6	7	fannkuch-redux	one-core	java	pass	0			24.627964189000068	24.567784	48046080
retained	9	7	1	fannkuch-redux	one-core	typerb-go	pass	0			46.19777778400021	46.186727	3289088
retained	9	7	2	fannkuch-redux	one-core	c	pass	0			27.40925576000018	27.404263	700416
retained	9	7	3	fannkuch-redux	one-core	cpp	pass	0			24.965421691999836	24.960894	688128
retained	9	7	4	fannkuch-redux	one-core	go	pass	0			24.608101280000028	24.598827	2887680
retained	9	7	5	fannkuch-redux	one-core	rust	pass	0			24.881089273999805	24.876512	1363968
retained	9	7	6	fannkuch-redux	one-core	java	pass	0			24.598182551000264	24.539291	48033792
retained	9	7	7	fannkuch-redux	one-core	typerb-native	pass	0			84.860270313	84.851731	524288
retained	10	8	1	fannkuch-redux	one-core	c	pass	0			27.414586997999777	27.409329	798720
retained	10	8	2	fannkuch-redux	one-core	cpp	pass	0			24.98135410499981	24.977219	880640
retained	10	8	3	fannkuch-redux	one-core	go	pass	0			24.672973487000036	24.66556	2899968
retained	10	8	4	fannkuch-redux	one-core	rust	pass	0			24.872482119000324	24.866088	1204224
retained	10	8	5	fannkuch-redux	one-core	java	pass	0			24.491421533999983	24.433376	49356800
retained	10	8	6	fannkuch-redux	one-core	typerb-native	pass	0			84.8635723970001	84.853833	524288
retained	10	8	7	fannkuch-redux	one-core	typerb-go	pass	0			45.96968213800028	45.959377	3284992
retained	11	9	1	fannkuch-redux	one-core	cpp	pass	0			24.98494846299991	24.980053	880640
retained	11	9	2	fannkuch-redux	one-core	go	pass	0			24.61714682999991	24.609649	2887680
retained	11	9	3	fannkuch-redux	one-core	rust	pass	0			24.873042915999577	24.867859	1216512
retained	11	9	4	fannkuch-redux	one-core	java	pass	0			24.62181980699961	24.563514	49348608
retained	11	9	5	fannkuch-redux	one-core	typerb-native	pass	0			84.86063609799976	84.851473	524288
retained	11	9	6	fannkuch-redux	one-core	typerb-go	pass	0			45.79249487700008	45.782011	3276800
retained	11	9	7	fannkuch-redux	one-core	c	pass	0			27.407967496999845	27.402479	684032
retained	12	10	1	fannkuch-redux	one-core	go	pass	0			24.607542033999835	24.600212	2899968
retained	12	10	2	fannkuch-redux	one-core	rust	pass	0			24.87756275899983	24.872382	1204224
retained	12	10	3	fannkuch-redux	one-core	java	pass	0			24.159343164999882	24.098532	49352704
retained	12	10	4	fannkuch-redux	one-core	typerb-native	pass	0			84.84765741199999	84.838764	524288
retained	12	10	5	fannkuch-redux	one-core	typerb-go	pass	0			45.869841584999904	45.858898	3198976
retained	12	10	6	fannkuch-redux	one-core	c	pass	0			27.288824047000162	27.283725	696320
retained	12	10	7	fannkuch-redux	one-core	cpp	pass	0			24.961501706000035	24.95738	696320
retained	13	11	1	fannkuch-redux	one-core	rust	pass	0			24.87513108899975	24.87088	1220608
retained	13	11	2	fannkuch-redux	one-core	java	pass	0			24.195111558000008	24.132852	49098752
retained	13	11	3	fannkuch-redux	one-core	typerb-native	pass	0			84.86169747800022	84.852333	524288
retained	13	11	4	fannkuch-redux	one-core	typerb-go	pass	0			45.9106395040003	45.899604	3289088
retained	13	11	5	fannkuch-redux	one-core	c	pass	0			27.901139644000068	27.895618	696320
retained	13	11	6	fannkuch-redux	one-core	cpp	pass	0			24.949897803000113	24.946086	880640
retained	13	11	7	fannkuch-redux	one-core	go	pass	0			24.597046872000192	24.590064	2899968
