phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	four-core	typerb-native	pass	0			10.448428981000006	10.447064	524288
warmup	1	0	2	n-body	four-core	typerb-go	pass	0			6.1709280610000405	6.182802	3948544
warmup	1	0	3	n-body	four-core	c	pass	0			2.9743941250000034	2.972703	425984
warmup	1	0	4	n-body	four-core	cpp	pass	0			2.7292685110001003	2.727223	692224
warmup	1	0	5	n-body	four-core	go	pass	0			3.5994170830000485	3.601047	3403776
warmup	1	0	6	n-body	four-core	rust	pass	0			3.5290855599999986	3.526379	954368
warmup	1	0	7	n-body	four-core	java	pass	0			5.007251870999994	4.9545	51261440
warmup	2	0	1	n-body	four-core	typerb-go	pass	0			6.178668678000008	6.188743	4050944
warmup	2	0	2	n-body	four-core	c	pass	0			2.975199693000036	2.973257	524288
warmup	2	0	3	n-body	four-core	cpp	pass	0			2.7329887610000014	2.730401	704512
warmup	2	0	4	n-body	four-core	go	pass	0			3.5983231899999737	3.60334	3428352
warmup	2	0	5	n-body	four-core	rust	pass	0			3.5160236699999814	3.512756	954368
warmup	2	0	6	n-body	four-core	java	pass	0			5.024689882999951	4.966951	50794496
warmup	2	0	7	n-body	four-core	typerb-native	pass	0			10.448126609000042	10.446409	524288
retained	3	1	1	n-body	four-core	c	pass	0			2.975133086000028	2.973024	524288
retained	3	1	2	n-body	four-core	cpp	pass	0			2.7328419909999866	2.729879	688128
retained	3	1	3	n-body	four-core	go	pass	0			3.5998101479999605	3.604197	3428352
retained	3	1	4	n-body	four-core	rust	pass	0			3.5046783860000232	3.502002	950272
retained	3	1	5	n-body	four-core	java	pass	0			4.998116329000027	4.946046	50536448
retained	3	1	6	n-body	four-core	typerb-native	pass	0			10.454461682000101	10.453101	524288
retained	3	1	7	n-body	four-core	typerb-go	pass	0			6.169257233000053	6.179643	3805184
retained	4	2	1	n-body	four-core	cpp	pass	0			2.7296720830000822	2.727418	700416
retained	4	2	2	n-body	four-core	go	pass	0			3.599391139999966	3.601391	3440640
retained	4	2	3	n-body	four-core	rust	pass	0			3.5138202350000256	3.511209	966656
retained	4	2	4	n-body	four-core	java	pass	0			5.019313519999969	4.969513	51318784
retained	4	2	5	n-body	four-core	typerb-native	pass	0			10.447923405999973	10.446427	524288
retained	4	2	6	n-body	four-core	typerb-go	pass	0			6.1740855070002	6.182899	4157440
retained	4	2	7	n-body	four-core	c	pass	0			2.9754487049999625	2.973433	524288
retained	5	3	1	n-body	four-core	go	pass	0			3.59847360699996	3.604612	3416064
retained	5	3	2	n-body	four-core	rust	pass	0			3.5141756980001446	3.511308	958464
retained	5	3	3	n-body	four-core	java	pass	0			5.016010576000099	4.968384	51363840
retained	5	3	4	n-body	four-core	typerb-native	pass	0			10.447843134000095	10.446403	524288
retained	5	3	5	n-body	four-core	typerb-go	pass	0			6.170581212000116	6.178273	3809280
retained	5	3	6	n-body	four-core	c	pass	0			2.9751824549998673	2.973181	524288
retained	5	3	7	n-body	four-core	cpp	pass	0			2.7310431490000155	2.728189	704512
retained	6	4	1	n-body	four-core	rust	pass	0			3.5258706639999673	3.522574	958464
retained	6	4	2	n-body	four-core	java	pass	0			4.996546875999911	4.937528	50270208
retained	6	4	3	n-body	four-core	typerb-native	pass	0			10.448656363000055	10.447027	524288
retained	6	4	4	n-body	four-core	typerb-go	pass	0			6.169917169999962	6.178866	4055040
retained	6	4	5	n-body	four-core	c	pass	0			2.975517711999828	2.973489	524288
retained	6	4	6	n-body	four-core	cpp	pass	0			2.7284896909998224	2.726448	692224
retained	6	4	7	n-body	four-core	go	pass	0			3.5986287059999995	3.602431	3391488
retained	7	5	1	n-body	four-core	java	pass	0			4.988552411000001	4.934561	50262016
retained	7	5	2	n-body	four-core	typerb-native	pass	0			10.447738241000025	10.446161	524288
retained	7	5	3	n-body	four-core	typerb-go	pass	0			6.1704812709999715	6.181141	4063232
retained	7	5	4	n-body	four-core	c	pass	0			2.975129428000173	2.973291	667648
retained	7	5	5	n-body	four-core	cpp	pass	0			2.7393297180001355	2.737159	704512
retained	7	5	6	n-body	four-core	go	pass	0			3.5976502129999517	3.602291	3428352
retained	7	5	7	n-body	four-core	rust	pass	0			3.5259737119999954	3.523312	946176
retained	8	6	1	n-body	four-core	typerb-native	pass	0			10.456478697000193	10.454698	524288
retained	8	6	2	n-body	four-core	typerb-go	pass	0			6.170681171000069	6.179933	3809280
retained	8	6	3	n-body	four-core	c	pass	0			2.97504633199992	2.973206	524288
retained	8	6	4	n-body	four-core	cpp	pass	0			2.7301942279998457	2.728173	684032
retained	8	6	5	n-body	four-core	go	pass	0			3.5972018699999353	3.600057	3420160
retained	8	6	6	n-body	four-core	rust	pass	0			3.5133607479999682	3.510462	966656
retained	8	6	7	n-body	four-core	java	pass	0			4.995471137000095	4.944379	49684480
retained	9	7	1	n-body	four-core	typerb-go	pass	0			6.18095927000013	6.191544	3809280
retained	9	7	2	n-body	four-core	c	pass	0			2.9747710730000563	2.972976	524288
retained	9	7	3	n-body	four-core	cpp	pass	0			2.730655052999964	2.728845	688128
retained	9	7	4	n-body	four-core	go	pass	0			3.5991335329999856	3.602099	3428352
retained	9	7	5	n-body	four-core	rust	pass	0			3.5139426789999106	3.511158	962560
retained	9	7	6	n-body	four-core	java	pass	0			5.0091788970000835	4.947161	50913280
retained	9	7	7	n-body	four-core	typerb-native	pass	0			10.447917512999993	10.446469	524288
