phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	one-core	typerb-native	pass	0			10.445429482000009	10.443877	442368
warmup	1	0	2	n-body	one-core	typerb-go	pass	0			6.172552602000053	6.165467	3014656
warmup	1	0	3	n-body	one-core	c	pass	0			2.9764139000000114	2.973428	524288
warmup	1	0	4	n-body	one-core	cpp	pass	0			2.7345418040000027	2.732163	684032
warmup	1	0	5	n-body	one-core	go	pass	0			3.598278200999971	3.592573	2646016
warmup	1	0	6	n-body	one-core	rust	pass	0			3.5106880889999843	3.508119	950272
warmup	1	0	7	n-body	one-core	java	pass	0			5.035551199999986	4.967073	48717824
warmup	2	0	1	n-body	one-core	typerb-go	pass	0			6.169769072000008	6.162517	3014656
warmup	2	0	2	n-body	one-core	c	pass	0			2.9759405750000383	2.973703	524288
warmup	2	0	3	n-body	one-core	cpp	pass	0			2.7335291460000235	2.731223	679936
warmup	2	0	4	n-body	one-core	go	pass	0			3.6007083789999683	3.594216	2629632
warmup	2	0	5	n-body	one-core	rust	pass	0			3.5356225819999736	3.531069	958464
warmup	2	0	6	n-body	one-core	java	pass	0			5.094484064000028	5.006089	39665664
warmup	2	0	7	n-body	one-core	typerb-native	pass	0			10.439737901	10.437523	524288
retained	3	1	1	n-body	one-core	c	pass	0			2.9767984389999924	2.974178	524288
retained	3	1	2	n-body	one-core	cpp	pass	0			2.7360425960000043	2.733789	688128
retained	3	1	3	n-body	one-core	go	pass	0			3.5982292200000074	3.592354	2617344
retained	3	1	4	n-body	one-core	rust	pass	0			3.513713540000026	3.510605	942080
retained	3	1	5	n-body	one-core	java	pass	0			5.048690540999985	4.982408	48730112
retained	3	1	6	n-body	one-core	typerb-native	pass	0			10.448103100000026	10.446278	524288
retained	3	1	7	n-body	one-core	typerb-go	pass	0			6.176555836000034	6.170116	3022848
retained	4	2	1	n-body	one-core	cpp	pass	0			2.7318566200000305	2.72913	667648
retained	4	2	2	n-body	one-core	go	pass	0			3.600495770000009	3.594237	2633728
retained	4	2	3	n-body	one-core	rust	pass	0			3.5150767189999783	3.512112	966656
retained	4	2	4	n-body	one-core	java	pass	0			5.042569095000033	4.978388	48758784
retained	4	2	5	n-body	one-core	typerb-native	pass	0			10.449533502000008	10.44729	524288
retained	4	2	6	n-body	one-core	typerb-go	pass	0			6.170755814000017	6.164196	3100672
retained	4	2	7	n-body	one-core	c	pass	0			2.976252446999979	2.973765	524288
retained	5	3	1	n-body	one-core	go	pass	0			3.598917039000071	3.59287	2633728
retained	5	3	2	n-body	one-core	rust	pass	0			3.52961166700004	3.527048	942080
retained	5	3	3	n-body	one-core	java	pass	0			5.100959009999997	5.024452	48717824
retained	5	3	4	n-body	one-core	typerb-native	pass	0			10.45035847500003	10.448538	524288
retained	5	3	5	n-body	one-core	typerb-go	pass	0			6.174378027999978	6.164938	3260416
retained	5	3	6	n-body	one-core	c	pass	0			2.976638419999972	2.973978	524288
retained	5	3	7	n-body	one-core	cpp	pass	0			2.7359425429999646	2.733069	684032
retained	6	4	1	n-body	one-core	rust	pass	0			3.5214790210000046	3.518762	974848
retained	6	4	2	n-body	one-core	java	pass	0			5.020926063000047	4.953175	48738304
retained	6	4	3	n-body	one-core	typerb-native	pass	0			10.44972907400006	10.447805	524288
retained	6	4	4	n-body	one-core	typerb-go	pass	0			6.171578339999996	6.164389	3260416
retained	6	4	5	n-body	one-core	c	pass	0			2.9759634040000265	2.973076	524288
retained	6	4	6	n-body	one-core	cpp	pass	0			2.730464275000031	2.72809	684032
retained	6	4	7	n-body	one-core	go	pass	0			3.598658832999945	3.592623	2641920
retained	7	5	1	n-body	one-core	java	pass	0			5.033134229999973	4.966846	48775168
retained	7	5	2	n-body	one-core	typerb-native	pass	0			10.444409638000025	10.441569	524288
retained	7	5	3	n-body	one-core	typerb-go	pass	0			6.170963104999942	6.164156	3026944
retained	7	5	4	n-body	one-core	c	pass	0			2.9754476629999544	2.973437	524288
retained	7	5	5	n-body	one-core	cpp	pass	0			2.72959395700002	2.727131	679936
retained	7	5	6	n-body	one-core	go	pass	0			3.599748866000027	3.594041	2637824
retained	7	5	7	n-body	one-core	rust	pass	0			3.502926183999989	3.500012	987136
retained	8	6	1	n-body	one-core	typerb-native	pass	0			10.444958530000008	10.443212	524288
retained	8	6	2	n-body	one-core	typerb-go	pass	0			6.170006359000013	6.163022	3010560
retained	8	6	3	n-body	one-core	c	pass	0			2.9757715860000644	2.97352	524288
retained	8	6	4	n-body	one-core	cpp	pass	0			2.729359858999942	2.726892	696320
retained	8	6	5	n-body	one-core	go	pass	0			3.599455634000037	3.593911	2625536
