phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	four-core	typerb-native	pass	0			4.385198553999999	4.3833	1486848
warmup	1	0	2	spectral-norm	four-core	typerb-go	pass	0			5.635850291999986	5.649691	7860224
warmup	1	0	3	spectral-norm	four-core	c	pass	0			1.787453285999959	1.785649	692224
warmup	1	0	4	spectral-norm	four-core	cpp	pass	0			1.8390777350000462	1.837102	950272
warmup	1	0	5	spectral-norm	four-core	go	pass	0			3.218270813999993	3.222433	4485120
warmup	1	0	6	spectral-norm	four-core	rust	pass	0			0.4660783699999911	1.800181	2236416
warmup	1	0	7	spectral-norm	four-core	java	pass	0			1.92438887600008	1.880147	51511296
warmup	2	0	1	spectral-norm	four-core	typerb-go	pass	0			5.636555874999999	5.643398	8146944
warmup	2	0	2	spectral-norm	four-core	c	pass	0			1.7876124160000018	1.785654	946176
warmup	2	0	3	spectral-norm	four-core	cpp	pass	0			1.8384572959998877	1.836541	962560
warmup	2	0	4	spectral-norm	four-core	go	pass	0			3.2182608309999523	3.218368	4739072
warmup	2	0	5	spectral-norm	four-core	rust	pass	0			0.4584108169999581	1.800386	2244608
warmup	2	0	6	spectral-norm	four-core	java	pass	0			1.9233236179999267	1.882178	52314112
warmup	2	0	7	spectral-norm	four-core	typerb-native	pass	0			4.384758679000015	4.381836	1490944
retained	3	1	1	spectral-norm	four-core	c	pass	0			1.787815314999989	1.785709	929792
retained	3	1	2	spectral-norm	four-core	cpp	pass	0			1.8388490520000005	1.836686	946176
retained	3	1	3	spectral-norm	four-core	go	pass	0			3.220597847000022	3.222008	4558848
retained	3	1	4	spectral-norm	four-core	rust	pass	0			0.46617328599995744	1.802485	2236416
retained	3	1	5	spectral-norm	four-core	java	pass	0			1.9235128589999704	1.881848	51257344
retained	3	1	6	spectral-norm	four-core	typerb-native	pass	0			4.384568508000029	4.382587	1490944
retained	3	1	7	spectral-norm	four-core	typerb-go	pass	0			5.635917436999989	5.64534	7991296
retained	4	2	1	spectral-norm	four-core	cpp	pass	0			1.8386300390000088	1.836639	946176
retained	4	2	2	spectral-norm	four-core	go	pass	0			3.2186985990000494	3.219592	4521984
retained	4	2	3	spectral-norm	four-core	rust	pass	0			0.4709953650000216	1.802585	2232320
retained	4	2	4	spectral-norm	four-core	java	pass	0			1.9324273359999324	1.886629	51499008
retained	4	2	5	spectral-norm	four-core	typerb-native	pass	0			4.382773006000093	4.380966	1478656
retained	4	2	6	spectral-norm	four-core	typerb-go	pass	0			5.638163348000035	5.6446	8216576
retained	4	2	7	spectral-norm	four-core	c	pass	0			1.7883067310000342	1.785856	700416
retained	5	3	1	spectral-norm	four-core	go	pass	0			3.2192213959999663	3.222701	4550656
retained	5	3	2	spectral-norm	four-core	rust	pass	0			0.45904225999993287	1.800775	2224128
retained	5	3	3	spectral-norm	four-core	java	pass	0			1.930701178999925	1.885047	51261440
retained	5	3	4	spectral-norm	four-core	typerb-native	pass	0			4.383597965000035	4.381622	1462272
retained	5	3	5	spectral-norm	four-core	typerb-go	pass	0			5.636077965000027	5.647358	8310784
retained	5	3	6	spectral-norm	four-core	c	pass	0			1.7876549239999804	1.785497	696320
retained	5	3	7	spectral-norm	four-core	cpp	pass	0			1.838742160000038	1.836779	954368
retained	6	4	1	spectral-norm	four-core	rust	pass	0			0.4670897620000005	1.801851	1986560
retained	6	4	2	spectral-norm	four-core	java	pass	0			1.9210749449999867	1.883038	51765248
retained	6	4	3	spectral-norm	four-core	typerb-native	pass	0			4.383921296999915	4.382109	1445888
retained	6	4	4	spectral-norm	four-core	typerb-go	pass	0			5.635809993000066	5.644557	8048640
retained	6	4	5	spectral-norm	four-core	c	pass	0			1.7872495659999004	1.785265	946176
retained	6	4	6	spectral-norm	four-core	cpp	pass	0			1.8385958290000417	1.836681	958464
retained	6	4	7	spectral-norm	four-core	go	pass	0			3.218411008999965	3.222381	4476928
retained	7	5	1	spectral-norm	four-core	java	pass	0			1.9148139680000895	1.881219	52555776
retained	7	5	2	spectral-norm	four-core	typerb-native	pass	0			4.38347183399992	4.381392	1490944
retained	7	5	3	spectral-norm	four-core	typerb-go	pass	0			5.636427507000008	5.64596	7581696
retained	7	5	4	spectral-norm	four-core	c	pass	0			1.787547626000105	1.785624	880640
retained	7	5	5	spectral-norm	four-core	cpp	pass	0			1.838677010000083	1.836691	954368
retained	7	5	6	spectral-norm	four-core	go	pass	0			3.218452452999827	3.221665	4726784
retained	7	5	7	spectral-norm	four-core	rust	pass	0			0.46456469700001435	1.801162	2232320
retained	8	6	1	spectral-norm	four-core	typerb-native	pass	0			4.382882147999908	4.381003	1462272
retained	8	6	2	spectral-norm	four-core	typerb-go	pass	0			5.638025071999891	5.64729	8134656
retained	8	6	3	spectral-norm	four-core	c	pass	0			1.787528636999923	1.785562	696320
retained	8	6	4	spectral-norm	four-core	cpp	pass	0			1.8388635090000207	1.836963	954368
retained	8	6	5	spectral-norm	four-core	go	pass	0			3.2184607840001718	3.221882	4624384
retained	8	6	6	spectral-norm	four-core	rust	pass	0			0.4595493770000303	1.800907	2240512
retained	8	6	7	spectral-norm	four-core	java	pass	0			1.9342274370001178	1.895743	52305920
retained	9	7	1	spectral-norm	four-core	typerb-go	pass	0			5.634798994999983	5.645584	8245248
retained	9	7	2	spectral-norm	four-core	c	pass	0			1.7878370910000285	1.785829	942080
retained	9	7	3	spectral-norm	four-core	cpp	pass	0			1.8388133660000676	1.836627	946176
retained	9	7	4	spectral-norm	four-core	go	pass	0			3.218986094999991	3.222436	4726784
retained	9	7	5	spectral-norm	four-core	rust	pass	0			0.45906610200017894	1.801034	2224128
retained	9	7	6	spectral-norm	four-core	java	pass	0			1.9180985949999467	1.881836	51535872
retained	9	7	7	spectral-norm	four-core	typerb-native	pass	0			4.382476495999981	4.380526	1486848
retained	10	8	1	spectral-norm	four-core	c	pass	0			1.787472323999964	1.785562	942080
retained	10	8	2	spectral-norm	four-core	cpp	pass	0			1.8391954449998593	1.836969	946176
retained	10	8	3	spectral-norm	four-core	go	pass	0			3.218597503999945	3.221912	4714496
retained	10	8	4	spectral-norm	four-core	rust	pass	0			0.4611177590002171	1.80087	2232320
retained	10	8	5	spectral-norm	four-core	java	pass	0			1.9191665020000528	1.877713	52457472
retained	10	8	6	spectral-norm	four-core	typerb-native	pass	0			4.385150865000014	4.382864	1490944
retained	10	8	7	spectral-norm	four-core	typerb-go	pass	0			5.6356794220000666	5.645956	7983104
retained	11	9	1	spectral-norm	four-core	cpp	pass	0			1.8388065969998024	1.836719	962560
retained	11	9	2	spectral-norm	four-core	go	pass	0			3.2196790109999256	3.221592	4734976
retained	11	9	3	spectral-norm	four-core	rust	pass	0			0.46079556500012586	1.800033	2240512
retained	11	9	4	spectral-norm	four-core	java	pass	0			1.9141218610000124	1.878162	52060160
retained	11	9	5	spectral-norm	four-core	typerb-native	pass	0			4.382847614999946	4.381094	1478656
retained	11	9	6	spectral-norm	four-core	typerb-go	pass	0			5.635930852999991	5.647498	7704576
retained	11	9	7	spectral-norm	four-core	c	pass	0			1.7878617090000262	1.785405	700416
retained	12	10	1	spectral-norm	four-core	go	pass	0			3.2186675240000113	3.221025	4804608
retained	12	10	2	spectral-norm	four-core	rust	pass	0			0.4628342829998928	1.800418	2232320
retained	12	10	3	spectral-norm	four-core	java	pass	0			1.916709919999903	1.881223	52576256
retained	12	10	4	spectral-norm	four-core	typerb-native	pass	0			4.384135808999872	4.382294	1490944
retained	12	10	5	spectral-norm	four-core	typerb-go	pass	0			5.636081418999993	5.644818	7970816
retained	12	10	6	spectral-norm	four-core	c	pass	0			1.788034965999941	1.785745	696320
retained	12	10	7	spectral-norm	four-core	cpp	pass	0			1.8384484309999607	1.836668	958464
retained	13	11	1	spectral-norm	four-core	rust	pass	0			0.4677347449999161	1.801315	2232320
retained	13	11	2	spectral-norm	four-core	java	pass	0			1.9153474390000156	1.87834	52719616
retained	13	11	3	spectral-norm	four-core	typerb-native	pass	0			4.3818414939999	4.380043	1466368
retained	13	11	4	spectral-norm	four-core	typerb-go	pass	0			5.635451598999907	5.646007	7979008
retained	13	11	5	spectral-norm	four-core	c	pass	0			1.7875488829999995	1.785527	937984
retained	13	11	6	spectral-norm	four-core	cpp	pass	0			1.8381839009998657	1.836463	954368
retained	13	11	7	spectral-norm	four-core	go	pass	0			3.2201407990000916	3.221377	4718592
