phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	one-core	typerb-native	pass	0			4.383858710000027	4.382157	1228800
warmup	1	0	2	spectral-norm	one-core	typerb-go	pass	0			5.638112230000047	5.63047	7438336
warmup	1	0	3	spectral-norm	one-core	c	pass	0			1.7875340699999924	1.785326	942080
warmup	1	0	4	spectral-norm	one-core	cpp	pass	0			1.8391162269999768	1.836669	950272
warmup	1	0	5	spectral-norm	one-core	go	pass	0			3.2183058269999947	3.212485	3923968
warmup	1	0	6	spectral-norm	one-core	rust	pass	0			1.7984130199999981	1.795202	1437696
warmup	1	0	7	spectral-norm	one-core	java	pass	0			1.956327457000043	1.887209	50024448
warmup	2	0	1	spectral-norm	one-core	typerb-go	pass	0			5.635458933999985	5.628971	7200768
warmup	2	0	2	spectral-norm	one-core	c	pass	0			1.7876337980000017	1.785282	700416
warmup	2	0	3	spectral-norm	one-core	cpp	pass	0			1.8387768370000686	1.836673	937984
warmup	2	0	4	spectral-norm	one-core	go	pass	0			3.2190972959999726	3.212835	3948544
warmup	2	0	5	spectral-norm	one-core	rust	pass	0			1.7977297070000304	1.794623	1548288
warmup	2	0	6	spectral-norm	one-core	java	pass	0			1.9507015460000048	1.886698	50040832
warmup	2	0	7	spectral-norm	one-core	typerb-native	pass	0			4.384204723000039	4.381858	1478656
retained	3	1	1	spectral-norm	one-core	c	pass	0			1.7880711589999692	1.785595	946176
retained	3	1	2	spectral-norm	one-core	cpp	pass	0			1.8388963859999876	1.836696	925696
retained	3	1	3	spectral-norm	one-core	go	pass	0			3.2189237239999784	3.212621	3940352
retained	3	1	4	spectral-norm	one-core	rust	pass	0			1.7980847569999696	1.794512	1470464
retained	3	1	5	spectral-norm	one-core	java	pass	0			1.9509366720000116	1.883525	50073600
retained	3	1	6	spectral-norm	one-core	typerb-native	pass	0			4.384687960000065	4.382506	1482752
retained	3	1	7	spectral-norm	one-core	typerb-go	pass	0			5.636816962000012	5.628897	7151616
retained	4	2	1	spectral-norm	one-core	cpp	pass	0			1.8386686559999816	1.836427	942080
retained	4	2	2	spectral-norm	one-core	go	pass	0			3.2191385329999775	3.213034	3948544
retained	4	2	3	spectral-norm	one-core	rust	pass	0			1.798347261999993	1.795219	1437696
retained	4	2	4	spectral-norm	one-core	java	pass	0			1.9580915010000126	1.890597	50053120
retained	4	2	5	spectral-norm	one-core	typerb-native	pass	0			4.383035964999976	4.380698	1449984
retained	4	2	6	spectral-norm	one-core	typerb-go	pass	0			5.637628288999963	5.629508	7458816
retained	4	2	7	spectral-norm	one-core	c	pass	0			1.787710971000024	1.785449	700416
retained	5	3	1	spectral-norm	one-core	go	pass	0			3.2185678979999466	3.212274	3919872
retained	5	3	2	spectral-norm	one-core	rust	pass	0			1.7982811800000036	1.795318	1462272
retained	5	3	3	spectral-norm	one-core	java	pass	0			1.9555696710000348	1.890711	50081792
retained	5	3	4	spectral-norm	one-core	typerb-native	pass	0			4.3838419800000565	4.381459	1470464
retained	5	3	5	spectral-norm	one-core	typerb-go	pass	0			5.636665923999999	5.629837	7188480
retained	5	3	6	spectral-norm	one-core	c	pass	0			1.7874836980000737	1.785207	700416
retained	5	3	7	spectral-norm	one-core	cpp	pass	0			1.839499380999996	1.837041	942080
retained	6	4	1	spectral-norm	one-core	rust	pass	0			1.798606800000016	1.794828	1454080
retained	6	4	2	spectral-norm	one-core	java	pass	0			1.9569364579999728	1.888317	50061312
retained	6	4	3	spectral-norm	one-core	typerb-native	pass	0			4.383532116000083	4.381391	1474560
retained	6	4	4	spectral-norm	one-core	typerb-go	pass	0			5.640214041000036	5.63151	7151616
retained	6	4	5	spectral-norm	one-core	c	pass	0			1.7883693439999888	1.785632	946176
retained	6	4	6	spectral-norm	one-core	cpp	pass	0			1.8403485070000443	1.837353	950272
retained	6	4	7	spectral-norm	one-core	go	pass	0			3.219801016999895	3.213051	3948544
retained	7	5	1	spectral-norm	one-core	java	pass	0			1.9744376039999452	1.890434	49590272
retained	7	5	2	spectral-norm	one-core	typerb-native	pass	0			4.384747920999985	4.381607	1478656
retained	7	5	3	spectral-norm	one-core	typerb-go	pass	0			5.638886702999912	5.629851	7458816
retained	7	5	4	spectral-norm	one-core	c	pass	0			1.788163379000025	1.785572	692224
retained	7	5	5	spectral-norm	one-core	cpp	pass	0			1.8401857890000883	1.837106	942080
