phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	four-core	typerb-native	pass	0			84.83657001099982	84.828845	524288
warmup	1	0	2	fannkuch-redux	four-core	typerb-go	pass	0			46.120692354999846	46.219332	4046848
warmup	1	0	3	fannkuch-redux	four-core	c	pass	0			27.89692567400016	27.893537	524288
warmup	1	0	4	fannkuch-redux	four-core	cpp	pass	0			24.98824144900027	24.984578	679936
warmup	1	0	5	fannkuch-redux	four-core	go	pass	0			24.6282260830003	24.675063	3436544
warmup	1	0	6	fannkuch-redux	four-core	rust	pass	0			6.3437693309997485	24.831689	1978368
warmup	1	0	7	fannkuch-redux	four-core	java	pass	0			23.992715946000317	23.96821	51929088
warmup	2	0	1	fannkuch-redux	four-core	typerb-go	pass	0			45.99005478900017	46.090616	3989504
warmup	2	0	2	fannkuch-redux	four-core	c	pass	0			27.403333840000414	27.399083	684032
warmup	2	0	3	fannkuch-redux	four-core	cpp	pass	0			24.992131360000712	24.9886	675840
warmup	2	0	4	fannkuch-redux	four-core	go	pass	0			24.59217893999994	24.642632	3432448
warmup	2	0	5	fannkuch-redux	four-core	rust	pass	0			6.306310083999961	24.82803	1974272
warmup	2	0	6	fannkuch-redux	four-core	java	pass	0			24.003008552999745	23.979482	51613696
warmup	2	0	7	fannkuch-redux	four-core	typerb-native	pass	0			84.87914019399977	84.871665	524288
retained	3	1	1	fannkuch-redux	four-core	c	pass	0			27.40572280500055	27.401148	524288
retained	3	1	2	fannkuch-redux	four-core	cpp	pass	0			24.978253373999905	24.974628	684032
retained	3	1	3	fannkuch-redux	four-core	go	pass	0			24.60035198100013	24.653019	3497984
retained	3	1	4	fannkuch-redux	four-core	rust	pass	0			6.331379010999626	24.820426	2002944
retained	3	1	5	fannkuch-redux	four-core	java	pass	0			23.994666470000084	23.98175	52043776
retained	3	1	6	fannkuch-redux	four-core	typerb-native	pass	0			84.88305012399996	84.875141	524288
retained	3	1	7	fannkuch-redux	four-core	typerb-go	pass	0			46.10583439699985	46.209242	4165632
retained	4	2	1	fannkuch-redux	four-core	cpp	pass	0			25.01313224900059	25.009885	675840
retained	4	2	2	fannkuch-redux	four-core	go	pass	0			24.623202148999553	24.670069	3428352
retained	4	2	3	fannkuch-redux	four-core	rust	pass	0			6.307710735000001	24.827918	1970176
retained	4	2	4	fannkuch-redux	four-core	java	pass	0			23.991381265999735	23.970661	51748864
retained	4	2	5	fannkuch-redux	four-core	typerb-native	pass	0			84.8515640100004	84.844018	524288
retained	4	2	6	fannkuch-redux	four-core	typerb-go	pass	0			45.655396294999264	45.757043	4096000
retained	4	2	7	fannkuch-redux	four-core	c	pass	0			27.901084525999977	27.897933	503808
retained	5	3	1	fannkuch-redux	four-core	go	pass	0			24.635141517000193	24.68193	3403776
retained	5	3	2	fannkuch-redux	four-core	rust	pass	0			6.306403085000056	24.822168	1978368
retained	5	3	3	fannkuch-redux	four-core	java	pass	0			24.00518579600066	23.984076	51814400
retained	5	3	4	fannkuch-redux	four-core	typerb-native	pass	0			84.83819384900016	84.831829	524288
retained	5	3	5	fannkuch-redux	four-core	typerb-go	pass	0			46.34209371899942	46.44493	3969024
retained	5	3	6	fannkuch-redux	four-core	c	pass	0			27.482474610999816	27.478683	524288
retained	5	3	7	fannkuch-redux	four-core	cpp	pass	0			24.95548887899986	24.951844	675840
retained	6	4	1	fannkuch-redux	four-core	rust	pass	0			6.317219410999314	24.832055	1978368
retained	6	4	2	fannkuch-redux	four-core	java	pass	0			23.99968170899956	23.98136	51396608
retained	6	4	3	fannkuch-redux	four-core	typerb-native	pass	0			84.8678011789998	84.861103	524288
retained	6	4	4	fannkuch-redux	four-core	typerb-go	pass	0			45.95725347999996	46.062484	4059136
retained	6	4	5	fannkuch-redux	four-core	c	pass	0			27.477147255999625	27.473376	524288
retained	6	4	6	fannkuch-redux	four-core	cpp	pass	0			24.97181475399975	24.968468	675840
retained	6	4	7	fannkuch-redux	four-core	go	pass	0			24.674769264000133	24.733395	3620864
retained	7	5	1	fannkuch-redux	four-core	java	pass	0			24.01463952299946	23.982691	51585024
retained	7	5	2	fannkuch-redux	four-core	typerb-native	pass	0			84.86947623099968	84.863164	524288
retained	7	5	3	fannkuch-redux	four-core	typerb-go	pass	0			46.00179509900045	46.105018	3952640
retained	7	5	4	fannkuch-redux	four-core	c	pass	0			27.408262654000282	27.404656	524288
retained	7	5	5	fannkuch-redux	four-core	cpp	pass	0			24.987881675000608	24.984504	675840
retained	7	5	6	fannkuch-redux	four-core	go	pass	0			24.61873117399955	24.670178	3584000
retained	7	5	7	fannkuch-redux	four-core	rust	pass	0			6.304586167999332	24.827068	1978368
retained	8	6	1	fannkuch-redux	four-core	typerb-native	pass	0			84.84003545799987	84.831141	524288
retained	8	6	2	fannkuch-redux	four-core	typerb-go	pass	0			45.841628004000086	45.936342	3923968
retained	8	6	3	fannkuch-redux	four-core	c	pass	0			27.289743240000462	27.285745	524288
retained	8	6	4	fannkuch-redux	four-core	cpp	pass	0			24.948477365000144	24.945372	696320
retained	8	6	5	fannkuch-redux	four-core	go	pass	0			24.67637240899967	24.727192	3710976
retained	8	6	6	fannkuch-redux	four-core	rust	pass	0			6.31211389300006	24.825494	1978368
retained	8	6	7	fannkuch-redux	four-core	java	pass	0			23.934009497999796	23.913687	51650560
retained	9	7	1	fannkuch-redux	four-core	typerb-go	pass	0			45.58406453400039	45.678839	4087808
retained	9	7	2	fannkuch-redux	four-core	c	pass	0			27.405348014999618	27.400778	524288
retained	9	7	3	fannkuch-redux	four-core	cpp	pass	0			24.978947133000474	24.975753	675840
retained	9	7	4	fannkuch-redux	four-core	go	pass	0			24.624418457999127	24.677008	3411968
retained	9	7	5	fannkuch-redux	four-core	rust	pass	0			6.314926435999951	24.830515	1978368
retained	9	7	6	fannkuch-redux	four-core	java	pass	0			23.93777713899999	23.915436	52088832
retained	9	7	7	fannkuch-redux	four-core	typerb-native	pass	0			84.8712232730004	84.863471	688128
retained	10	8	1	fannkuch-redux	four-core	c	pass	0			27.284335999000177	27.280349	524288
retained	10	8	2	fannkuch-redux	four-core	cpp	pass	0			24.979845296999883	24.976716	675840
retained	10	8	3	fannkuch-redux	four-core	go	pass	0			24.61462074500014	24.666588	3551232
retained	10	8	4	fannkuch-redux	four-core	rust	pass	0			6.308694168999864	24.799026	1978368
retained	10	8	5	fannkuch-redux	four-core	java	pass	0			23.927424256999984	23.911081	51691520
retained	10	8	6	fannkuch-redux	four-core	typerb-native	pass	0			84.85720446599953	84.848384	524288
retained	10	8	7	fannkuch-redux	four-core	typerb-go	pass	0			46.17128310699991	46.268002	3948544
retained	11	9	1	fannkuch-redux	four-core	cpp	pass	0			24.98201225000048	24.977913	675840
retained	11	9	2	fannkuch-redux	four-core	go	pass	0			24.615817404000154	24.669273	3481600
retained	11	9	3	fannkuch-redux	four-core	rust	pass	0			6.316281957000683	24.830555	2002944
retained	11	9	4	fannkuch-redux	four-core	java	pass	0			23.926440174000163	23.902497	51859456
retained	11	9	5	fannkuch-redux	four-core	typerb-native	pass	0			84.86074695500065	84.853159	524288
retained	11	9	6	fannkuch-redux	four-core	typerb-go	pass	0			46.376665036000304	46.478002	4169728
retained	11	9	7	fannkuch-redux	four-core	c	pass	0			27.40680664500087	27.403602	524288
retained	12	10	1	fannkuch-redux	four-core	go	pass	0			24.650426752000385	24.708651	3608576
retained	12	10	2	fannkuch-redux	four-core	rust	pass	0			6.308936000000358	24.826622	1986560
retained	12	10	3	fannkuch-redux	four-core	java	pass	0			23.944471666000027	23.916522	51978240
retained	12	10	4	fannkuch-redux	four-core	typerb-native	pass	0			84.8438417669995	84.836088	524288
retained	12	10	5	fannkuch-redux	four-core	typerb-go	pass	0			46.33671094300007	46.44057	4206592
retained	12	10	6	fannkuch-redux	four-core	c	pass	0			27.48167754899987	27.478033	524288
retained	12	10	7	fannkuch-redux	four-core	cpp	pass	0			24.98301701299988	24.979316	671744
retained	13	11	1	fannkuch-redux	four-core	rust	pass	0			6.30923397999959	24.830282	1974272
retained	13	11	2	fannkuch-redux	four-core	java	pass	0			23.9284854360003	23.908189	51712000
retained	13	11	3	fannkuch-redux	four-core	typerb-native	pass	0			84.83771693400013	84.831155	524288
retained	13	11	4	fannkuch-redux	four-core	typerb-go	pass	0			46.12711439500072	46.226339	4075520
retained	13	11	5	fannkuch-redux	four-core	c	pass	0			27.300729917999888	27.297545	524288
retained	13	11	6	fannkuch-redux	four-core	cpp	pass	0			24.95149919999949	24.948326	782336
retained	13	11	7	fannkuch-redux	four-core	go	pass	0			24.63374301499971	24.68079	3674112
