phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	one-core	typerb-native	pass	0			84.86109037599999	84.853174	524288
warmup	1	0	2	fannkuch-redux	one-core	typerb-go	pass	0			45.95301887000005	45.943115	3268608
warmup	1	0	3	fannkuch-redux	one-core	c	pass	0			27.900380399000028	27.895321	655360
warmup	1	0	4	fannkuch-redux	one-core	cpp	pass	0			24.980455094000035	24.975697	692224
warmup	1	0	5	fannkuch-redux	one-core	go	pass	0			24.615988128000026	24.607918	2633728
warmup	1	0	6	fannkuch-redux	one-core	rust	pass	0			24.871457444000043	24.867117	1196032
warmup	1	0	7	fannkuch-redux	one-core	java	pass	0			24.575346308999997	24.511785	49119232
warmup	2	0	1	fannkuch-redux	one-core	typerb-go	pass	0			45.87423005699998	45.86384	3268608
warmup	2	0	2	fannkuch-redux	one-core	c	pass	0			27.482657760999928	27.477715	524288
warmup	2	0	3	fannkuch-redux	one-core	cpp	pass	0			24.983316481999964	24.979202	684032
warmup	2	0	4	fannkuch-redux	one-core	go	pass	0			24.62050846000011	24.613196	2658304
warmup	2	0	5	fannkuch-redux	one-core	rust	pass	0			24.870751752999922	24.865784	1204224
warmup	2	0	6	fannkuch-redux	one-core	java	pass	0			24.793343036000124	24.734205	49094656
warmup	2	0	7	fannkuch-redux	one-core	typerb-native	pass	0			84.860872556	84.851708	524288
retained	3	1	1	fannkuch-redux	one-core	c	pass	0			27.481962128000077	27.477732	524288
retained	3	1	2	fannkuch-redux	one-core	cpp	pass	0			24.979794445000152	24.97519	782336
retained	3	1	3	fannkuch-redux	one-core	go	pass	0			24.599551263999956	24.592927	2654208
retained	3	1	4	fannkuch-redux	one-core	rust	pass	0			24.87229339999999	24.868585	1236992
retained	3	1	5	fannkuch-redux	one-core	java	pass	0			24.54033419999996	24.478942	49336320
retained	3	1	6	fannkuch-redux	one-core	typerb-native	pass	0			84.97280449499999	84.964772	524288
retained	3	1	7	fannkuch-redux	one-core	typerb-go	pass	0			46.119652160999976	46.109038	3268608
retained	4	2	1	fannkuch-redux	one-core	cpp	pass	0			24.975169685000083	24.971339	684032
retained	4	2	2	fannkuch-redux	one-core	go	pass	0			24.617221105	24.609166	2633728
retained	4	2	3	fannkuch-redux	one-core	rust	pass	0			24.871426595999992	24.867487	1191936
retained	4	2	4	fannkuch-redux	one-core	java	pass	0			24.60999165699991	24.554367	49606656
retained	4	2	5	fannkuch-redux	one-core	typerb-native	pass	0			84.84516467399999	84.836845	524288
retained	4	2	6	fannkuch-redux	one-core	typerb-go	pass	0			45.6592823389999	45.649221	3018752
retained	4	2	7	fannkuch-redux	one-core	c	pass	0			27.289956329999995	27.285633	524288
retained	5	3	1	fannkuch-redux	one-core	go	pass	0			24.595541238000123	24.586452	2641920
retained	5	3	2	fannkuch-redux	one-core	rust	pass	0			24.869351607	24.865547	1216512
retained	5	3	3	fannkuch-redux	one-core	java	pass	0			24.475494820999984	24.416042	47816704
retained	5	3	4	fannkuch-redux	one-core	typerb-native	pass	0			84.867329444	84.859151	524288
retained	5	3	5	fannkuch-redux	one-core	typerb-go	pass	0			46.16126757999996	46.150485	3272704
retained	5	3	6	fannkuch-redux	one-core	c	pass	0			27.2898264989999	27.285988	524288
retained	5	3	7	fannkuch-redux	one-core	cpp	pass	0			24.951928075999604	24.946824	675840
retained	6	4	1	fannkuch-redux	one-core	rust	pass	0			24.870556884000052	24.866578	1204224
retained	6	4	2	fannkuch-redux	one-core	java	pass	0			24.577045999000347	24.520025	49594368
retained	6	4	3	fannkuch-redux	one-core	typerb-native	pass	0			84.84029581699997	84.832154	524288
retained	6	4	4	fannkuch-redux	one-core	typerb-go	pass	0			46.049018488	46.038906	3031040
retained	6	4	5	fannkuch-redux	one-core	c	pass	0			27.48251998400019	27.478658	524288
retained	6	4	6	fannkuch-redux	one-core	cpp	pass	0			24.981373681999685	24.976324	692224
retained	6	4	7	fannkuch-redux	one-core	go	pass	0			24.587828274000003	24.58058	2650112
retained	7	5	1	fannkuch-redux	one-core	java	pass	0			24.19161307899958	24.134545	49348608
retained	7	5	2	fannkuch-redux	one-core	typerb-native	pass	0			84.85035928600018	84.840798	524288
retained	7	5	3	fannkuch-redux	one-core	typerb-go	pass	0			45.90387068300015	45.893462	3268608
retained	7	5	4	fannkuch-redux	one-core	c	pass	0			27.29590714899996	27.292016	524288
retained	7	5	5	fannkuch-redux	one-core	cpp	pass	0			24.981846200999826	24.976737	684032
retained	7	5	6	fannkuch-redux	one-core	go	pass	0			24.659375056000044	24.651662	2654208
retained	7	5	7	fannkuch-redux	one-core	rust	pass	0			24.873538542000006	24.869516	1204224
retained	8	6	1	fannkuch-redux	one-core	typerb-native	pass	0			84.84985181799993	84.840249	524288
retained	8	6	2	fannkuch-redux	one-core	typerb-go	pass	0			45.8631265680001	45.852798	3006464
retained	8	6	3	fannkuch-redux	one-core	c	pass	0			27.40502138199963	27.401179	524288
retained	8	6	4	fannkuch-redux	one-core	cpp	pass	0			24.951525118000063	24.947754	675840
retained	8	6	5	fannkuch-redux	one-core	go	pass	0			24.639166144999763	24.630949	2641920
retained	8	6	6	fannkuch-redux	one-core	rust	pass	0			24.873407321000286	24.869204	1204224
retained	8	6	7	fannkuch-redux	one-core	java	pass	0			24.56892218899975	24.510091	49340416
retained	9	7	1	fannkuch-redux	one-core	typerb-go	pass	0			46.257217085999855	46.247595	3268608
retained	9	7	2	fannkuch-redux	one-core	c	pass	0			27.412926211000013	27.407608	524288
retained	9	7	3	fannkuch-redux	one-core	cpp	pass	0			24.957976334999785	24.953754	679936
retained	9	7	4	fannkuch-redux	one-core	go	pass	0			24.63795501000004	24.629373	2654208
retained	9	7	5	fannkuch-redux	one-core	rust	pass	0			24.870403992999854	24.865878	1204224
retained	9	7	6	fannkuch-redux	one-core	java	pass	0			24.48973190000015	24.430089	47771648
retained	9	7	7	fannkuch-redux	one-core	typerb-native	pass	0			84.866420931	84.857577	524288
retained	10	8	1	fannkuch-redux	one-core	c	pass	0			27.292029856000227	27.28799	524288
retained	10	8	2	fannkuch-redux	one-core	cpp	pass	0			24.960287860000335	24.956268	675840
retained	10	8	3	fannkuch-redux	one-core	go	pass	0			24.630129941000177	24.622672	2637824
retained	10	8	4	fannkuch-redux	one-core	rust	pass	0			24.877226803000212	24.871823	1216512
retained	10	8	5	fannkuch-redux	one-core	java	pass	0			24.72610881000037	24.667439	49078272
retained	10	8	6	fannkuch-redux	one-core	typerb-native	pass	0			84.85123599999997	84.841861	524288
retained	10	8	7	fannkuch-redux	one-core	typerb-go	pass	0			46.40625117699983	46.397148	3256320
retained	11	9	1	fannkuch-redux	one-core	cpp	pass	0			24.97721218400011	24.971489	790528
retained	11	9	2	fannkuch-redux	one-core	go	pass	0			24.59632866899983	24.588991	2641920
retained	11	9	3	fannkuch-redux	one-core	rust	pass	0			24.87269964500001	24.866977	1245184
retained	11	9	4	fannkuch-redux	one-core	java	pass	0			24.20216437099998	24.140977	49090560
retained	11	9	5	fannkuch-redux	one-core	typerb-native	pass	0			84.89017281899987	84.88179	524288
retained	11	9	6	fannkuch-redux	one-core	typerb-go	pass	0			46.23576567400005	46.225594	3256320
retained	11	9	7	fannkuch-redux	one-core	c	pass	0			27.90205790600021	27.897274	524288
retained	12	10	1	fannkuch-redux	one-core	go	pass	0			24.60293339000009	24.595452	2633728
retained	12	10	2	fannkuch-redux	one-core	rust	pass	0			24.872479510000176	24.867244	1212416
retained	12	10	3	fannkuch-redux	one-core	java	pass	0			24.77478212699998	24.718577	49086464
retained	12	10	4	fannkuch-redux	one-core	typerb-native	pass	0			84.85655065699984	84.848213	524288
retained	12	10	5	fannkuch-redux	one-core	typerb-go	pass	0			45.782044569999925	45.771505	3256320
retained	12	10	6	fannkuch-redux	one-core	c	pass	0			27.492658612000014	27.487505	659456
retained	12	10	7	fannkuch-redux	one-core	cpp	pass	0			24.958547401000033	24.954697	782336
retained	13	11	1	fannkuch-redux	one-core	rust	pass	0			24.867622856999787	24.863671	1216512
retained	13	11	2	fannkuch-redux	one-core	java	pass	0			24.571630313999776	24.510565	49094656
retained	13	11	3	fannkuch-redux	one-core	typerb-native	pass	0			84.8487481420002	84.84031	524288
retained	13	11	4	fannkuch-redux	one-core	typerb-go	pass	0			45.77369362099989	45.763372	3026944
retained	13	11	5	fannkuch-redux	one-core	c	pass	0			27.486894984999708	27.481403	524288
retained	13	11	6	fannkuch-redux	one-core	cpp	pass	0			24.974596319999364	24.970584	679936
retained	13	11	7	fannkuch-redux	one-core	go	pass	0			24.611292896000123	24.604452	2629632
