phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	four-core	typerb-native	pass	0			10.451477221999994	10.449015	524288
warmup	1	0	2	n-body	four-core	typerb-go	pass	0			6.171768208999993	6.178901	4096000
warmup	1	0	3	n-body	four-core	c	pass	0			2.975844577000089	2.973222	524288
warmup	1	0	4	n-body	four-core	cpp	pass	0			2.7397968079999373	2.73688	688128
warmup	1	0	5	n-body	four-core	go	pass	0			3.5993089119999695	3.603525	3428352
warmup	1	0	6	n-body	four-core	rust	pass	0			3.5339466130001256	3.531188	966656
warmup	1	0	7	n-body	four-core	java	pass	0			4.9941186389999075	4.942401	50810880
warmup	2	0	1	n-body	four-core	typerb-go	pass	0			6.181416768999952	6.19123	3817472
warmup	2	0	2	n-body	four-core	c	pass	0			2.9759744709999723	2.973584	524288
warmup	2	0	3	n-body	four-core	cpp	pass	0			2.7458073469999817	2.743288	696320
warmup	2	0	4	n-body	four-core	go	pass	0			3.5980424370000037	3.601805	3420160
warmup	2	0	5	n-body	four-core	rust	pass	0			3.510367954000003	3.507646	958464
warmup	2	0	6	n-body	four-core	java	pass	0			5.016419887999973	4.964538	50429952
warmup	2	0	7	n-body	four-core	typerb-native	pass	0			10.447054704000038	10.44467	524288
retained	3	1	1	n-body	four-core	c	pass	0			2.9748092760000873	2.97276	524288
retained	3	1	2	n-body	four-core	cpp	pass	0			2.7420598840001276	2.739801	679936
retained	3	1	3	n-body	four-core	go	pass	0			3.5982668789999934	3.60132	3162112
retained	3	1	4	n-body	four-core	rust	pass	0			3.5136235479999414	3.510643	970752
retained	3	1	5	n-body	four-core	java	pass	0			5.004807615000118	4.953384	51437568
retained	3	1	6	n-body	four-core	typerb-native	pass	0			10.457940546999907	10.455031	524288
retained	3	1	7	n-body	four-core	typerb-go	pass	0			6.171908084999814	6.180994	3801088
retained	4	2	1	n-body	four-core	cpp	pass	0			2.731134865000058	2.728984	684032
retained	4	2	2	n-body	four-core	go	pass	0			3.598660321999887	3.601047	3457024
retained	4	2	3	n-body	four-core	rust	pass	0			3.498887737000132	3.496209	954368
retained	4	2	4	n-body	four-core	java	pass	0			5.001399667999976	4.950031	51105792
retained	4	2	5	n-body	four-core	typerb-native	pass	0			10.450246401999948	10.447893	524288
retained	4	2	6	n-body	four-core	typerb-go	pass	0			6.174982063000016	6.18562	3825664
retained	4	2	7	n-body	four-core	c	pass	0			2.9763182619999498	2.973747	524288
retained	5	3	1	n-body	four-core	go	pass	0			3.5991829899999175	3.601965	3465216
retained	5	3	2	n-body	four-core	rust	pass	0			3.5015029199998935	3.497946	954368
retained	5	3	3	n-body	four-core	java	pass	0			4.994835662000014	4.940798	50548736
retained	5	3	4	n-body	four-core	typerb-native	pass	0			10.451974221	10.448687	524288
retained	5	3	5	n-body	four-core	typerb-go	pass	0			6.176975765999941	6.185288	4034560
retained	5	3	6	n-body	four-core	c	pass	0			2.9756975739999234	2.973482	524288
retained	5	3	7	n-body	four-core	cpp	pass	0			2.7367438969999967	2.733702	684032
retained	6	4	1	n-body	four-core	rust	pass	0			3.5334892139999283	3.53084	950272
retained	6	4	2	n-body	four-core	java	pass	0			4.996621191000031	4.948134	51073024
retained	6	4	3	n-body	four-core	typerb-native	pass	0			10.457225976000018	10.454394	524288
retained	6	4	4	n-body	four-core	typerb-go	pass	0			6.173242154999798	6.182707	3846144
