phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	one-core	typerb-native	pass	0			10.447563778000017	10.445514	421888
warmup	1	0	2	n-body	one-core	typerb-go	pass	0			6.173634655000001	6.166118	3018752
warmup	1	0	3	n-body	one-core	c	pass	0			2.9755205059999525	2.97311	524288
warmup	1	0	4	n-body	one-core	cpp	pass	0			2.7357474840000577	2.733165	679936
warmup	1	0	5	n-body	one-core	go	pass	0			3.6008285179999575	3.594522	2629632
warmup	1	0	6	n-body	one-core	rust	pass	0			3.5251166289999674	3.522294	966656
warmup	1	0	7	n-body	one-core	java	pass	0			5.067260418000046	4.997795	49016832
warmup	2	0	1	n-body	one-core	typerb-go	pass	0			6.172675606999974	6.164206	3252224
warmup	2	0	2	n-body	one-core	c	pass	0			2.9757516299999907	2.973127	524288
warmup	2	0	3	n-body	one-core	cpp	pass	0			2.7364755770000784	2.734006	786432
warmup	2	0	4	n-body	one-core	go	pass	0			3.5985522089999904	3.592325	2633728
warmup	2	0	5	n-body	one-core	rust	pass	0			3.501475164999988	3.49829	942080
warmup	2	0	6	n-body	one-core	java	pass	0			5.0361421299999165	4.973919	48836608
warmup	2	0	7	n-body	one-core	typerb-native	pass	0			10.448098134999896	10.445172	524288
retained	3	1	1	n-body	one-core	c	pass	0			2.9751039520000404	2.972806	524288
retained	3	1	2	n-body	one-core	cpp	pass	0			2.7309110930000315	2.728347	696320
retained	3	1	3	n-body	one-core	go	pass	0			3.5991943090000404	3.59282	2625536
retained	3	1	4	n-body	one-core	rust	pass	0			3.5246231249999482	3.521581	954368
retained	3	1	5	n-body	one-core	java	pass	0			5.023669952999967	4.949967	48746496
retained	3	1	6	n-body	one-core	typerb-native	pass	0			10.453141998999968	10.449409	524288
retained	3	1	7	n-body	one-core	typerb-go	pass	0			6.170697393999944	6.163741	3018752
retained	4	2	1	n-body	one-core	cpp	pass	0			2.7327597850000984	2.729621	692224
retained	4	2	2	n-body	one-core	go	pass	0			3.599313486999904	3.592796	2625536
retained	4	2	3	n-body	one-core	rust	pass	0			3.5237195919999067	3.520688	958464
retained	4	2	4	n-body	one-core	java	pass	0			5.06539557799988	4.999856	48877568
retained	4	2	5	n-body	one-core	typerb-native	pass	0			10.450995919999968	10.447821	524288
retained	4	2	6	n-body	one-core	typerb-go	pass	0			6.171668779999891	6.164267	3006464
retained	4	2	7	n-body	one-core	c	pass	0			2.9759815070001423	2.973351	524288
retained	5	3	1	n-body	one-core	go	pass	0			3.5986900000000333	3.592728	2629632
retained	5	3	2	n-body	one-core	rust	pass	0			3.5332483319998573	3.530277	958464
retained	5	3	3	n-body	one-core	java	pass	0			5.047451520000095	4.973061	45678592
retained	5	3	4	n-body	one-core	typerb-native	pass	0			10.445318653999948	10.442422	524288
retained	5	3	5	n-body	one-core	typerb-go	pass	0			6.171539791999976	6.164736	3264512
retained	5	3	6	n-body	one-core	c	pass	0			2.975498332999905	2.973098	524288
retained	5	3	7	n-body	one-core	cpp	pass	0			2.7321409959999983	2.729326	696320
retained	6	4	1	n-body	one-core	rust	pass	0			3.526099871000042	3.523306	987136
retained	6	4	2	n-body	one-core	java	pass	0			5.036164240000062	4.973451	48967680
retained	6	4	3	n-body	one-core	typerb-native	pass	0			10.447623412999974	10.444888	524288
retained	6	4	4	n-body	one-core	typerb-go	pass	0			6.171685291000131	6.164188	3018752
retained	6	4	5	n-body	one-core	c	pass	0			2.9758111159999316	2.973267	524288
retained	6	4	6	n-body	one-core	cpp	pass	0			2.7326657020000766	2.729315	704512
retained	6	4	7	n-body	one-core	go	pass	0			3.598936434000052	3.593252	2637824
retained	7	5	1	n-body	one-core	java	pass	0			5.044263682000064	4.976605	48996352
retained	7	5	2	n-body	one-core	typerb-native	pass	0			10.442654064999942	10.439979	524288
retained	7	5	3	n-body	one-core	typerb-go	pass	0			6.171886364000102	6.165251	3026944
retained	7	5	4	n-body	one-core	c	pass	0			2.976210497000011	2.973371	524288
retained	7	5	5	n-body	one-core	cpp	pass	0			2.7367585869999402	2.733667	688128
retained	7	5	6	n-body	one-core	go	pass	0			3.598856154000032	3.592353	2654208
retained	7	5	7	n-body	one-core	rust	pass	0			3.526152563000096	3.522706	958464
retained	8	6	1	n-body	one-core	typerb-native	pass	0			10.449293227999988	10.446593	524288
retained	8	6	2	n-body	one-core	typerb-go	pass	0			6.172303068000019	6.164314	3215360
retained	8	6	3	n-body	one-core	c	pass	0			2.9756563700000243	2.973203	524288
retained	8	6	4	n-body	one-core	cpp	pass	0			2.737686437000093	2.734923	708608
