phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	four-core	typerb-native	pass	0			5.179617538000002	5.178042	1208320
warmup	1	0	2	spectral-norm	four-core	typerb-go	pass	0			5.675584234000098	5.678006	7712768
warmup	1	0	3	spectral-norm	four-core	c	pass	0			1.7872483379999267	1.785356	679936
warmup	1	0	4	spectral-norm	four-core	cpp	pass	0			1.8390383490000204	1.837183	937984
warmup	1	0	5	spectral-norm	four-core	go	pass	0			3.2172933079999666	3.223902	4755456
warmup	1	0	6	spectral-norm	four-core	rust	pass	0			0.45931478600004993	1.801526	2220032
warmup	1	0	7	spectral-norm	four-core	java	pass	0			1.9059414600000082	1.880944	52305920
warmup	2	0	1	spectral-norm	four-core	typerb-go	pass	0			5.635910276000004	5.644048	7843840
warmup	2	0	2	spectral-norm	four-core	c	pass	0			1.7876837940000314	1.785441	937984
warmup	2	0	3	spectral-norm	four-core	cpp	pass	0			1.838736742999913	1.836671	962560
warmup	2	0	4	spectral-norm	four-core	go	pass	0			3.2162709169999744	3.221367	4710400
warmup	2	0	5	spectral-norm	four-core	rust	pass	0			0.46629437700005383	1.80235	2220032
warmup	2	0	6	spectral-norm	four-core	java	pass	0			1.9015749040000856	1.882462	52301824
warmup	2	0	7	spectral-norm	four-core	typerb-native	pass	0			5.178472099000032	5.176724	1216512
retained	3	1	1	spectral-norm	four-core	c	pass	0			1.7874009240000532	1.785406	946176
retained	3	1	2	spectral-norm	four-core	cpp	pass	0			1.8388779150000119	1.836903	1200128
retained	3	1	3	spectral-norm	four-core	go	pass	0			3.2198308409999754	3.220598	4603904
retained	3	1	4	spectral-norm	four-core	rust	pass	0			0.4606447560000788	1.8034	2236416
retained	3	1	5	spectral-norm	four-core	java	pass	0			1.9014507370000047	1.883631	52039680
retained	3	1	6	spectral-norm	four-core	typerb-native	pass	0			5.180929465000077	5.17846	1212416
retained	3	1	7	spectral-norm	four-core	typerb-go	pass	0			5.6444578699999965	5.657402	7737344
retained	4	2	1	spectral-norm	four-core	cpp	pass	0			1.839088418000074	1.836904	937984
retained	4	2	2	spectral-norm	four-core	go	pass	0			3.224611653000011	3.220634	4538368
retained	4	2	3	spectral-norm	four-core	rust	pass	0			0.46139041799995084	1.804434	2211840
retained	4	2	4	spectral-norm	four-core	java	pass	0			1.901603123999962	1.883005	52289536
retained	4	2	5	spectral-norm	four-core	typerb-native	pass	0			5.178719862999969	5.177058	1208320
retained	4	2	6	spectral-norm	four-core	typerb-go	pass	0			5.635328946000072	5.647702	7958528
retained	4	2	7	spectral-norm	four-core	c	pass	0			1.7871859339999219	1.785396	950272
retained	5	3	1	spectral-norm	four-core	go	pass	0			3.218736010999919	3.221285	4739072
retained	5	3	2	spectral-norm	four-core	rust	pass	0			0.4605768669999861	1.803082	2220032
retained	5	3	3	spectral-norm	four-core	java	pass	0			1.8983486020000555	1.881009	52314112
retained	5	3	4	spectral-norm	four-core	typerb-native	pass	0			5.178744572000028	5.17694	1196032
retained	5	3	5	spectral-norm	four-core	typerb-go	pass	0			5.635900642000024	5.644761	8040448
retained	5	3	6	spectral-norm	four-core	c	pass	0			1.7921881910000366	1.789266	688128
retained	5	3	7	spectral-norm	four-core	cpp	pass	0			1.8386168839999755	1.836817	942080
retained	6	4	1	spectral-norm	four-core	rust	pass	0			0.46534971300002326	1.802852	2220032
retained	6	4	2	spectral-norm	four-core	java	pass	0			1.9190989789999549	1.886591	50946048
retained	6	4	3	spectral-norm	four-core	typerb-native	pass	0			5.179498337999917	5.177686	1212416
retained	6	4	4	spectral-norm	four-core	typerb-go	pass	0			5.633745234000003	5.647059	8237056
retained	6	4	5	spectral-norm	four-core	c	pass	0			1.7869229059999725	1.785291	688128
retained	6	4	6	spectral-norm	four-core	cpp	pass	0			1.8384773689999747	1.836747	929792
retained	6	4	7	spectral-norm	four-core	go	pass	0			3.219812589999947	3.221065	4714496
