phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	one-core	typerb-native	pass	0			5.1800740660000315	5.17829	1204224
warmup	1	0	2	spectral-norm	one-core	typerb-go	pass	0			5.6392017520000195	5.630399	7196672
warmup	1	0	3	spectral-norm	one-core	c	pass	0			1.7875513030000434	1.785386	692224
warmup	1	0	4	spectral-norm	one-core	cpp	pass	0			1.8388570050000226	1.836777	684032
warmup	1	0	5	spectral-norm	one-core	go	pass	0			3.2192450569999664	3.212642	3702784
warmup	1	0	6	spectral-norm	one-core	rust	pass	0			1.7996354599999904	1.796336	1441792
warmup	1	0	7	spectral-norm	one-core	java	pass	0			1.9333436619999702	1.883972	50057216
warmup	2	0	1	spectral-norm	one-core	typerb-go	pass	0			5.64084392999996	5.630335	7204864
warmup	2	0	2	spectral-norm	one-core	c	pass	0			1.7880452420000097	1.785347	692224
warmup	2	0	3	spectral-norm	one-core	cpp	pass	0			1.838713972999983	1.8366	946176
warmup	2	0	4	spectral-norm	one-core	go	pass	0			3.2218075229999954	3.213302	3690496
warmup	2	0	5	spectral-norm	one-core	rust	pass	0			1.7991133130000208	1.79578	1433600
warmup	2	0	6	spectral-norm	one-core	java	pass	0			1.9454990389999693	1.890786	42680320
warmup	2	0	7	spectral-norm	one-core	typerb-native	pass	0			5.1786901270000385	5.176926	1200128
retained	3	1	1	spectral-norm	one-core	c	pass	0			1.7884270109999534	1.785714	700416
retained	3	1	2	spectral-norm	one-core	cpp	pass	0			1.838971517999994	1.83672	942080
retained	3	1	3	spectral-norm	one-core	go	pass	0			3.2231067499999995	3.212747	3690496
retained	3	1	4	spectral-norm	one-core	rust	pass	0			1.7985239889999889	1.795445	1437696
retained	3	1	5	spectral-norm	one-core	java	pass	0			1.9330327369999623	1.891274	50044928
retained	3	1	6	spectral-norm	one-core	typerb-native	pass	0			5.178429598999969	5.176335	1220608
retained	3	1	7	spectral-norm	one-core	typerb-go	pass	0			5.641677431000005	5.628708	7208960
retained	4	2	1	spectral-norm	one-core	cpp	pass	0			1.83947518399998	1.836959	946176
retained	4	2	2	spectral-norm	one-core	go	pass	0			3.217513983999993	3.21285	3899392
retained	4	2	3	spectral-norm	one-core	rust	pass	0			1.7997450120000167	1.795754	1605632
retained	4	2	4	spectral-norm	one-core	java	pass	0			1.9319355239999823	1.889019	50044928
retained	4	2	5	spectral-norm	one-core	typerb-native	pass	0			5.18034246000002	5.178454	1220608
retained	4	2	6	spectral-norm	one-core	typerb-go	pass	0			5.642160756999999	5.628875	6922240
retained	4	2	7	spectral-norm	one-core	c	pass	0			1.7892372240000327	1.786068	692224
retained	5	3	1	spectral-norm	one-core	go	pass	0			3.216905079000014	3.21269	3919872
retained	5	3	2	spectral-norm	one-core	rust	pass	0			1.7985835310000198	1.79574	1593344
retained	5	3	3	spectral-norm	one-core	java	pass	0			1.931397234999963	1.887503	50069504
retained	5	3	4	spectral-norm	one-core	typerb-native	pass	0			5.179139303999989	5.177375	1363968
retained	5	3	5	spectral-norm	one-core	typerb-go	pass	0			5.634086575999959	5.628978	7192576
retained	5	3	6	spectral-norm	one-core	c	pass	0			1.7876651769999512	1.785592	704512
retained	5	3	7	spectral-norm	one-core	cpp	pass	0			1.8392473830000426	1.836882	937984
retained	6	4	1	spectral-norm	one-core	rust	pass	0			1.7992959029999724	1.796145	1437696
retained	6	4	2	spectral-norm	one-core	java	pass	0			1.9273216830000024	1.887035	50049024
retained	6	4	3	spectral-norm	one-core	typerb-native	pass	0			5.178771888999961	5.176515	1224704
retained	6	4	4	spectral-norm	one-core	typerb-go	pass	0			5.643169311999998	5.629959	7184384
retained	6	4	5	spectral-norm	one-core	c	pass	0			1.7879511360000038	1.785495	700416
retained	6	4	6	spectral-norm	one-core	cpp	pass	0			1.839429225999993	1.836846	958464
retained	6	4	7	spectral-norm	one-core	go	pass	0			3.2169499799999812	3.21273	3702784
retained	7	5	1	spectral-norm	one-core	java	pass	0			1.9293739639999785	1.888036	49799168
retained	7	5	2	spectral-norm	one-core	typerb-native	pass	0			5.18034525500002	5.178246	1200128
retained	7	5	3	spectral-norm	one-core	typerb-go	pass	0			5.634207887999992	5.628967	7180288
retained	7	5	4	spectral-norm	one-core	c	pass	0			1.7879235679999965	1.785374	692224
retained	7	5	5	spectral-norm	one-core	cpp	pass	0			1.839344720999975	1.836925	937984
retained	7	5	6	spectral-norm	one-core	go	pass	0			3.2188934819999986	3.212662	3706880
retained	7	5	7	spectral-norm	one-core	rust	pass	0			1.7989230590000034	1.795915	1441792
retained	8	6	1	spectral-norm	one-core	typerb-native	pass	0			5.178320054999972	5.176447	1200128
retained	8	6	2	spectral-norm	one-core	typerb-go	pass	0			5.649657435999984	5.628977	7184384
retained	8	6	3	spectral-norm	one-core	c	pass	0			1.788150875000042	1.78565	700416
retained	8	6	4	spectral-norm	one-core	cpp	pass	0			1.839189097999963	1.836956	937984
retained	8	6	5	spectral-norm	one-core	go	pass	0			3.219349263999959	3.212763	3948544
retained	8	6	6	spectral-norm	one-core	rust	pass	0			1.7986706749999826	1.795684	1433600
retained	8	6	7	spectral-norm	one-core	java	pass	0			1.9339287140000465	1.891625	50315264
retained	9	7	1	spectral-norm	one-core	typerb-go	pass	0			5.636908844000004	5.629719	7184384
