phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	fannkuch-redux	typerb-native	pass	0			0.20882988900001465	0.055507	77860864	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
warmup	1	0	2	fannkuch-redux	typerb-go	pass	0			3.741445069000008	9.913828	393871360	2808692	25df3f4e2aa37e1fc4641c149fa88895b98a07dda87e9c39f13f9ba5a550e0da	0	true	true
warmup	2	0	1	fannkuch-redux	typerb-go	pass	0			0.4501498259999721	0.341337	158982144	2808692	47d24fcdc0ce7f4917053da64521fb957501808c3910d9a1f3b41cc32f595476	0	true	true
warmup	2	0	2	fannkuch-redux	typerb-native	pass	0			0.2021555899999612	0.054092	78073856	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	3	1	1	fannkuch-redux	typerb-native	pass	0			0.20629227000000583	0.055107	78151680	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	3	1	2	fannkuch-redux	typerb-go	pass	0			0.46025351299999784	0.343579	159256576	2808836	43d934d48d4209d7ba4d208072f65cc035ee83919227b3262135bfd7a4f98875	0	true	true
retained	4	2	1	fannkuch-redux	typerb-go	pass	0			0.446677128000033	0.340396	158310400	2808692	d9034dc83069893db2fa4d40824e0a65043188f8da6f18dc7cbd19bbef1b1ae0	0	true	true
retained	4	2	2	fannkuch-redux	typerb-native	pass	0			0.20010001100001773	0.053415	77889536	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	5	3	1	fannkuch-redux	typerb-native	pass	0			0.2011670180000351	0.054826	78090240	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	5	3	2	fannkuch-redux	typerb-go	pass	0			0.46729945099997394	0.347031	158928896	2808692	fb7587c634d29abf97840cb210e282445d29f4803814ab10ebad0a6798436977	0	true	true
retained	6	4	1	fannkuch-redux	typerb-go	pass	0			0.45076449399999774	0.341835	159543296	2808692	6479270d1aa012380e9b0f722dbbb143c80676ccceb4a498ac5d9782fb6c0155	0	true	true
retained	6	4	2	fannkuch-redux	typerb-native	pass	0			0.2047628130000021	0.055081	78077952	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	7	5	1	fannkuch-redux	typerb-native	pass	0			0.21050438299999996	0.056032	78086144	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	7	5	2	fannkuch-redux	typerb-go	pass	0			0.4572481590000166	0.34794	158437376	2808628	c4a0bcd9657e37f10b32b1b7b764e603d61b1770ed7c21bfd00a107abdc93eff	0	true	true
retained	8	6	1	fannkuch-redux	typerb-go	pass	0			0.4577919570000404	0.349677	159612928	2808836	9dc3f8371f7ea3f9884f5ebb79b11d20f8b746a6e2da92a108d4a966927f6ef9	0	true	true
retained	8	6	2	fannkuch-redux	typerb-native	pass	0			0.20456089499998598	0.054671	78061568	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	9	7	1	fannkuch-redux	typerb-native	pass	0			0.203499101000034	0.055287	77922304	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	9	7	2	fannkuch-redux	typerb-go	pass	0			0.4566127340000321	0.350186	159830016	2808836	28d36e25b5e511d30a59fa85623ce610f8b87e82281138db1cbb10cd7fc061e5	0	true	true
retained	10	8	1	fannkuch-redux	typerb-go	pass	0			0.4564783209999632	0.344847	159948800	2808692	686d93d584f0e990783260d78db3fcc610fabe31349c28e8c0bc8980db646793	0	true	true
retained	10	8	2	fannkuch-redux	typerb-native	pass	0			0.1998758870000188	0.054923	78077952	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	11	9	1	fannkuch-redux	typerb-native	pass	0			0.206574766000017	0.055266	77897728	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	11	9	2	fannkuch-redux	typerb-go	pass	0			0.45251299699998526	0.338236	159027200	2808692	379aeec82ef62b037ef965ccc10ddca98cd7d7589f69ead8cc1f51089293b3f5	0	true	true
retained	12	10	1	fannkuch-redux	typerb-go	pass	0			0.4522441070000127	0.340022	161062912	2808836	60959413f8bc9a4766fe85db74d972828ce669039ef7d8d67026a669452fd3b6	0	true	true
retained	12	10	2	fannkuch-redux	typerb-native	pass	0			0.20203413199999432	0.054704	78073856	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	13	11	1	fannkuch-redux	typerb-native	pass	0			0.20891696199998933	0.0556	78090240	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	13	11	2	fannkuch-redux	typerb-go	pass	0			0.46113150799999403	0.34886	159281152	2808836	e3f11ac4a92920c97df0799571ca8fc32b708bfc0ea2fa6abcc0dc360ec330bd	0	true	true
