phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	spectral-norm	typerb-native	pass	0			0.15615947800006325	0.055984	77979648	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
warmup	1	0	2	spectral-norm	typerb-go	pass	0			3.8593063570001505	10.024227	392691712	2809882	560628fc6af84357f93e6f9beb5dbf1b20954bc912f681c0f82894bd7302bf0f	0	true	true
warmup	2	0	1	spectral-norm	typerb-go	pass	0			0.7843466950002949	0.370958	159084544	2809882	3c329e8d96409b4b244761939cff7bbea8773381ecc5a7d17f49910334abe40d	0	true	true
warmup	2	0	2	spectral-norm	typerb-native	pass	0			0.15696821700021246	0.055246	77987840	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	3	1	1	spectral-norm	typerb-native	pass	0			0.15517262800040044	0.054701	78262272	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	3	1	2	spectral-norm	typerb-go	pass	0			0.4059966070003611	0.361704	160026624	2809882	8f35c2085877aa5387a24f7c746a9b7e580616fc1f20ef2cb3323e7a22d84607	0	true	true
retained	4	2	1	spectral-norm	typerb-go	pass	0			0.393714510999871	0.350821	160944128	2809882	99c92946bc45f790084317f64ecabd11f5ab47e5d4916cc42eb975ef4c59bc13	0	true	true
retained	4	2	2	spectral-norm	typerb-native	pass	0			0.1609234320003452	0.055997	77996032	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	5	3	1	spectral-norm	typerb-native	pass	0			0.15742480200015052	0.055833	78237696	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	5	3	2	spectral-norm	typerb-go	pass	0			0.39014175500005877	0.348282	160079872	2809850	f7c447391190732091ac745e89ec7573b25f28040fd842e1516e34e422bef678	0	true	true
retained	6	4	1	spectral-norm	typerb-go	pass	0			0.3858471529997587	0.350834	160874496	2809874	d124cfeb05a3f71e25dc3d29798696551960063f6a698cd3b2ad35427a4cddf5	0	true	true
retained	6	4	2	spectral-norm	typerb-native	pass	0			0.15462682899988067	0.055283	77991936	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	7	5	1	spectral-norm	typerb-native	pass	0			0.1571627619996434	0.055139	77983744	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	7	5	2	spectral-norm	typerb-go	pass	0			0.4073541180000575	0.354698	160530432	2809882	6fdc4c60cea53d51a08fb275ea818222b3dce7f4c45bbe3980e6b3edfe7093a1	0	true	true
retained	8	6	1	spectral-norm	typerb-go	pass	0			0.38966583899991747	0.346999	159170560	2809874	090546942ac51a936745881e1713e7090571130ccd675934bf7616a2c18aa6ff	0	true	true
retained	8	6	2	spectral-norm	typerb-native	pass	0			0.15777617499998087	0.054924	78065664	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	9	7	1	spectral-norm	typerb-native	pass	0			0.1584995070002151	0.054635	78245888	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	9	7	2	spectral-norm	typerb-go	pass	0			0.3912931929999104	0.344408	160374784	2809874	ab588b732ad1827bc7982d2518a31440458e3139baef7dc2b4fa467544738762	0	true	true
retained	10	8	1	spectral-norm	typerb-go	pass	0			0.39377278300025864	0.342617	160407552	2809882	27fa430f71489f3f034e2f4037b0f744a35055b25091edbdbaaf3330dce8cc0a	0	true	true
retained	10	8	2	spectral-norm	typerb-native	pass	0			0.1527144629999384	0.054786	78012416	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	11	9	1	spectral-norm	typerb-native	pass	0			0.15614899400043214	0.055871	78254080	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	11	9	2	spectral-norm	typerb-go	pass	0			0.40826029300023947	0.348395	160477184	2809874	5f415288562fc4fed6bcc13528b12412f72ad7ed31177286cbc621db80cff2e5	0	true	true
retained	12	10	1	spectral-norm	typerb-go	pass	0			0.38920018199996775	0.353902	159494144	2809882	47959845b4e00f65f06bf4cdcc54596a70cdab4814a0eeb2cb4e487a306907a7	0	true	true
retained	12	10	2	spectral-norm	typerb-native	pass	0			0.15468502500016257	0.055629	78237696	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	13	11	1	spectral-norm	typerb-native	pass	0			0.15196321099983834	0.054776	77991936	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	13	11	2	spectral-norm	typerb-go	pass	0			0.41222388100004537	0.362352	159244288	2809882	a0339a107fac47cbf116f8b75805f37c7ef3fece52a3e8dadee862dcea065362	0	true	true
