phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	fannkuch-redux	typerb-native	pass	0			0.24928932600005282	0.061795	78147584	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
warmup	1	0	2	fannkuch-redux	typerb-go	pass	0			4.365464217999943	11.347791	386375680	2808692	f03f8b84bc28ed3a27dbffa03706e2bcc4b2a52d620af58e457177883247dc1c	0	true	true
warmup	2	0	1	fannkuch-redux	typerb-go	pass	0			0.5817407459999231	0.403585	159092736	2808692	577538a80d5a356521957ea4c0b8b13b3736bae636bc3f590efc0317f482c8f0	0	true	true
warmup	2	0	2	fannkuch-redux	typerb-native	pass	0			0.3374077399998896	0.061498	77881344	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	3	1	1	fannkuch-redux	typerb-native	pass	0			0.28776788499999384	0.061375	77869056	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	3	1	2	fannkuch-redux	typerb-go	pass	0			0.5986164460000509	0.400196	160731136	2808692	60627cb7dc849daa39a0912f5d473176dc7b3bf957f5678c012cb9d3ce7ca7f7	0	true	true
retained	4	2	1	fannkuch-redux	typerb-go	pass	0			0.5868428199996742	0.394334	158760960	2808692	36b591a8b4674812cd72b2bfc43d96e056a18869377a978301cc0735d338bbfd	0	true	true
retained	4	2	2	fannkuch-redux	typerb-native	pass	0			0.24910735399998885	0.061517	78266368	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	5	3	1	fannkuch-redux	typerb-native	pass	0			0.2686675829995693	0.061107	78131200	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	5	3	2	fannkuch-redux	typerb-go	pass	0			0.5902145459999701	0.396291	160055296	2808692	c128c583f565c545599f41444377189d6411fabae7e9031a0d3609905c0190f3	0	true	true
retained	6	4	1	fannkuch-redux	typerb-go	pass	0			0.5753041080001822	0.396641	158875648	2808692	e5b149bd776db2898384754e242a60ad011ad64c5a8c926ee9c13d9e86aa4965	0	true	true
retained	6	4	2	fannkuch-redux	typerb-native	pass	0			0.31305044200007615	0.063481	77893632	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	7	5	1	fannkuch-redux	typerb-native	pass	0			0.3252701250003156	0.061248	78098432	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	7	5	2	fannkuch-redux	typerb-go	pass	0			0.6195100429999911	0.404122	159805440	2808692	be542d99fb77f197e63c2aa7745ed03708a68110dbe21d964a60c6c90b333c9f	0	true	true
retained	8	6	1	fannkuch-redux	typerb-go	pass	0			0.5743310879997807	0.396716	160129024	2808692	33596558aa96c03e8f3fccccf34d29430428fd4bcdd74e988186ea4ec077b65b	0	true	true
retained	8	6	2	fannkuch-redux	typerb-native	pass	0			0.28029650700000275	0.061082	78065664	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	9	7	1	fannkuch-redux	typerb-native	pass	0			0.30318841100006466	0.061211	78102528	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	9	7	2	fannkuch-redux	typerb-go	pass	0			0.6302454680003393	0.399072	159522816	2808692	5b7c377876b95c8ae9c832c2eb8ba05bab2fd4cf0fd423bae7885bce0f262cbe	0	true	true
retained	10	8	1	fannkuch-redux	typerb-go	pass	0			0.5460916440001711	0.384854	159735808	2808692	96e5f8172a3d2558e2c300b1c7b0b68cb86c2ca125f662daa344a224bb68b8dd	0	true	true
retained	10	8	2	fannkuch-redux	typerb-native	pass	0			0.27410248900014267	0.061075	78073856	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	11	9	1	fannkuch-redux	typerb-native	pass	0			0.2694299189997764	0.061352	78254080	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	11	9	2	fannkuch-redux	typerb-go	pass	0			0.5477506400002312	0.38767	160010240	2808692	49d726d57510b8ab6dde3d14e72fb5c3a682e093fca7d05a28ec4795efedf699	0	true	true
retained	12	10	1	fannkuch-redux	typerb-go	pass	0			0.5554408090001743	0.393036	158777344	2808836	1789d518cf928053d60f113e6cd9b8562fc22f71e960d597026137ef420c9055	0	true	true
retained	12	10	2	fannkuch-redux	typerb-native	pass	0			0.27326279399994746	0.061679	78090240	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	13	11	1	fannkuch-redux	typerb-native	pass	0			0.25616364400002567	0.060212	78077952	18888	ca107a45b1829880deaa5ce037c1db074e27b8289444aeb8a2a6deef0be759e2	0	true	true
retained	13	11	2	fannkuch-redux	typerb-go	pass	0			0.5668071290001535	0.392235	159551488	2808692	e59694f8806d134fab2fb83c48d2e20e79238f267fcf3f54d92b9770dfcbe179	0	true	true
