phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	n-body	typerb-native	pass	0			0.2787066309999773	0.088465	77975552	22304	bf3077b9b227113fa86087d7b566e8e167e2d154332b0d2c1276f8fe2bd526b6	0	true	true
warmup	1	0	2	n-body	typerb-go	pass	0			4.224095804000001	10.648183	414883840	2815354	e3839e9bde34fec9560ec33b3cf612c2a8d2597d47ffbc698d977a0dc812b696	0	true	true
warmup	2	0	1	n-body	typerb-go	pass	0			0.6421550149999575	0.474714	161710080	2815362	d3865f484c40ca8dc2767de61577e3e9d23b83c0109b2035d2c2fe3d113a437c	0	true	true
warmup	2	0	2	n-body	typerb-native	pass	0			0.26853479499999366	0.084842	78229504	22304	bf3077b9b227113fa86087d7b566e8e167e2d154332b0d2c1276f8fe2bd526b6	0	true	true
retained	3	1	1	n-body	typerb-native	pass	0			0.27048899400000437	0.085998	78237696	22304	bf3077b9b227113fa86087d7b566e8e167e2d154332b0d2c1276f8fe2bd526b6	0	true	true
retained	3	1	2	n-body	typerb-go	pass	0			0.6640906910000126	0.493573	162435072	2815314	b35e85fb7366623daafebf260659a4e4e11b944ae6dc597da28d5c034a5004c5	0	true	true
retained	4	2	1	n-body	typerb-go	pass	0			0.6555672019999861	0.494935	160751616	2815362	c8abc06edb05f053b31fd468262f44e336bbf8fd5ba2bef2747f95c87c358aee	0	true	true
retained	4	2	2	n-body	typerb-native	pass	0			0.27409712900004024	0.085418	78241792	22304	bf3077b9b227113fa86087d7b566e8e167e2d154332b0d2c1276f8fe2bd526b6	0	true	true
retained	5	3	1	n-body	typerb-native	pass	0			0.2767023630000267	0.086512	78241792	22304	bf3077b9b227113fa86087d7b566e8e167e2d154332b0d2c1276f8fe2bd526b6	0	true	true
retained	5	3	2	n-body	typerb-go	pass	0			0.6559053790000462	0.483531	162856960	2815362	ae5e91a4923a8d29244ece9a8160a1fe02b0ca7c78653e6798862c0cf88632eb	0	true	true
retained	6	4	1	n-body	typerb-go	pass	0			0.6591065650000019	0.489285	161976320	2815354	c8ae0b668d1cc4e476bcb6689c22ba6afe7088826a8919a03193c44bd7ff75ad	0	true	true
retained	6	4	2	n-body	typerb-native	pass	0			0.27812212300000283	0.08918	78241792	22304	bf3077b9b227113fa86087d7b566e8e167e2d154332b0d2c1276f8fe2bd526b6	0	true	true
retained	7	5	1	n-body	typerb-native	pass	0			0.28194213599999784	0.089687	78225408	22304	bf3077b9b227113fa86087d7b566e8e167e2d154332b0d2c1276f8fe2bd526b6	0	true	true
retained	7	5	2	n-body	typerb-go	pass	0			0.6652662909999663	0.482286	163201024	2815354	5775661d59a685f88b76803075623ecc30a3749803eacfdc9aac153d11e1cf0a	0	true	true
retained	8	6	1	n-body	typerb-go	pass	0			0.6610983690000012	0.491493	162000896	2815354	f228c09702682748f4666e731f7e0de6ee229ea516e4ba0271135f6b36e15d63	0	true	true
retained	8	6	2	n-body	typerb-native	pass	0			0.28741289999999253	0.092334	78241792	22304	bf3077b9b227113fa86087d7b566e8e167e2d154332b0d2c1276f8fe2bd526b6	0	true	true
retained	9	7	1	n-body	typerb-native	pass	0			0.2794926290000035	0.088601	77778944	22304	bf3077b9b227113fa86087d7b566e8e167e2d154332b0d2c1276f8fe2bd526b6	0	true	true
retained	9	7	2	n-body	typerb-go	pass	0			0.6844578820000038	0.511979	161800192	2815362	96cf4f70361dd86c8356d8c39a9803fb6b2cb752070f486ba6e317f3fb946768	0	true	true
retained	10	8	1	n-body	typerb-go	pass	0			0.6824144540000248	0.512628	163381248	2815306	9e6c12a51d53d174bbe4d1b55281cd6053124f5ee0a2329c3518d59803bde5b8	0	true	true
retained	10	8	2	n-body	typerb-native	pass	0			0.27776714700002003	0.088913	78217216	22304	bf3077b9b227113fa86087d7b566e8e167e2d154332b0d2c1276f8fe2bd526b6	0	true	true
retained	11	9	1	n-body	typerb-native	pass	0			0.2764237319999552	0.08885	78299136	22304	bf3077b9b227113fa86087d7b566e8e167e2d154332b0d2c1276f8fe2bd526b6	0	true	true
retained	11	9	2	n-body	typerb-go	pass	0			0.6841636229999608	0.506057	162050048	2815314	77e99e5ee14f88f3394c7c7f2a267e46d7d340c0fd6cb7f39ac619b5b95c6b65	0	true	true
retained	12	10	1	n-body	typerb-go	pass	0			0.6533325849999869	0.486331	163377152	2815306	cfd8a60d01c6b5380b8cb1614705a74468eabe6942f95e332ccffeba6c8326bd	0	true	true
retained	12	10	2	n-body	typerb-native	pass	0			0.2742592390000027	0.087528	77959168	22304	bf3077b9b227113fa86087d7b566e8e167e2d154332b0d2c1276f8fe2bd526b6	0	true	true
retained	13	11	1	n-body	typerb-native	pass	0			0.27151709999998275	0.086499	77967360	22304	bf3077b9b227113fa86087d7b566e8e167e2d154332b0d2c1276f8fe2bd526b6	0	true	true
retained	13	11	2	n-body	typerb-go	pass	0			0.6840333110000074	0.532032	163401728	2815354	01368313d7f0d36c03819317ee4775beb78938396f686d2917310b060968d37f	0	true	true
