phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	spectral-norm	typerb-native	pass	0			0.23105042999986836	0.058963	77959168	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
warmup	1	0	2	spectral-norm	typerb-go	pass	0			4.159375267999849	10.751805	398909440	2809882	826c297cfdaf0f50c2021ec6faaa46c43877b3f6d81075c533028b8418046fe3	0	true	true
warmup	2	0	1	spectral-norm	typerb-go	pass	0			0.6192247050000788	0.372308	158670848	2809882	db440bae08405409431a8f2fffc68f11f5895857afff2e15cd3b58d77be94f8f	0	true	true
warmup	2	0	2	spectral-norm	typerb-native	pass	0			0.21291560699978618	0.057397	77991936	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	3	1	1	spectral-norm	typerb-native	pass	0			0.21506990400007453	0.056924	78008320	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	3	1	2	spectral-norm	typerb-go	pass	0			0.6018805539999903	0.379509	160075776	2809882	04aac6a990d44b6491c85188b03e0f1b58af08ae411cb5957acd801adc27eecd	0	true	true
retained	4	2	1	spectral-norm	typerb-go	pass	0			0.5958619589998762	0.376126	160714752	2809882	b4cd3b9106a455a1e8c5a0627176e4a07afff94bf026b1221f7b3157c219f2c0	0	true	true
retained	4	2	2	spectral-norm	typerb-native	pass	0			0.23110381400010738	0.057807	77991936	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	5	3	1	spectral-norm	typerb-native	pass	0			0.2162229400000797	0.057209	77991936	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	5	3	2	spectral-norm	typerb-go	pass	0			0.5548943710000458	0.375851	160555008	2809882	955fc26c1f0ef6f4ccaacaa1596e2e5a899897c6e724509d7d8dd41599f2abd7	0	true	true
retained	6	4	1	spectral-norm	typerb-go	pass	0			0.6313766859998395	0.376367	160911360	2809850	e2734476b8b13be5f8b6f7ca22ff6cf37cf1f2ce22e103ddf283afedc47d155a	0	true	true
retained	6	4	2	spectral-norm	typerb-native	pass	0			0.21216669800014643	0.057832	78237696	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	7	5	1	spectral-norm	typerb-native	pass	0			0.21919417100002647	0.057599	77991936	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	7	5	2	spectral-norm	typerb-go	pass	0			0.5974657830001888	0.372943	160645120	2809882	944364617a6abd92df8eb9d98cb489460e5ebd18c1417932dd6729fce8804fa5	0	true	true
retained	8	6	1	spectral-norm	typerb-go	pass	0			0.5833340950000547	0.374197	159625216	2809874	ccedcef893fcc9aaa7fd066622e260dd54922b0e0a1920db48fcdd840e274113	0	true	true
retained	8	6	2	spectral-norm	typerb-native	pass	0			0.2180234490001567	0.056291	78053376	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	9	7	1	spectral-norm	typerb-native	pass	0			0.21837179799990736	0.057772	77721600	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	9	7	2	spectral-norm	typerb-go	pass	0			0.5930570150001131	0.369118	160260096	2809850	7b879179d77bb48af229c31fa5df6c852b9aa98cc7b0fb0ecc542f2744185926	0	true	true
retained	10	8	1	spectral-norm	typerb-go	pass	0			0.5604632669999319	0.376198	158138368	2809882	dc8af9bea1ef14d2d6c71267544c7558d06a970f89c16c701632a93d87ecd86f	0	true	true
retained	10	8	2	spectral-norm	typerb-native	pass	0			0.21882464700001947	0.057306	78049280	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	11	9	1	spectral-norm	typerb-native	pass	0			0.21851713199998812	0.05741	78237696	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	11	9	2	spectral-norm	typerb-go	pass	0			0.6020963199998732	0.371704	160260096	2809882	32098532ba725a415482fd2633a4778e9f2f6036725cbf2a0dbf18a1ce309154	0	true	true
retained	12	10	1	spectral-norm	typerb-go	pass	0			0.497708411000076	0.354014	160358400	2809882	7ac151826375a8fddd8334758eed5d569524758bddc2c1b795cc01563670e7b7	0	true	true
retained	12	10	2	spectral-norm	typerb-native	pass	0			0.2138583920000201	0.057494	78213120	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	13	11	1	spectral-norm	typerb-native	pass	0			0.21490398300011293	0.058002	78266368	19552	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	0	true	true
retained	13	11	2	spectral-norm	typerb-go	pass	0			0.49011460699989584	0.370437	160256000	2809882	65572cfab2f679b389fa776f0f33ef22e9028b5677fa294c7de8a44179551dba	0	true	true
