phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	four-core	typerb-native	pass	0			84.8436821260002	84.842903	524288
warmup	1	0	2	fannkuch-redux	four-core	typerb-go	pass	0			45.96081324499937	46.080745	3817472
warmup	1	0	3	fannkuch-redux	four-core	c	pass	0			27.486514025999895	27.485403	524288
warmup	1	0	4	fannkuch-redux	four-core	cpp	pass	0			24.95124639200003	24.950015	684032
warmup	1	0	5	fannkuch-redux	four-core	go	pass	0			24.690398914999605	24.739646	3682304
warmup	1	0	6	fannkuch-redux	four-core	rust	pass	0			6.333669659999941	24.81932	1990656
warmup	1	0	7	fannkuch-redux	four-core	java	pass	0			23.97860021699944	23.979321	52023296
warmup	2	0	1	fannkuch-redux	four-core	typerb-go	pass	0			46.067087956999785	46.172007	3948544
warmup	2	0	2	fannkuch-redux	four-core	c	pass	0			27.47350768100023	27.471851	524288
warmup	2	0	3	fannkuch-redux	four-core	cpp	pass	0			24.95566881600007	24.95288	688128
warmup	2	0	4	fannkuch-redux	four-core	go	pass	0			24.624914218000413	24.674636	3784704
warmup	2	0	5	fannkuch-redux	four-core	rust	pass	0			6.304966483000499	24.823728	2007040
warmup	2	0	6	fannkuch-redux	four-core	java	pass	0			24.003096669000115	23.988771	42549248
warmup	2	0	7	fannkuch-redux	four-core	typerb-native	pass	0			84.86906654500035	84.868322	524288
retained	3	1	1	fannkuch-redux	four-core	c	pass	0			27.408137515000817	27.406877	651264
retained	3	1	2	fannkuch-redux	four-core	cpp	pass	0			25.001364683999782	25.00003	696320
retained	3	1	3	fannkuch-redux	four-core	go	pass	0			24.948338633000276	25.011198	3661824
retained	3	1	4	fannkuch-redux	four-core	rust	pass	0			6.30674670999997	24.821102	1990656
retained	3	1	5	fannkuch-redux	four-core	java	pass	0			23.986862061000465	23.979528	52072448
retained	3	1	6	fannkuch-redux	four-core	typerb-native	pass	0			84.86006752899993	84.860845	524288
retained	3	1	7	fannkuch-redux	four-core	typerb-go	pass	0			46.20080552299987	46.323693	3932160
retained	4	2	1	fannkuch-redux	four-core	cpp	pass	0			24.987426493000385	24.986458	696320
retained	4	2	2	fannkuch-redux	four-core	go	pass	0			24.886224077000406	24.941772	3768320
retained	4	2	3	fannkuch-redux	four-core	rust	pass	0			6.306611132999933	24.823565	1990656
retained	4	2	4	fannkuch-redux	four-core	java	pass	0			23.975851614999556	23.975512	52187136
retained	4	2	5	fannkuch-redux	four-core	typerb-native	pass	0			84.84373035999943	84.844776	704512
retained	4	2	6	fannkuch-redux	four-core	typerb-go	pass	0			46.081842671999766	46.194139	3891200
retained	4	2	7	fannkuch-redux	four-core	c	pass	0			27.409356743999524	27.407397	524288
retained	5	3	1	fannkuch-redux	four-core	go	pass	0			24.66708991900032	24.721818	3682304
retained	5	3	2	fannkuch-redux	four-core	rust	pass	0			6.305534582999826	24.820347	1998848
retained	5	3	3	fannkuch-redux	four-core	java	pass	0			23.987143831999674	23.977204	42856448
retained	5	3	4	fannkuch-redux	four-core	typerb-native	pass	0			84.854371421	84.855132	524288
retained	5	3	5	fannkuch-redux	four-core	typerb-go	pass	0			46.0144496439998	46.122809	4177920
retained	5	3	6	fannkuch-redux	four-core	c	pass	0			27.894824975999654	27.893221	524288
retained	5	3	7	fannkuch-redux	four-core	cpp	pass	0			24.982070754000233	24.980206	684032
retained	6	4	1	fannkuch-redux	four-core	rust	pass	0			6.308271695999792	24.824848	1994752
retained	6	4	2	fannkuch-redux	four-core	java	pass	0			23.985328441000092	23.983182	51949568
retained	6	4	3	fannkuch-redux	four-core	typerb-native	pass	0			84.8575072170006	84.856799	524288
retained	6	4	4	fannkuch-redux	four-core	typerb-go	pass	0			46.422371839000334	46.531066	4120576
retained	6	4	5	fannkuch-redux	four-core	c	pass	0			27.478132944999743	27.475833	524288
retained	6	4	6	fannkuch-redux	four-core	cpp	pass	0			24.946269334000135	24.944731	696320
