phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	one-core	typerb-native	pass	0			84.86183732699999	84.859668	524288
warmup	1	0	2	fannkuch-redux	one-core	typerb-go	pass	0			45.75297945099999	45.749549	3272704
warmup	1	0	3	fannkuch-redux	one-core	c	pass	0			27.904685838999967	27.901285	655360
warmup	1	0	4	fannkuch-redux	one-core	cpp	pass	0			24.958445166000047	24.956337	692224
warmup	1	0	5	fannkuch-redux	one-core	go	pass	0			24.60739146200001	24.599428	2867200
warmup	1	0	6	fannkuch-redux	one-core	rust	pass	0			24.869841156000007	24.867508	1196032
warmup	1	0	7	fannkuch-redux	one-core	java	pass	0			24.19257046200005	24.146353	49696768
warmup	2	0	1	fannkuch-redux	one-core	typerb-go	pass	0			45.431490209	45.425354	3022848
warmup	2	0	2	fannkuch-redux	one-core	c	pass	0			27.295671472000095	27.293167	524288
warmup	2	0	3	fannkuch-redux	one-core	cpp	pass	0			24.983497865999993	24.979138	786432
warmup	2	0	4	fannkuch-redux	one-core	go	pass	0			24.659838686000057	24.653036	2891776
warmup	2	0	5	fannkuch-redux	one-core	rust	pass	0			24.86964485800013	24.867771	1196032
warmup	2	0	6	fannkuch-redux	one-core	java	pass	0			24.761323787000038	24.719327	49414144
warmup	2	0	7	fannkuch-redux	one-core	typerb-native	pass	0			84.848176578	84.846226	524288
retained	3	1	1	fannkuch-redux	one-core	c	pass	0			27.475775432999853	27.474121	524288
retained	3	1	2	fannkuch-redux	one-core	cpp	pass	0			24.985938600000054	24.983003	688128
retained	3	1	3	fannkuch-redux	one-core	go	pass	0			24.590458201000047	24.584425	2899968
retained	3	1	4	fannkuch-redux	one-core	rust	pass	0			24.876818922999973	24.868089	1212416
retained	3	1	5	fannkuch-redux	one-core	java	pass	0			24.612058365000166	24.571588	50069504
retained	3	1	6	fannkuch-redux	one-core	typerb-native	pass	0			84.84450370900004	84.843601	524288
retained	3	1	7	fannkuch-redux	one-core	typerb-go	pass	0			46.1072118730001	46.102531	3031040
retained	4	2	1	fannkuch-redux	one-core	cpp	pass	0			24.951409625999986	24.948811	684032
retained	4	2	2	fannkuch-redux	one-core	go	pass	0			24.59133881599996	24.579973	2912256
retained	4	2	3	fannkuch-redux	one-core	rust	pass	0			24.874281223999787	24.872585	1323008
retained	4	2	4	fannkuch-redux	one-core	java	pass	0			24.430994902999828	24.39044	50126848
retained	4	2	5	fannkuch-redux	one-core	typerb-native	pass	0			84.8558832870001	84.855234	524288
retained	4	2	6	fannkuch-redux	one-core	typerb-go	pass	0			46.15156973400008	46.146164	3014656
retained	4	2	7	fannkuch-redux	one-core	c	pass	0			27.900240966999945	27.897907	524288
retained	5	3	1	fannkuch-redux	one-core	go	pass	0			24.600235432999852	24.591596	2932736
retained	5	3	2	fannkuch-redux	one-core	rust	pass	0			24.872798714000055	24.871091	1204224
retained	5	3	3	fannkuch-redux	one-core	java	pass	0			24.441374794000012	24.400211	48300032
retained	5	3	4	fannkuch-redux	one-core	typerb-native	pass	0			84.855879211	84.85527	524288
retained	5	3	5	fannkuch-redux	one-core	typerb-go	pass	0			46.444252273000075	46.4394	3256320
retained	5	3	6	fannkuch-redux	one-core	c	pass	0			27.482422559999804	27.481368	659456
retained	5	3	7	fannkuch-redux	one-core	cpp	pass	0			24.96586126000011	24.963353	684032
retained	6	4	1	fannkuch-redux	one-core	rust	pass	0			24.868149185999982	24.866403	1220608
retained	6	4	2	fannkuch-redux	one-core	java	pass	0			24.41317022499993	24.361148	39628800
retained	6	4	3	fannkuch-redux	one-core	typerb-native	pass	0			84.84602353100013	84.8456	524288
retained	6	4	4	fannkuch-redux	one-core	typerb-go	pass	0			46.17504678299974	46.171195	3252224
retained	6	4	5	fannkuch-redux	one-core	c	pass	0			27.89863432300035	27.897252	524288
retained	6	4	6	fannkuch-redux	one-core	cpp	pass	0			24.977250363000167	24.974707	684032
retained	6	4	7	fannkuch-redux	one-core	go	pass	0			24.593046650999895	24.586353	2891776
retained	7	5	1	fannkuch-redux	one-core	java	pass	0			24.61751914000024	24.575501	49881088
retained	7	5	2	fannkuch-redux	one-core	typerb-native	pass	0			84.8617753640001	84.860462	524288
retained	7	5	3	fannkuch-redux	one-core	typerb-go	pass	0			46.03924716700021	46.033154	3026944
retained	7	5	4	fannkuch-redux	one-core	c	pass	0			27.292375790999813	27.290669	524288
retained	7	5	5	fannkuch-redux	one-core	cpp	pass	0			24.959940924999955	24.956828	684032
retained	7	5	6	fannkuch-redux	one-core	go	pass	0			24.638705872999708	24.628481	2887680
retained	7	5	7	fannkuch-redux	one-core	rust	pass	0			24.872005672999876	24.869237	1212416
retained	8	6	1	fannkuch-redux	one-core	typerb-native	pass	0			84.84933419800018	84.848683	524288
retained	8	6	2	fannkuch-redux	one-core	typerb-go	pass	0			46.11857070399992	46.11276	3022848
retained	8	6	3	fannkuch-redux	one-core	c	pass	0			27.409104698999727	27.407507	524288
retained	8	6	4	fannkuch-redux	one-core	cpp	pass	0			24.979569874999925	24.976666	679936
retained	8	6	5	fannkuch-redux	one-core	go	pass	0			24.62062254600005	24.612993	2973696
retained	8	6	6	fannkuch-redux	one-core	rust	pass	0			24.873144694000075	24.871306	1208320
retained	8	6	7	fannkuch-redux	one-core	java	pass	0			24.18085201299982	24.127856	41086976
retained	9	7	1	fannkuch-redux	one-core	typerb-go	pass	0			45.90464871999984	45.900038	3022848
retained	9	7	2	fannkuch-redux	one-core	c	pass	0			27.482908622000195	27.4809	659456
retained	9	7	3	fannkuch-redux	one-core	cpp	pass	0			24.953492782000012	24.95001	671744
retained	9	7	4	fannkuch-redux	one-core	go	pass	0			24.696464278999883	24.68818	2895872
retained	9	7	5	fannkuch-redux	one-core	rust	pass	0			24.861933185999987	24.859971	1208320
retained	9	7	6	fannkuch-redux	one-core	java	pass	0			24.56722403899994	24.523072	50135040
retained	9	7	7	fannkuch-redux	one-core	typerb-native	pass	0			84.85706892300004	84.856633	524288
retained	10	8	1	fannkuch-redux	one-core	c	pass	0			27.47975862400017	27.477315	524288
retained	10	8	2	fannkuch-redux	one-core	cpp	pass	0			24.960482617999787	24.959087	692224
retained	10	8	3	fannkuch-redux	one-core	go	pass	0			24.602729742000065	24.597716	2945024
retained	10	8	4	fannkuch-redux	one-core	rust	pass	0			24.876626665999993	24.873979	1204224
retained	10	8	5	fannkuch-redux	one-core	java	pass	0			24.46932280300007	24.428821	50122752
retained	10	8	6	fannkuch-redux	one-core	typerb-native	pass	0			84.84584421299996	84.843886	524288
retained	10	8	7	fannkuch-redux	one-core	typerb-go	pass	0			46.25112711800011	46.246544	3031040
retained	11	9	1	fannkuch-redux	one-core	cpp	pass	0			24.97817551800017	24.976603	671744
retained	11	9	2	fannkuch-redux	one-core	go	pass	0			24.595053809000092	24.587287	2895872
retained	11	9	3	fannkuch-redux	one-core	rust	pass	0			24.876467160000175	24.873761	1208320
retained	11	9	4	fannkuch-redux	one-core	java	pass	0			24.62075575200015	24.580579	50081792
retained	11	9	5	fannkuch-redux	one-core	typerb-native	pass	0			84.85184117599965	84.85012	524288
retained	11	9	6	fannkuch-redux	one-core	typerb-go	pass	0			46.29304068600004	46.282832	3026944
retained	11	9	7	fannkuch-redux	one-core	c	pass	0			27.482659378000335	27.479981	524288
retained	12	10	1	fannkuch-redux	one-core	go	pass	0			24.592448308000257	24.58576	2899968
retained	12	10	2	fannkuch-redux	one-core	rust	pass	0			24.87541460400007	24.872479	1363968
retained	12	10	3	fannkuch-redux	one-core	java	pass	0			24.574325002000023	24.535456	49856512
retained	12	10	4	fannkuch-redux	one-core	typerb-native	pass	0			84.88320189399974	84.8814	524288
retained	12	10	5	fannkuch-redux	one-core	typerb-go	pass	0			46.06310039500022	46.049421	3022848
retained	12	10	6	fannkuch-redux	one-core	c	pass	0			27.903477603999818	27.900929	524288
retained	12	10	7	fannkuch-redux	one-core	cpp	pass	0			24.959036348000154	24.95718	786432
retained	13	11	1	fannkuch-redux	one-core	rust	pass	0			24.868101359999855	24.864729	1204224
retained	13	11	2	fannkuch-redux	one-core	java	pass	0			24.31451777500024	24.265941	49827840
retained	13	11	3	fannkuch-redux	one-core	typerb-native	pass	0			84.84845597599997	84.847683	524288
retained	13	11	4	fannkuch-redux	one-core	typerb-go	pass	0			45.98806226999977	45.984189	3256320
retained	13	11	5	fannkuch-redux	one-core	c	pass	0			27.482284355000047	27.480049	659456
retained	13	11	6	fannkuch-redux	one-core	cpp	pass	0			24.953015489000336	24.950799	684032
retained	13	11	7	fannkuch-redux	one-core	go	pass	0			24.611714689999644	24.605321	2875392
