phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	four-core	typerb-native	pass	0			10.461892761999934	10.45959	524288
warmup	1	0	2	n-body	four-core	typerb-go	pass	0			6.177169010999933	6.188191	3805184
warmup	1	0	3	n-body	four-core	c	pass	0			2.9772293359999367	2.974605	679936
warmup	1	0	4	n-body	four-core	cpp	pass	0			2.7302513269999054	2.7277	688128
warmup	1	0	5	n-body	four-core	go	pass	0			3.5992768940000133	3.603241	3698688
warmup	1	0	6	n-body	four-core	rust	pass	0			3.571227391000093	3.568051	1212416
warmup	1	0	7	n-body	four-core	java	pass	0			4.99478959299995	4.942737	51646464
warmup	2	0	1	n-body	four-core	typerb-go	pass	0			6.174106544999859	6.18144	3809280
warmup	2	0	2	n-body	four-core	c	pass	0			2.9763143539998964	2.97376	684032
warmup	2	0	3	n-body	four-core	cpp	pass	0			2.7431495860000723	2.740486	692224
warmup	2	0	4	n-body	four-core	go	pass	0			3.600820970000086	3.60404	3153920
warmup	2	0	5	n-body	four-core	rust	pass	0			3.531359577000103	3.528075	1212416
warmup	2	0	6	n-body	four-core	java	pass	0			4.998138839000148	4.943236	50270208
warmup	2	0	7	n-body	four-core	typerb-native	pass	0			10.452945828999873	10.450532	524288
retained	3	1	1	n-body	four-core	c	pass	0			2.975881784999956	2.973315	688128
retained	3	1	2	n-body	four-core	cpp	pass	0			2.730413193000004	2.727891	675840
retained	3	1	3	n-body	four-core	go	pass	0			3.5975293019998844	3.601446	3411968
retained	3	1	4	n-body	four-core	rust	pass	0			3.5232951890000095	3.519857	1212416
retained	3	1	5	n-body	four-core	java	pass	0			4.9956528279999475	4.943824	51326976
retained	3	1	6	n-body	four-core	typerb-native	pass	0			10.453516677000152	10.450944	524288
retained	3	1	7	n-body	four-core	typerb-go	pass	0			6.174007314999926	6.184215	3866624
retained	4	2	1	n-body	four-core	cpp	pass	0			2.739380684000025	2.736462	679936
retained	4	2	2	n-body	four-core	go	pass	0			3.600471695000124	3.60428	3629056
retained	4	2	3	n-body	four-core	rust	pass	0			3.5229361019999033	3.519608	1228800
retained	4	2	4	n-body	four-core	java	pass	0			5.000789252000004	4.943623	50794496
retained	4	2	5	n-body	four-core	typerb-native	pass	0			10.452951315999826	10.450396	524288
retained	4	2	6	n-body	four-core	typerb-go	pass	0			6.172438460999956	6.183048	3887104
retained	4	2	7	n-body	four-core	c	pass	0			2.9764487859999917	2.973705	700416
retained	5	3	1	n-body	four-core	go	pass	0			3.5983162319998883	3.603773	3682304
retained	5	3	2	n-body	four-core	rust	pass	0			3.569876540999985	3.566703	1208320
retained	5	3	3	n-body	four-core	java	pass	0			4.992984704000037	4.944921	51322880
retained	5	3	4	n-body	four-core	typerb-native	pass	0			10.462787151000157	10.459355	524288
retained	5	3	5	n-body	four-core	typerb-go	pass	0			6.17199906299993	6.181321	3813376
retained	5	3	6	n-body	four-core	c	pass	0			2.9756621720000567	2.973125	684032
retained	5	3	7	n-body	four-core	cpp	pass	0			2.7401606609998908	2.737487	688128
retained	6	4	1	n-body	four-core	rust	pass	0			3.5330533389999346	3.529524	1208320
retained	6	4	2	n-body	four-core	java	pass	0			4.983647384000051	4.927531	50151424
retained	6	4	3	n-body	four-core	typerb-native	pass	0			10.453016412999887	10.450218	524288
retained	6	4	4	n-body	four-core	typerb-go	pass	0			6.180773804999944	6.189936	4149248
retained	6	4	5	n-body	four-core	c	pass	0			2.9759982219998165	2.97348	684032
retained	6	4	6	n-body	four-core	cpp	pass	0			2.7398692469998878	2.736828	696320
retained	6	4	7	n-body	four-core	go	pass	0			3.6007570809999834	3.605373	3641344
retained	7	5	1	n-body	four-core	java	pass	0			4.990234482000005	4.932837	50323456
retained	7	5	2	n-body	four-core	typerb-native	pass	0			10.452519822999875	10.449818	524288
retained	7	5	3	n-body	four-core	typerb-go	pass	0			6.1721789880000415	6.181929	3547136
retained	7	5	4	n-body	four-core	c	pass	0			2.9762540120000267	2.973805	688128
retained	7	5	5	n-body	four-core	cpp	pass	0			2.735122224999941	2.732266	688128
retained	7	5	6	n-body	four-core	go	pass	0			3.600145911000027	3.603522	3694592
retained	7	5	7	n-body	four-core	rust	pass	0			3.5117764139999963	3.508013	1212416
retained	8	6	1	n-body	four-core	typerb-native	pass	0			10.4544208289999	10.451821	524288
retained	8	6	2	n-body	four-core	typerb-go	pass	0			6.17590698999993	6.188023	3895296
retained	8	6	3	n-body	four-core	c	pass	0			2.9770011340001474	2.974135	688128
retained	8	6	4	n-body	four-core	cpp	pass	0			2.7304920940000557	2.728048	679936
retained	8	6	5	n-body	four-core	go	pass	0			3.6006830660001015	3.603722	3678208
retained	8	6	6	n-body	four-core	rust	pass	0			3.5062746240000706	3.502853	1212416
retained	8	6	7	n-body	four-core	java	pass	0			5.019943112000192	4.965293	51257344
retained	9	7	1	n-body	four-core	typerb-go	pass	0			6.170857843000022	6.18364	3772416
retained	9	7	2	n-body	four-core	c	pass	0			2.9756054740000764	2.973064	679936
