phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	one-core	typerb-native	pass	0			10.45730813199998	10.454592	524288
warmup	1	0	2	n-body	one-core	typerb-go	pass	0			6.170453617000021	6.163483	3026944
warmup	1	0	3	n-body	one-core	c	pass	0			2.975952516999996	2.973386	684032
warmup	1	0	4	n-body	one-core	cpp	pass	0			2.7310162750000018	2.728386	708608
warmup	1	0	5	n-body	one-core	go	pass	0			3.5992843340000036	3.59345	2662400
warmup	1	0	6	n-body	one-core	rust	pass	0			3.521796925999979	3.5174	954368
warmup	1	0	7	n-body	one-core	java	pass	0			5.033534407000047	4.962198	49041408
warmup	2	0	1	n-body	one-core	typerb-go	pass	0			6.17296282999996	6.166385	3014656
warmup	2	0	2	n-body	one-core	c	pass	0			2.9763450219999186	2.973228	688128
warmup	2	0	3	n-body	one-core	cpp	pass	0			2.7309136609999314	2.727489	708608
warmup	2	0	4	n-body	one-core	go	pass	0			3.600628813999947	3.593594	2867200
warmup	2	0	5	n-body	one-core	rust	pass	0			3.5410345760000155	3.537927	954368
warmup	2	0	6	n-body	one-core	java	pass	0			5.079066373000046	5.012758	49086464
warmup	2	0	7	n-body	one-core	typerb-native	pass	0			10.455439592000062	10.451771	524288
retained	3	1	1	n-body	one-core	c	pass	0			2.9760317180000584	2.973305	696320
retained	3	1	2	n-body	one-core	cpp	pass	0			2.7404681000000437	2.737331	684032
retained	3	1	3	n-body	one-core	go	pass	0			3.5986998739999763	3.592126	2895872
retained	3	1	4	n-body	one-core	rust	pass	0			3.535876013999996	3.531505	958464
retained	3	1	5	n-body	one-core	java	pass	0			5.045086153000057	4.969497	49012736
retained	3	1	6	n-body	one-core	typerb-native	pass	0			10.452443672000072	10.449267	524288
retained	3	1	7	n-body	one-core	typerb-go	pass	0			6.172366286000056	6.163832	3260416
retained	4	2	1	n-body	one-core	cpp	pass	0			2.7339798280000878	2.731426	708608
retained	4	2	2	n-body	one-core	go	pass	0			3.5998966060000157	3.593066	2904064
retained	4	2	3	n-body	one-core	rust	pass	0			3.5107023349999054	3.50771	1208320
retained	4	2	4	n-body	one-core	java	pass	0			5.0407699630000025	4.975101	49004544
retained	4	2	5	n-body	one-core	typerb-native	pass	0			10.45242964299996	10.449466	524288
retained	4	2	6	n-body	one-core	typerb-go	pass	0			6.17604411100001	6.166865	3010560
retained	4	2	7	n-body	one-core	c	pass	0			2.9780171159999327	2.97393	688128
retained	5	3	1	n-body	one-core	go	pass	0			3.5983827170000495	3.592477	2887680
retained	5	3	2	n-body	one-core	rust	pass	0			3.5126881889999595	3.509115	1216512
retained	5	3	3	n-body	one-core	java	pass	0			5.041494019000083	4.974711	48988160
retained	5	3	4	n-body	one-core	typerb-native	pass	0			10.46273637999991	10.459464	524288
retained	5	3	5	n-body	one-core	typerb-go	pass	0			6.174595431999933	6.166696	3268608
retained	5	3	6	n-body	one-core	c	pass	0			2.976312695000047	2.973578	696320
retained	5	3	7	n-body	one-core	cpp	pass	0			2.739329944000019	2.736253	696320
retained	6	4	1	n-body	one-core	rust	pass	0			3.525478620000058	3.522277	954368
retained	6	4	2	n-body	one-core	java	pass	0			5.038432676999946	4.970136	49000448
retained	6	4	3	n-body	one-core	typerb-native	pass	0			10.461326387999975	10.458331	524288
retained	6	4	4	n-body	one-core	typerb-go	pass	0			6.174335342000063	6.166401	3260416
retained	6	4	5	n-body	one-core	c	pass	0			2.976944139000011	2.973898	618496
retained	6	4	6	n-body	one-core	cpp	pass	0			2.7306729120000455	2.727963	684032
retained	6	4	7	n-body	one-core	go	pass	0			3.5994076489999998	3.593041	2899968
retained	7	5	1	n-body	one-core	java	pass	0			5.025831372000084	4.958567	49041408
retained	7	5	2	n-body	one-core	typerb-native	pass	0			10.45411350300003	10.451187	524288
retained	7	5	3	n-body	one-core	typerb-go	pass	0			6.171365521999974	6.163895	3260416
retained	7	5	4	n-body	one-core	c	pass	0			2.9762198739999803	2.973598	688128
retained	7	5	5	n-body	one-core	cpp	pass	0			2.731282146999888	2.728015	688128
retained	7	5	6	n-body	one-core	go	pass	0			3.5990905630000043	3.593359	2891776
retained	7	5	7	n-body	one-core	rust	pass	0			3.5228391389999842	3.519025	1204224
retained	8	6	1	n-body	one-core	typerb-native	pass	0			10.456590601000016	10.452715	524288
retained	8	6	2	n-body	one-core	typerb-go	pass	0			6.174748667000017	6.167643	3260416
retained	8	6	3	n-body	one-core	c	pass	0			2.976163387999918	2.973192	692224
retained	8	6	4	n-body	one-core	cpp	pass	0			2.730282271999954	2.727537	700416
retained	8	6	5	n-body	one-core	go	pass	0			3.5993658549999736	3.592994	2916352
retained	8	6	6	n-body	one-core	rust	pass	0			3.5017385660000855	3.498349	1212416
retained	8	6	7	n-body	one-core	java	pass	0			5.020920658000023	4.954823	49012736
retained	9	7	1	n-body	one-core	typerb-go	pass	0			6.172432254	6.165748	3026944
retained	9	7	2	n-body	one-core	c	pass	0			2.9768378049999455	2.974038	688128
retained	9	7	3	n-body	one-core	cpp	pass	0			2.7277048920000198	2.724813	700416
retained	9	7	4	n-body	one-core	go	pass	0			3.600507208999943	3.593748	2895872
retained	9	7	5	n-body	one-core	rust	pass	0			3.525640542000019	3.522764	1212416
retained	9	7	6	n-body	one-core	java	pass	0			5.068997268999965	5.00293	48971776
retained	9	7	7	n-body	one-core	typerb-native	pass	0			10.456717955000045	10.452862	524288
retained	10	8	1	n-body	one-core	c	pass	0			2.9756174159999773	2.973131	692224
retained	10	8	2	n-body	one-core	cpp	pass	0			2.730373944000007	2.727235	688128
retained	10	8	3	n-body	one-core	go	pass	0			3.5995159530000365	3.593263	2908160
retained	10	8	4	n-body	one-core	rust	pass	0			3.5324642049999966	3.529051	1138688
retained	10	8	5	n-body	one-core	java	pass	0			5.068873604999908	4.99581	49029120
retained	10	8	6	n-body	one-core	typerb-native	pass	0			10.454512786999885	10.451721	524288
retained	10	8	7	n-body	one-core	typerb-go	pass	0			6.1717747360000885	6.164546	3268608
