phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	four-core	typerb-native	pass	0			3.5962670969997816	3.594167	1216512
warmup	1	0	2	spectral-norm	four-core	typerb-go	pass	0			5.636613127000146	5.649075	7839744
warmup	1	0	3	spectral-norm	four-core	c	pass	0			1.7878383879997273	1.785471	700416
warmup	1	0	4	spectral-norm	four-core	cpp	pass	0			1.8393680859999222	1.83684	950272
warmup	1	0	5	spectral-norm	four-core	go	pass	0			3.220229867999933	3.221623	4882432
warmup	1	0	6	spectral-norm	four-core	rust	pass	0			0.46593301000029896	1.800492	2236416
warmup	1	0	7	spectral-norm	four-core	java	pass	0			1.910243053999693	1.879769	52514816
warmup	2	0	1	spectral-norm	four-core	typerb-go	pass	0			5.63526678199969	5.645227	8314880
warmup	2	0	2	spectral-norm	four-core	c	pass	0			1.7876013850000163	1.785423	700416
warmup	2	0	3	spectral-norm	four-core	cpp	pass	0			1.8386682750001455	1.836532	962560
warmup	2	0	4	spectral-norm	four-core	go	pass	0			3.217443636000098	3.21905	4722688
warmup	2	0	5	spectral-norm	four-core	rust	pass	0			0.4606973099998868	1.80056	2232320
warmup	2	0	6	spectral-norm	four-core	java	pass	0			1.9156306459999541	1.882509	52588544
warmup	2	0	7	spectral-norm	four-core	typerb-native	pass	0			3.5984878469998876	3.596395	1228800
retained	3	1	1	spectral-norm	four-core	c	pass	0			1.7878281319999587	1.785354	688128
retained	3	1	2	spectral-norm	four-core	cpp	pass	0			1.8391480569998748	1.836683	954368
retained	3	1	3	spectral-norm	four-core	go	pass	0			3.217996484000196	3.220089	4521984
retained	3	1	4	spectral-norm	four-core	rust	pass	0			0.4600930229998994	1.800853	2244608
retained	3	1	5	spectral-norm	four-core	java	pass	0			1.9099731800001791	1.879571	52297728
retained	3	1	6	spectral-norm	four-core	typerb-native	pass	0			3.5977723980004157	3.595548	1216512
retained	3	1	7	spectral-norm	four-core	typerb-go	pass	0			5.634171130000141	5.643844	7720960
retained	4	2	1	spectral-norm	four-core	cpp	pass	0			1.8391414970001279	1.836751	954368
retained	4	2	2	spectral-norm	four-core	go	pass	0			3.2178681569998844	3.22007	4718592
retained	4	2	3	spectral-norm	four-core	rust	pass	0			0.4648797309996553	1.800644	2232320
retained	4	2	4	spectral-norm	four-core	java	pass	0			1.9111441169998216	1.879079	52367360
retained	4	2	5	spectral-norm	four-core	typerb-native	pass	0			3.5962346189999153	3.593861	1224704
retained	4	2	6	spectral-norm	four-core	typerb-go	pass	0			5.6338681009997345	5.64282	7876608
retained	4	2	7	spectral-norm	four-core	c	pass	0			1.7874068040000566	1.78529	954368
retained	5	3	1	spectral-norm	four-core	go	pass	0			3.217977443000109	3.222407	4534272
retained	5	3	2	spectral-norm	four-core	rust	pass	0			0.4637722100001156	1.800515	2228224
retained	5	3	3	spectral-norm	four-core	java	pass	0			1.9046292250000079	1.875739	52580352
retained	5	3	4	spectral-norm	four-core	typerb-native	pass	0			3.593989707000219	3.591971	1216512
retained	5	3	5	spectral-norm	four-core	typerb-go	pass	0			5.634092368999973	5.641675	8146944
retained	5	3	6	spectral-norm	four-core	c	pass	0			1.787563142000181	1.785306	954368
retained	5	3	7	spectral-norm	four-core	cpp	pass	0			1.8388960639999823	1.836538	958464
retained	6	4	1	spectral-norm	four-core	rust	pass	0			0.4603714889999537	1.800256	2256896
retained	6	4	2	spectral-norm	four-core	java	pass	0			1.9083515749998696	1.87638	52297728
retained	6	4	3	spectral-norm	four-core	typerb-native	pass	0			3.596428138000192	3.594465	1216512
retained	6	4	4	spectral-norm	four-core	typerb-go	pass	0			5.634493956999904	5.643972	7720960
retained	6	4	5	spectral-norm	four-core	c	pass	0			1.7873095630002354	1.785112	700416
retained	6	4	6	spectral-norm	four-core	cpp	pass	0			1.839091443000143	1.836655	958464
retained	6	4	7	spectral-norm	four-core	go	pass	0			3.2173797089999425	3.221155	4464640
retained	7	5	1	spectral-norm	four-core	java	pass	0			1.9080246739999893	1.875626	52326400
retained	7	5	2	spectral-norm	four-core	typerb-native	pass	0			3.5980912489999355	3.596263	1212416
retained	7	5	3	spectral-norm	four-core	typerb-go	pass	0			5.634623608000311	5.643739	8216576
retained	7	5	4	spectral-norm	four-core	c	pass	0			1.7877241350001896	1.785281	946176
retained	7	5	5	spectral-norm	four-core	cpp	pass	0			1.8385832109997864	1.836422	962560
retained	7	5	6	spectral-norm	four-core	go	pass	0			3.2173139410001568	3.21966	4722688
retained	7	5	7	spectral-norm	four-core	rust	pass	0			0.45850148399995305	1.799907	2224128
retained	8	6	1	spectral-norm	four-core	typerb-native	pass	0			3.595952374999797	3.594205	1212416
