phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	one-core	typerb-native	pass	0			3.59661454199977	3.594558	1228800
warmup	1	0	2	spectral-norm	one-core	typerb-go	pass	0			5.635220140000001	5.628788	7204864
warmup	1	0	3	spectral-norm	one-core	c	pass	0			1.7897958359999393	1.786031	819200
warmup	1	0	4	spectral-norm	one-core	cpp	pass	0			1.8390944269999636	1.836479	942080
warmup	1	0	5	spectral-norm	one-core	go	pass	0			3.218463687000167	3.212547	3682304
warmup	1	0	6	spectral-norm	one-core	rust	pass	0			1.7977889929998128	1.794313	1441792
warmup	1	0	7	spectral-norm	one-core	java	pass	0			1.9523415280000336	1.884383	49811456
warmup	2	0	1	spectral-norm	one-core	typerb-go	pass	0			5.634123639000336	5.627965	6934528
warmup	2	0	2	spectral-norm	one-core	c	pass	0			1.7880123110003296	1.785373	696320
warmup	2	0	3	spectral-norm	one-core	cpp	pass	0			1.8390388170000733	1.836455	962560
warmup	2	0	4	spectral-norm	one-core	go	pass	0			3.2190726030003134	3.212462	3768320
warmup	2	0	5	spectral-norm	one-core	rust	pass	0			1.7978822570003103	1.794374	1437696
warmup	2	0	6	spectral-norm	one-core	java	pass	0			1.9425034939999932	1.883539	50081792
warmup	2	0	7	spectral-norm	one-core	typerb-native	pass	0			3.5948119260001477	3.592244	1200128
retained	3	1	1	spectral-norm	one-core	c	pass	0			1.7876594670001396	1.785091	692224
retained	3	1	2	spectral-norm	one-core	cpp	pass	0			1.8389464040001258	1.836614	954368
retained	3	1	3	spectral-norm	one-core	go	pass	0			3.2181291669999155	3.212264	3690496
retained	3	1	4	spectral-norm	one-core	rust	pass	0			1.797119037000357	1.794058	1437696
retained	3	1	5	spectral-norm	one-core	java	pass	0			1.9408259669999097	1.882721	50036736
retained	3	1	6	spectral-norm	one-core	typerb-native	pass	0			3.5994866910000383	3.596836	1425408
retained	3	1	7	spectral-norm	one-core	typerb-go	pass	0			5.635300141999778	5.629465	7196672
retained	4	2	1	spectral-norm	one-core	cpp	pass	0			1.8390865739997935	1.836595	946176
retained	4	2	2	spectral-norm	one-core	go	pass	0			3.2197408639999594	3.213207	3678208
retained	4	2	3	spectral-norm	one-core	rust	pass	0			1.7972806780003339	1.794182	1437696
retained	4	2	4	spectral-norm	one-core	java	pass	0			1.9419291210001575	1.883507	49872896
retained	4	2	5	spectral-norm	one-core	typerb-native	pass	0			3.600263229999655	3.597955	1359872
retained	4	2	6	spectral-norm	one-core	typerb-go	pass	0			5.634167375999823	5.628371	6938624
retained	4	2	7	spectral-norm	one-core	c	pass	0			1.7880107940000016	1.785223	692224
retained	5	3	1	spectral-norm	one-core	go	pass	0			3.2179774400001406	3.212638	3948544
retained	5	3	2	spectral-norm	one-core	rust	pass	0			1.7974404450001202	1.794283	1445888
retained	5	3	3	spectral-norm	one-core	java	pass	0			1.9392896869999277	1.884318	50061312
retained	5	3	4	spectral-norm	one-core	typerb-native	pass	0			3.5979699639997307	3.595504	1216512
retained	5	3	5	spectral-norm	one-core	typerb-go	pass	0			5.634176337000099	5.628339	7204864
retained	5	3	6	spectral-norm	one-core	c	pass	0			1.787706676000198	1.78517	696320
retained	5	3	7	spectral-norm	one-core	cpp	pass	0			1.8392189520000102	1.836466	937984
retained	6	4	1	spectral-norm	one-core	rust	pass	0			1.7981871960000717	1.794624	1609728
retained	6	4	2	spectral-norm	one-core	java	pass	0			1.9350622239999211	1.878292	50053120
retained	6	4	3	spectral-norm	one-core	typerb-native	pass	0			3.5960230220002813	3.593419	1306624
retained	6	4	4	spectral-norm	one-core	typerb-go	pass	0			5.634401580000031	5.627545	7184384
