phase,round,order,role,stage,elapsed_seconds,peak_rss_bytes,status
warmup,1,1,baseline,b2-b3,2.05,41189376,0
warmup,1,2,candidate,b2-b3,1.90,41107456,0
warmup,1,1,baseline,b3-b4,1.87,41271296,0
warmup,1,2,candidate,b3-b4,1.94,41287680,0
warmup,2,1,candidate,b2-b3,1.86,41238528,0
warmup,2,2,baseline,b2-b3,1.95,41484288,0
warmup,2,1,candidate,b3-b4,1.84,41254912,0
warmup,2,2,baseline,b3-b4,1.84,41369600,0
retained,1,1,baseline,b2-b3,1.81,41254912,0
retained,1,2,candidate,b2-b3,1.95,41320448,0
retained,1,1,baseline,b3-b4,1.85,41369600,0
retained,1,2,candidate,b3-b4,1.99,41254912,0
retained,2,1,candidate,b2-b3,1.83,40976384,0
retained,2,2,baseline,b2-b3,1.82,41156608,0
retained,2,1,candidate,b3-b4,1.81,41369600,0
retained,2,2,baseline,b3-b4,1.86,41222144,0
retained,3,1,baseline,b2-b3,1.94,40976384,0
retained,3,2,candidate,b2-b3,1.86,41041920,0
retained,3,1,baseline,b3-b4,1.80,41271296,0
retained,3,2,candidate,b3-b4,1.86,41025536,0
retained,4,1,candidate,b2-b3,1.80,41172992,0
retained,4,2,baseline,b2-b3,1.84,41074688,0
retained,4,1,candidate,b3-b4,1.91,41304064,0
retained,4,2,baseline,b3-b4,1.92,41402368,0
retained,5,1,baseline,b2-b3,1.87,41254912,0
retained,5,2,candidate,b2-b3,1.83,41222144,0
retained,5,1,baseline,b3-b4,1.89,41304064,0
retained,5,2,candidate,b3-b4,1.85,41009152,0
retained,6,1,candidate,b2-b3,2.06,41418752,0
retained,6,2,baseline,b2-b3,1.86,41353216,0
retained,6,1,candidate,b3-b4,1.87,41222144,0
retained,6,2,baseline,b3-b4,2.03,41500672,0
retained,7,1,baseline,b2-b3,1.88,41320448,0
retained,7,2,candidate,b2-b3,1.96,41009152,0
retained,7,1,baseline,b3-b4,1.84,41402368,0
retained,7,2,candidate,b3-b4,1.92,41107456,0
