phase,round,order,role,stage,elapsed_seconds,peak_rss_bytes,status
warmup,1,1,baseline,b2-b3,1.13,64491520,0
warmup,1,2,candidate,b2-b3,1.15,64573440,0
warmup,1,1,baseline,b3-b4,1.15,64462848,0
warmup,1,2,candidate,b3-b4,1.14,64704512,0
warmup,2,1,candidate,b2-b3,1.17,64544768,0
warmup,2,2,baseline,b2-b3,1.14,64704512,0
warmup,2,1,candidate,b3-b4,1.14,64577536,0
warmup,2,2,baseline,b3-b4,1.15,64540672,0
retained,1,1,baseline,b2-b3,1.13,64491520,0
retained,1,2,candidate,b2-b3,1.15,64471040,0
retained,1,1,baseline,b3-b4,1.15,64487424,0
retained,1,2,candidate,b3-b4,1.15,64491520,0
retained,2,1,candidate,b2-b3,1.17,64573440,0
retained,2,2,baseline,b2-b3,1.16,64516096,0
retained,2,1,candidate,b3-b4,1.17,64573440,0
retained,2,2,baseline,b3-b4,1.13,64491520,0
retained,3,1,baseline,b2-b3,1.16,64622592,0
retained,3,2,candidate,b2-b3,1.14,64540672,0
retained,3,1,baseline,b3-b4,1.16,64491520,0
retained,3,2,candidate,b3-b4,1.15,64540672,0
retained,4,1,candidate,b2-b3,1.15,64471040,0
retained,4,2,baseline,b2-b3,1.14,64692224,0
retained,4,1,candidate,b3-b4,1.15,64491520,0
retained,4,2,baseline,b3-b4,1.15,64622592,0
retained,5,1,baseline,b2-b3,1.13,64503808,0
retained,5,2,candidate,b2-b3,1.15,64503808,0
retained,5,1,baseline,b3-b4,1.13,64491520,0
retained,5,2,candidate,b3-b4,1.14,64708608,0
retained,6,1,candidate,b2-b3,1.15,64483328,0
retained,6,2,baseline,b2-b3,1.13,64491520,0
retained,6,1,candidate,b3-b4,1.16,64348160,0
retained,6,2,baseline,b3-b4,1.13,64475136,0
retained,7,1,baseline,b2-b3,1.15,64495616,0
retained,7,2,candidate,b2-b3,1.15,64466944,0
retained,7,1,baseline,b3-b4,1.13,64602112,0
retained,7,2,candidate,b3-b4,1.15,64733184,0
