phase,round,order,role,stage,elapsed_seconds,peak_rss_bytes,status
warmup,1,1,baseline,b2-b3,3.43,41369600,0
warmup,1,2,candidate,b2-b3,3.04,41533440,0
warmup,1,1,baseline,b3-b4,2.76,41238528,0
warmup,1,2,candidate,b3-b4,3.44,41336832,0
warmup,2,1,candidate,b2-b3,2.55,41172992,0
warmup,2,2,baseline,b2-b3,2.09,41058304,0
warmup,2,1,candidate,b3-b4,2.15,41172992,0
warmup,2,2,baseline,b3-b4,1.79,41287680,0
retained,1,1,baseline,b2-b3,1.91,41091072,0
retained,1,2,candidate,b2-b3,1.82,41287680,0
retained,1,1,baseline,b3-b4,1.81,41385984,0
retained,1,2,candidate,b3-b4,1.80,40943616,0
retained,2,1,candidate,b2-b3,1.81,41287680,0
retained,2,2,baseline,b2-b3,1.85,41680896,0
retained,2,1,candidate,b3-b4,1.99,41041920,0
retained,2,2,baseline,b3-b4,2.20,41041920,0
retained,3,1,baseline,b2-b3,2.22,41418752,0
retained,3,2,candidate,b2-b3,2.56,41172992,0
retained,3,1,baseline,b3-b4,2.60,41336832,0
retained,3,2,candidate,b3-b4,2.74,41074688,0
retained,4,1,candidate,b2-b3,2.67,41189376,0
retained,4,2,baseline,b2-b3,2.54,40927232,0
retained,4,1,candidate,b3-b4,2.70,41287680,0
retained,4,2,baseline,b3-b4,2.74,40992768,0
retained,5,1,baseline,b2-b3,2.55,41418752,0
retained,5,2,candidate,b2-b3,2.60,41287680,0
retained,5,1,baseline,b3-b4,2.80,41402368,0
retained,5,2,candidate,b3-b4,2.51,41140224,0
retained,6,1,candidate,b2-b3,2.30,40960000,0
retained,6,2,baseline,b2-b3,2.44,41074688,0
retained,6,1,candidate,b3-b4,2.25,40992768,0
retained,6,2,baseline,b3-b4,2.32,41353216,0
retained,7,1,baseline,b2-b3,2.25,41304064,0
retained,7,2,candidate,b2-b3,2.15,41369600,0
retained,7,1,baseline,b3-b4,1.97,41304064,0
retained,7,2,candidate,b3-b4,2.06,41304064,0
