phase,round,order,role,stage,elapsed_seconds,peak_rss_bytes,status
warmup,1,1,baseline,b2-b3,1.12,64491520,0
warmup,1,2,candidate,b2-b3,1.15,64442368,0
warmup,1,1,baseline,b3-b4,1.12,64589824,0
warmup,1,2,candidate,b3-b4,1.15,64536576,0
warmup,2,1,candidate,b2-b3,1.16,64360448,0
warmup,2,2,baseline,b2-b3,1.19,64491520,0
warmup,2,1,candidate,b3-b4,1.22,64581632,0
warmup,2,2,baseline,b3-b4,1.15,64393216,0
retained,1,1,baseline,b2-b3,1.20,64688128,0
retained,1,2,candidate,b2-b3,1.26,64475136,0
retained,1,1,baseline,b3-b4,1.25,64471040,0
retained,1,2,candidate,b3-b4,1.31,64503808,0
retained,2,1,candidate,b2-b3,1.26,64475136,0
retained,2,2,baseline,b2-b3,1.17,64491520,0
retained,2,1,candidate,b3-b4,1.17,64716800,0
retained,2,2,baseline,b3-b4,1.15,64466944,0
retained,3,1,baseline,b2-b3,1.13,64360448,0
retained,3,2,candidate,b2-b3,1.14,64569344,0
retained,3,1,baseline,b3-b4,1.12,64704512,0
retained,3,2,candidate,b3-b4,1.15,64626688,0
retained,4,1,candidate,b2-b3,1.18,64495616,0
retained,4,2,baseline,b2-b3,1.15,64524288,0
retained,4,1,candidate,b3-b4,1.20,64491520,0
retained,4,2,baseline,b3-b4,1.16,64487424,0
retained,5,1,baseline,b2-b3,1.13,64487424,0
retained,5,2,candidate,b2-b3,1.17,64573440,0
retained,5,1,baseline,b3-b4,1.21,64606208,0
retained,5,2,candidate,b3-b4,1.34,64409600,0
retained,6,1,candidate,b2-b3,1.28,64626688,0
retained,6,2,baseline,b2-b3,1.27,64610304,0
retained,6,1,candidate,b3-b4,1.31,64622592,0
retained,6,2,baseline,b3-b4,1.15,64233472,0
retained,7,1,baseline,b2-b3,1.14,64483328,0
retained,7,2,candidate,b2-b3,1.15,64483328,0
retained,7,1,baseline,b3-b4,1.13,64491520,0
retained,7,2,candidate,b3-b4,1.15,64622592,0
