phase,round,order,role,wallSeconds,cpuSeconds,peakRssBytes,exitStatus,outputStatus,stdout,stderr
warmup,1,1,baseline,84.837412922,84.831806,10772480,0,pass,warmup-01-order-1-baseline.stdout,warmup-01-order-1-baseline.stderr
warmup,1,2,candidate,84.824517483,84.820022,10784768,0,pass,warmup-01-order-2-candidate.stdout,warmup-01-order-2-candidate.stderr
warmup,2,1,baseline,84.81924154,84.81473700000001,10784768,0,pass,warmup-02-order-1-baseline.stdout,warmup-02-order-1-baseline.stderr
warmup,2,2,candidate,84.820827856,84.816606,10784768,0,pass,warmup-02-order-2-candidate.stdout,warmup-02-order-2-candidate.stderr
retained,1,1,baseline,84.822738122,84.818339,10788864,0,pass,retained-01-order-1-baseline.stdout,retained-01-order-1-baseline.stderr
retained,1,2,candidate,84.829133883,84.823342,10788864,0,pass,retained-01-order-2-candidate.stdout,retained-01-order-2-candidate.stderr
retained,2,1,candidate,84.830191595,84.823769,10788864,0,pass,retained-02-order-1-candidate.stdout,retained-02-order-1-candidate.stderr
retained,2,2,baseline,84.847699763,84.843204,10788864,0,pass,retained-02-order-2-baseline.stdout,retained-02-order-2-baseline.stderr
retained,3,1,baseline,84.819510405,84.81441799999999,10788864,0,pass,retained-03-order-1-baseline.stdout,retained-03-order-1-baseline.stderr
retained,3,2,candidate,84.815268672,84.81020000000001,10788864,0,pass,retained-03-order-2-candidate.stdout,retained-03-order-2-candidate.stderr
retained,4,1,candidate,84.827091202,84.822375,10788864,0,pass,retained-04-order-1-candidate.stdout,retained-04-order-1-candidate.stderr
retained,4,2,baseline,84.817842698,84.81183899999999,10792960,0,pass,retained-04-order-2-baseline.stdout,retained-04-order-2-baseline.stderr
retained,5,1,baseline,84.819619018,84.81370399999999,10792960,0,pass,retained-05-order-1-baseline.stdout,retained-05-order-1-baseline.stderr
retained,5,2,candidate,84.823095217,84.817195,10792960,0,pass,retained-05-order-2-candidate.stdout,retained-05-order-2-candidate.stderr
retained,6,1,candidate,84.822053359,84.816008,10797056,0,pass,retained-06-order-1-candidate.stdout,retained-06-order-1-candidate.stderr
retained,6,2,baseline,84.821020534,84.815411,10797056,0,pass,retained-06-order-2-baseline.stdout,retained-06-order-2-baseline.stderr
retained,7,1,baseline,84.834406168,84.82873500000001,10797056,0,pass,retained-07-order-1-baseline.stdout,retained-07-order-1-baseline.stderr
retained,7,2,candidate,84.833157139,84.82749,10797056,0,pass,retained-07-order-2-candidate.stdout,retained-07-order-2-candidate.stderr
