phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	fannkuch-redux	typerb-native	pass	0			0.21121381800003292	0.055864	78110720	18760	a90349a720bff4984178d69cdfd839d495e3712dde8e6fc7d1629c95ff25890e	0	true	true
warmup	1	0	2	fannkuch-redux	typerb-go	pass	0			3.892944709999938	10.188354	411480064	2808692	0146645cb84b55e762d8286fd8a25864c0400ac6d4cad128b5008997a7bdad48	0	true	true
warmup	2	0	1	fannkuch-redux	typerb-go	pass	0			0.4647101149998889	0.339663	159870976	2808692	e795f058a7a495556c7ef660b11e7597daf0c2450fc33aa312cf89070e15b247	0	true	true
warmup	2	0	2	fannkuch-redux	typerb-native	pass	0			0.20821223900020414	0.055044	77651968	18760	a90349a720bff4984178d69cdfd839d495e3712dde8e6fc7d1629c95ff25890e	0	true	true
retained	3	1	1	fannkuch-redux	typerb-native	pass	0			0.21542808699996385	0.056004	77914112	18760	a90349a720bff4984178d69cdfd839d495e3712dde8e6fc7d1629c95ff25890e	0	true	true
retained	3	1	2	fannkuch-redux	typerb-go	pass	0			0.47895750099996803	0.351714	160239616	2808692	a2e7e596d1871195a4879225f2032062a79b89d25b16963096bdc7b3ae9e9503	0	true	true
retained	4	2	1	fannkuch-redux	typerb-go	pass	0			0.4822382509998988	0.350169	159883264	2808692	6fece238e27ffef0c5e0361df24a9782c738e6f86f571944b1b540c0f2866428	0	true	true
retained	4	2	2	fannkuch-redux	typerb-native	pass	0			0.20330384699991555	0.054925	77844480	18760	a90349a720bff4984178d69cdfd839d495e3712dde8e6fc7d1629c95ff25890e	0	true	true
retained	5	3	1	fannkuch-redux	typerb-native	pass	0			0.21721513300008155	0.05531	77910016	18760	a90349a720bff4984178d69cdfd839d495e3712dde8e6fc7d1629c95ff25890e	0	true	true
retained	5	3	2	fannkuch-redux	typerb-go	pass	0			0.4953280849999828	0.349398	160358400	2808836	75a83b6792bdc86797220aea02390186fbf3d1c42bc1642c1b8e80493591d96d	0	true	true
retained	6	4	1	fannkuch-redux	typerb-go	pass	0			0.5006775340000331	0.352642	158961664	2808692	7c3cbf94e2710dc704235d61deb01e0f884705ecd13254f34397631a99fa797c	0	true	true
retained	6	4	2	fannkuch-redux	typerb-native	pass	0			0.21107982499984246	0.056187	77910016	18760	a90349a720bff4984178d69cdfd839d495e3712dde8e6fc7d1629c95ff25890e	0	true	true
retained	7	5	1	fannkuch-redux	typerb-native	pass	0			0.20793174499999623	0.055436	77631488	18760	a90349a720bff4984178d69cdfd839d495e3712dde8e6fc7d1629c95ff25890e	0	true	true
retained	7	5	2	fannkuch-redux	typerb-go	pass	0			0.478022319000047	0.356776	158765056	2808692	6eae6a2880871e3926e14fceecb8839cf03402334f1e843efd2aa603d0279d48	0	true	true
retained	8	6	1	fannkuch-redux	typerb-go	pass	0			0.4809473519999301	0.350541	159547392	2808692	e8ae0682d25017990e2c91120ba45ef154dc6f7cbde1d2dc4049a543c7245a46	0	true	true
retained	8	6	2	fannkuch-redux	typerb-native	pass	0			0.21261914000001525	0.056087	77828096	18760	a90349a720bff4984178d69cdfd839d495e3712dde8e6fc7d1629c95ff25890e	0	true	true
retained	9	7	1	fannkuch-redux	typerb-native	pass	0			0.21074692699994557	0.056337	77852672	18760	a90349a720bff4984178d69cdfd839d495e3712dde8e6fc7d1629c95ff25890e	0	true	true
retained	9	7	2	fannkuch-redux	typerb-go	pass	0			0.48905135399991195	0.34873	160686080	2808692	5961f3440ca2cf45468bf2f9e34401454f36e79dd815d93c2e375d085f79367e	0	true	true
retained	10	8	1	fannkuch-redux	typerb-go	pass	0			0.4794952279999052	0.345627	160174080	2808692	9e295bf6fd93cd6c450395c8cdd8120002d4d17069713abd44251ccd5fc1f18e	0	true	true
retained	10	8	2	fannkuch-redux	typerb-native	pass	0			0.20667052799990415	0.054798	78110720	18760	a90349a720bff4984178d69cdfd839d495e3712dde8e6fc7d1629c95ff25890e	0	true	true
retained	11	9	1	fannkuch-redux	typerb-native	pass	0			0.2138755430000856	0.056554	78098432	18760	a90349a720bff4984178d69cdfd839d495e3712dde8e6fc7d1629c95ff25890e	0	true	true
retained	11	9	2	fannkuch-redux	typerb-go	pass	0			0.5014328540000861	0.364839	160325632	2808692	5bc767e7050d63a4a02da87ce5b7c6c7affcc3012f29105c01ae7fafd2135ef1	0	true	true
retained	12	10	1	fannkuch-redux	typerb-go	pass	0			0.49007627600008163	0.356258	160317440	2808692	adbb498c6dfc5440d4b2ab0a5a142fd89a7eca74cbfdc0e926de37463ba81a7b	0	true	true
retained	12	10	2	fannkuch-redux	typerb-native	pass	0			0.2126659750001636	0.056539	77840384	18760	a90349a720bff4984178d69cdfd839d495e3712dde8e6fc7d1629c95ff25890e	0	true	true
retained	13	11	1	fannkuch-redux	typerb-native	pass	0			0.21222620100002132	0.056732	77656064	18760	a90349a720bff4984178d69cdfd839d495e3712dde8e6fc7d1629c95ff25890e	0	true	true
retained	13	11	2	fannkuch-redux	typerb-go	pass	0			0.48281937100000505	0.350922	160665600	2808836	f4d7d6684c41f12c9d6991581e53a96a7b2d1e97d3ee9de5d7f790cfea56c635	0	true	true
