phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	n-body	typerb-native	pass	0			0.24210000299999024	0.066951	78036992	22032	e6eecbaca817c11a22586fdc300baffa516c9f4438c3366b08d39a9e99f954a7	0	true	true
warmup	1	0	2	n-body	typerb-go	pass	0			3.9741009980000115	10.455643	383811584	2815354	3261f2f6d53c8ca7ab0a8d47e2017e5fb984e131ea93f215a9665848b8f316f5	0	true	true
warmup	2	0	1	n-body	typerb-go	pass	0			0.5211511729999927	0.396974	160751616	2815354	06e2fcc38e095af793a0703994bd4ebbad632ecea8731d4843eeba8e948a68e5	0	true	true
warmup	2	0	2	n-body	typerb-native	pass	0			0.2381416819999913	0.067123	78028800	22032	e6eecbaca817c11a22586fdc300baffa516c9f4438c3366b08d39a9e99f954a7	0	true	true
retained	3	1	1	n-body	typerb-native	pass	0			0.23116354700002262	0.066284	78036992	22032	e6eecbaca817c11a22586fdc300baffa516c9f4438c3366b08d39a9e99f954a7	0	true	true
retained	3	1	2	n-body	typerb-go	pass	0			0.5372335809999811	0.402026	163221504	2815354	0c38dd2839bd016629fe0729429e4dd6b7759625c6992394bc30d075276c345e	0	true	true
retained	4	2	1	n-body	typerb-go	pass	0			0.5273911069999997	0.401536	163635200	2815354	6febdb475f0e49c229a4236b571e22d434f8b207568499d9da8000ffa52cbab2	0	true	true
retained	4	2	2	n-body	typerb-native	pass	0			0.2430643939999868	0.067188	78012416	22032	e6eecbaca817c11a22586fdc300baffa516c9f4438c3366b08d39a9e99f954a7	0	true	true
retained	5	3	1	n-body	typerb-native	pass	0			0.24910499699998923	0.067468	78143488	22032	e6eecbaca817c11a22586fdc300baffa516c9f4438c3366b08d39a9e99f954a7	0	true	true
retained	5	3	2	n-body	typerb-go	pass	0			0.5605778599999951	0.403125	161775616	2815362	5828174bbaa8fe960bc2e5c44aa7ac9511022dad9fa8b48d15f2ea00a17aeae1	0	true	true
retained	6	4	1	n-body	typerb-go	pass	0			0.5524626259999934	0.3981	163672064	2815354	0406095d9b22377f3a867273d141c107e7d82954e42cb8bb0fe9c37628bd145d	0	true	true
retained	6	4	2	n-body	typerb-native	pass	0			0.252616248999999	0.067157	78024704	22032	e6eecbaca817c11a22586fdc300baffa516c9f4438c3366b08d39a9e99f954a7	0	true	true
retained	7	5	1	n-body	typerb-native	pass	0			0.2358722259999979	0.066735	78032896	22032	e6eecbaca817c11a22586fdc300baffa516c9f4438c3366b08d39a9e99f954a7	0	true	true
retained	7	5	2	n-body	typerb-go	pass	0			0.5883027689999949	0.404086	162729984	2815354	1067a6936b2ada80132837abd57d7eab9b9c924dc9070aa089704bd56bd43292	0	true	true
retained	8	6	1	n-body	typerb-go	pass	0			0.5229917000000057	0.400589	162398208	2815362	19c763919da27e451eff8147b48f656780d94ed416f0c944e37b17b54c6c1231	0	true	true
retained	8	6	2	n-body	typerb-native	pass	0			0.23796612099999948	0.06632	78028800	22032	e6eecbaca817c11a22586fdc300baffa516c9f4438c3366b08d39a9e99f954a7	0	true	true
retained	9	7	1	n-body	typerb-native	pass	0			0.23692794999999478	0.06728	78032896	22032	e6eecbaca817c11a22586fdc300baffa516c9f4438c3366b08d39a9e99f954a7	0	true	true
retained	9	7	2	n-body	typerb-go	pass	0			0.5648511269999972	0.402147	162816000	2815314	f938770797038c89f5d22c6a27719eaa81816c2e75f688a50070910f1c37f921	0	true	true
retained	10	8	1	n-body	typerb-go	pass	0			0.5548229839999976	0.401183	163463168	2815362	d6ef15c9b0655b593ff11e34a8ed9d3958bcc87ec80271225756b9986facfef1	0	true	true
retained	10	8	2	n-body	typerb-native	pass	0			0.235741073000014	0.067574	78028800	22032	e6eecbaca817c11a22586fdc300baffa516c9f4438c3366b08d39a9e99f954a7	0	true	true
retained	11	9	1	n-body	typerb-native	pass	0			0.24165612000001602	0.066969	77815808	22032	e6eecbaca817c11a22586fdc300baffa516c9f4438c3366b08d39a9e99f954a7	0	true	true
retained	11	9	2	n-body	typerb-go	pass	0			0.6345068979999837	0.41462	162570240	2815314	1ebd18871eeea06b38f6e8e93df1176047e42f35fae3a0558a482521d29006fb	0	true	true
retained	12	10	1	n-body	typerb-go	pass	0			0.5784538670000074	0.407669	162697216	2815362	d3e6fc8d2d328ef856b080a0e2008d6888416c2e144a61670ba969e92757a855	0	true	true
retained	12	10	2	n-body	typerb-native	pass	0			0.2440719130000275	0.067421	77766656	22032	e6eecbaca817c11a22586fdc300baffa516c9f4438c3366b08d39a9e99f954a7	0	true	true
retained	13	11	1	n-body	typerb-native	pass	0			0.23848267000002465	0.066908	78020608	22032	e6eecbaca817c11a22586fdc300baffa516c9f4438c3366b08d39a9e99f954a7	0	true	true
retained	13	11	2	n-body	typerb-go	pass	0			0.5209209829999963	0.396493	163209216	2815354	45f5f51146c4e7952781e6f59a92d16a046d20fc313c9c92df174299d934de37	0	true	true
