phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	spectral-norm	typerb-native	pass	0			0.15382457699999463	0.05384	77807616	19424	5b086f45e811417c977cc4b8e163e78c09bf9900e4352a137b8362babf29aa86	0	true	true
warmup	1	0	2	spectral-norm	typerb-go	pass	0			3.7375358910000216	9.806832	392163328	2809850	ebf0a543ec9e113b4026993780e33ec73acee35293a883a5d95f277e23918d50	0	true	true
warmup	2	0	1	spectral-norm	typerb-go	pass	0			0.4758620110000038	0.338505	158773248	2809882	824d0c0d50a2ae20a48b8e18915cf26357eeb2299cd664e67db230348e0c87cd	0	true	true
warmup	2	0	2	spectral-norm	typerb-native	pass	0			0.15474215399999025	0.054229	77991936	19424	5b086f45e811417c977cc4b8e163e78c09bf9900e4352a137b8362babf29aa86	0	true	true
retained	3	1	1	spectral-norm	typerb-native	pass	0			0.15471674699998061	0.054029	77996032	19424	5b086f45e811417c977cc4b8e163e78c09bf9900e4352a137b8362babf29aa86	0	true	true
retained	3	1	2	spectral-norm	typerb-go	pass	0			0.4199160210000059	0.34465	160157696	2809882	21af20a8e99c39a8b40b5a72f8d8836b3e3120660a047c551e2f4afc5091b3e6	0	true	true
retained	4	2	1	spectral-norm	typerb-go	pass	0			0.4026683889999845	0.339239	161820672	2809882	ba154b64525d388edaa41fa0abfbebf0ae2c8e7d70c44023f15a10184cdd4ed4	0	true	true
retained	4	2	2	spectral-norm	typerb-native	pass	0			0.15532960100000537	0.053889	77914112	19424	5b086f45e811417c977cc4b8e163e78c09bf9900e4352a137b8362babf29aa86	0	true	true
retained	5	3	1	spectral-norm	typerb-native	pass	0			0.1575302610000051	0.054197	77742080	19424	5b086f45e811417c977cc4b8e163e78c09bf9900e4352a137b8362babf29aa86	0	true	true
retained	5	3	2	spectral-norm	typerb-go	pass	0			0.4985940830000004	0.345224	161144832	2809882	9ac643b0d05c138f1e5d5cb04c566722d617aaeacaf57cde9635d17b171206ab	0	true	true
retained	6	4	1	spectral-norm	typerb-go	pass	0			0.3957489830000043	0.336602	159055872	2809882	a42c36b5dc1e21bf8db62a543614d78b7811853461ad50b05fa68856e33d1beb	0	true	true
retained	6	4	2	spectral-norm	typerb-native	pass	0			0.1603302830000075	0.054822	77725696	19424	5b086f45e811417c977cc4b8e163e78c09bf9900e4352a137b8362babf29aa86	0	true	true
retained	7	5	1	spectral-norm	typerb-native	pass	0			0.15172333900000012	0.053119	77799424	19424	5b086f45e811417c977cc4b8e163e78c09bf9900e4352a137b8362babf29aa86	0	true	true
retained	7	5	2	spectral-norm	typerb-go	pass	0			0.3936066079999989	0.339827	160514048	2809882	cd29bb8c28a745dae3f208a560dc28766e766d50235edfddd60b635ac5143ffc	0	true	true
retained	8	6	1	spectral-norm	typerb-go	pass	0			0.39452647199999547	0.341872	159096832	2809882	ac69181696fde8ab0b1daad789881abfe22c989f22c35eadf2914de0aac98329	0	true	true
retained	8	6	2	spectral-norm	typerb-native	pass	0			0.15908111099997768	0.054235	77803520	19424	5b086f45e811417c977cc4b8e163e78c09bf9900e4352a137b8362babf29aa86	0	true	true
retained	9	7	1	spectral-norm	typerb-native	pass	0			0.1555113710000171	0.053531	77971456	19424	5b086f45e811417c977cc4b8e163e78c09bf9900e4352a137b8362babf29aa86	0	true	true
retained	9	7	2	spectral-norm	typerb-go	pass	0			0.4022281689999829	0.341067	160296960	2809874	ac007a354d28be515d1e5960a4b7dc81275cb36765e7684ef50464602630adc3	0	true	true
retained	10	8	1	spectral-norm	typerb-go	pass	0			0.3893023180000057	0.33776	160522240	2809834	9b761b5ff91e4ca4b4f08bc877fffc6ac975b0e5d1aeb572adafe54be84f643b	0	true	true
retained	10	8	2	spectral-norm	typerb-native	pass	0			0.15392565199999808	0.054482	78004224	19424	5b086f45e811417c977cc4b8e163e78c09bf9900e4352a137b8362babf29aa86	0	true	true
retained	11	9	1	spectral-norm	typerb-native	pass	0			0.15420905000001994	0.053475	77991936	19424	5b086f45e811417c977cc4b8e163e78c09bf9900e4352a137b8362babf29aa86	0	true	true
retained	11	9	2	spectral-norm	typerb-go	pass	0			0.411032213999988	0.347879	161411072	2809882	890a7c9b77442ca87a9cf49b5f59350c0173fc2b24c48f614d5cbb96eaf84ca2	0	true	true
retained	12	10	1	spectral-norm	typerb-go	pass	0			0.4012963050000167	0.338469	160362496	2809882	837276d266d19dd995f46c66536605d3836ddabff1bc6af5ba9559095098ae34	0	true	true
retained	12	10	2	spectral-norm	typerb-native	pass	0			0.15896384699999544	0.05489	77742080	19424	5b086f45e811417c977cc4b8e163e78c09bf9900e4352a137b8362babf29aa86	0	true	true
retained	13	11	1	spectral-norm	typerb-native	pass	0			0.15915446700000757	0.054811	77799424	19424	5b086f45e811417c977cc4b8e163e78c09bf9900e4352a137b8362babf29aa86	0	true	true
retained	13	11	2	spectral-norm	typerb-go	pass	0			0.41400596900001574	0.354833	161619968	2809850	1e8e5a7a7bdafb5791690067d55d9920aba136fc13d1abf98bb7ca6423e41a3a	0	true	true
