phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	four-core	typerb-native	pass	0			77.07659907400011	77.070407	524288
warmup	1	0	2	fannkuch-redux	four-core	typerb-go	pass	0			46.02486942300038	46.12217	4071424
warmup	1	0	3	fannkuch-redux	four-core	c	pass	0			27.47768714599988	27.473985	524288
warmup	1	0	4	fannkuch-redux	four-core	cpp	pass	0			25.00979453399941	25.006103	667648
warmup	1	0	5	fannkuch-redux	four-core	go	pass	0			24.669031752999217	24.716851	3424256
warmup	1	0	6	fannkuch-redux	four-core	rust	pass	0			6.307114070999887	24.810925	1982464
warmup	1	0	7	fannkuch-redux	four-core	java	pass	0			24.004187999999886	23.981513	51666944
warmup	2	0	1	fannkuch-redux	four-core	typerb-go	pass	0			46.162232829999994	46.257214	3792896
warmup	2	0	2	fannkuch-redux	four-core	c	pass	0			27.47720877699976	27.473736	524288
warmup	2	0	3	fannkuch-redux	four-core	cpp	pass	0			24.94912109699999	24.945171	696320
warmup	2	0	4	fannkuch-redux	four-core	go	pass	0			24.66159687599975	24.712218	3829760
warmup	2	0	5	fannkuch-redux	four-core	rust	pass	0			6.318305343999782	24.827081	1966080
warmup	2	0	6	fannkuch-redux	four-core	java	pass	0			24.00351925799987	23.982927	52019200
warmup	2	0	7	fannkuch-redux	four-core	typerb-native	pass	0			77.09536232000028	77.087706	524288
retained	3	1	1	fannkuch-redux	four-core	c	pass	0			27.406663523000134	27.402271	524288
retained	3	1	2	fannkuch-redux	four-core	cpp	pass	0			24.98364113900061	24.979783	667648
retained	3	1	3	fannkuch-redux	four-core	go	pass	0			24.61884241700045	24.671053	3526656
retained	3	1	4	fannkuch-redux	four-core	rust	pass	0			6.328601419999359	24.82681	1998848
retained	3	1	5	fannkuch-redux	four-core	java	pass	0			24.003175396999723	23.981285	51757056
retained	3	1	6	fannkuch-redux	four-core	typerb-native	pass	0			77.1063596490003	77.09899	524288
retained	3	1	7	fannkuch-redux	four-core	typerb-go	pass	0			46.11781767899993	46.228431	3805184
retained	4	2	1	fannkuch-redux	four-core	cpp	pass	0			24.987639308000325	24.983673	679936
retained	4	2	2	fannkuch-redux	four-core	go	pass	0			24.677978880999945	24.747047	3608576
retained	4	2	3	fannkuch-redux	four-core	rust	pass	0			6.303623778000656	24.816579	1994752
retained	4	2	4	fannkuch-redux	four-core	java	pass	0			24.01060222400065	23.982868	51884032
