phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	one-core	typerb-native	pass	0			77.08885215300006	77.081376	524288
warmup	1	0	2	fannkuch-redux	one-core	typerb-go	pass	0			46.043194202999985	46.032743	3260416
warmup	1	0	3	fannkuch-redux	one-core	c	pass	0			27.489899744000013	27.48593	524288
warmup	1	0	4	fannkuch-redux	one-core	cpp	pass	0			24.963869881999926	24.958504	688128
warmup	1	0	5	fannkuch-redux	one-core	go	pass	0			24.60256186300012	24.595554	2637824
warmup	1	0	6	fannkuch-redux	one-core	rust	pass	0			24.876784599000075	24.871648	1179648
warmup	1	0	7	fannkuch-redux	one-core	java	pass	0			24.500404810999953	24.430141	49332224
warmup	2	0	1	fannkuch-redux	one-core	typerb-go	pass	0			45.68986239300011	45.679051	3264512
warmup	2	0	2	fannkuch-redux	one-core	c	pass	0			27.90051812599995	27.896628	655360
warmup	2	0	3	fannkuch-redux	one-core	cpp	pass	0			24.981374605999918	24.976392	696320
warmup	2	0	4	fannkuch-redux	one-core	go	pass	0			24.600200508999933	24.592688	2629632
warmup	2	0	5	fannkuch-redux	one-core	rust	pass	0			24.833592597999996	24.828458	1187840
warmup	2	0	6	fannkuch-redux	one-core	java	pass	0			24.522277758999735	24.463081	49610752
warmup	2	0	7	fannkuch-redux	one-core	typerb-native	pass	0			77.076699835	77.068719	524288
retained	3	1	1	fannkuch-redux	one-core	c	pass	0			27.48633903100017	27.48134	524288
retained	3	1	2	fannkuch-redux	one-core	cpp	pass	0			24.958724658999927	24.954941	700416
retained	3	1	3	fannkuch-redux	one-core	go	pass	0			24.59399878999966	24.585832	2772992
retained	3	1	4	fannkuch-redux	one-core	rust	pass	0			24.875781710999945	24.871926	1208320
retained	3	1	5	fannkuch-redux	one-core	java	pass	0			24.740595524000128	24.682753	49606656
retained	3	1	6	fannkuch-redux	one-core	typerb-native	pass	0			77.11052605600025	77.101258	524288
retained	3	1	7	fannkuch-redux	one-core	typerb-go	pass	0			45.50173012799996	45.492363	3018752
retained	4	2	1	fannkuch-redux	one-core	cpp	pass	0			24.95346954600018	24.94828	688128
retained	4	2	2	fannkuch-redux	one-core	go	pass	0			24.624809653000284	24.617077	2646016
retained	4	2	3	fannkuch-redux	one-core	rust	pass	0			24.86856273000012	24.863446	1236992
retained	4	2	4	fannkuch-redux	one-core	java	pass	0			24.78628816299988	24.722649	49614848
retained	4	2	5	fannkuch-redux	one-core	typerb-native	pass	0			77.14794795999978	77.139642	524288
retained	4	2	6	fannkuch-redux	one-core	typerb-go	pass	0			45.76274933500008	45.750346	3026944
