phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	four-core	typerb-native	pass	0			10.25912837099986	10.257779	524288
warmup	1	0	2	n-body	four-core	typerb-go	pass	0			6.169476680999878	6.186303	3969024
warmup	1	0	3	n-body	four-core	c	pass	0			2.9756782659999317	2.973831	524288
warmup	1	0	4	n-body	four-core	cpp	pass	0			2.739482978000069	2.737243	692224
warmup	1	0	5	n-body	four-core	go	pass	0			3.6002518020000025	3.603096	3395584
warmup	1	0	6	n-body	four-core	rust	pass	0			3.525601575999872	3.522314	970752
warmup	1	0	7	n-body	four-core	java	pass	0			4.972157201000073	4.94473	51097600
warmup	2	0	1	n-body	four-core	typerb-go	pass	0			6.172200127999986	6.1844	3805184
warmup	2	0	2	n-body	four-core	c	pass	0			2.9755249270001514	2.97351	524288
warmup	2	0	3	n-body	four-core	cpp	pass	0			2.7303062749999754	2.728628	684032
warmup	2	0	4	n-body	four-core	go	pass	0			3.598102451999921	3.604108	3436544
warmup	2	0	5	n-body	four-core	rust	pass	0			3.5024829200001477	3.499814	962560
warmup	2	0	6	n-body	four-core	java	pass	0			5.03682895299994	5.009189	51585024
warmup	2	0	7	n-body	four-core	typerb-native	pass	0			10.276788649999844	10.275337	524288
retained	3	1	1	n-body	four-core	c	pass	0			2.975694196000177	2.973546	524288
retained	3	1	2	n-body	four-core	cpp	pass	0			2.739384353999867	2.737234	700416
retained	3	1	3	n-body	four-core	go	pass	0			3.5988532020001003	3.604926	3416064
retained	3	1	4	n-body	four-core	rust	pass	0			3.533452486999977	3.531084	970752
retained	3	1	5	n-body	four-core	java	pass	0			4.993898066999918	4.961882	51589120
retained	3	1	6	n-body	four-core	typerb-native	pass	0			10.265899382000043	10.264162	524288
retained	3	1	7	n-body	four-core	typerb-go	pass	0			6.187090917999967	6.194893	4050944
retained	4	2	1	n-body	four-core	cpp	pass	0			2.735791346000042	2.734107	700416
retained	4	2	2	n-body	four-core	go	pass	0			3.5974630839998554	3.605693	3678208
retained	4	2	3	n-body	four-core	rust	pass	0			3.5288649940000596	3.526093	966656
retained	4	2	4	n-body	four-core	java	pass	0			4.973070747999827	4.944458	51421184
retained	4	2	5	n-body	four-core	typerb-native	pass	0			10.274108154000032	10.272736	524288
retained	4	2	6	n-body	four-core	typerb-go	pass	0			6.169455837999976	6.184081	4055040
retained	4	2	7	n-body	four-core	c	pass	0			2.975233229999958	2.973448	524288
retained	5	3	1	n-body	four-core	go	pass	0			3.6002824980000696	3.604311	3682304
retained	5	3	2	n-body	four-core	rust	pass	0			3.5189131679999264	3.516558	962560
retained	5	3	3	n-body	four-core	java	pass	0			4.989770521000082	4.958765	51499008
retained	5	3	4	n-body	four-core	typerb-native	pass	0			10.261685867000097	10.260405	524288
retained	5	3	5	n-body	four-core	typerb-go	pass	0			6.17188127899999	6.187238	3813376
retained	5	3	6	n-body	four-core	c	pass	0			2.9756651760001205	2.973748	524288
retained	5	3	7	n-body	four-core	cpp	pass	0			2.7333051439998144	2.731497	708608
retained	6	4	1	n-body	four-core	rust	pass	0			3.523722624999891	3.519809	970752
retained	6	4	2	n-body	four-core	java	pass	0			5.017851756000027	4.993688	51318784
retained	6	4	3	n-body	four-core	typerb-native	pass	0			10.274029257000166	10.271906	524288
retained	6	4	4	n-body	four-core	typerb-go	pass	0			6.194979318999913	6.188281	3813376
retained	6	4	5	n-body	four-core	c	pass	0			2.975390698999945	2.973474	524288
retained	6	4	6	n-body	four-core	cpp	pass	0			2.7384180439999	2.736492	696320
retained	6	4	7	n-body	four-core	go	pass	0			3.6023799449999387	3.602897	3657728
retained	7	5	1	n-body	four-core	java	pass	0			4.997138043999939	4.966416	50765824
retained	7	5	2	n-body	four-core	typerb-native	pass	0			10.256264138999995	10.255118	524288
retained	7	5	3	n-body	four-core	typerb-go	pass	0			6.183443707000151	6.195129	4263936
retained	7	5	4	n-body	four-core	c	pass	0			2.975429419999955	2.973322	524288
retained	7	5	5	n-body	four-core	cpp	pass	0			2.731740764000051	2.729459	684032
retained	7	5	6	n-body	four-core	go	pass	0			3.597710895000091	3.603792	3706880
retained	7	5	7	n-body	four-core	rust	pass	0			3.505254511999965	3.503411	962560
retained	8	6	1	n-body	four-core	typerb-native	pass	0			10.255575132000104	10.254185	524288
retained	8	6	2	n-body	four-core	typerb-go	pass	0			6.175672235999855	6.18873	3760128
retained	8	6	3	n-body	four-core	c	pass	0			2.9754755430001296	2.973217	524288
retained	8	6	4	n-body	four-core	cpp	pass	0			2.7340035199999875	2.730967	962560
retained	8	6	5	n-body	four-core	go	pass	0			3.5977571680000437	3.601308	3706880
retained	8	6	6	n-body	four-core	rust	pass	0			3.528182192000031	3.525179	970752
retained	8	6	7	n-body	four-core	java	pass	0			4.9956632920000175	4.969903	50978816
retained	9	7	1	n-body	four-core	typerb-go	pass	0			6.174580634999984	6.184759	3878912
retained	9	7	2	n-body	four-core	c	pass	0			2.975314441999899	2.973381	524288
retained	9	7	3	n-body	four-core	cpp	pass	0			2.7326104260000648	2.730926	708608
retained	9	7	4	n-body	four-core	go	pass	0			3.603019725999957	3.606566	3481600
retained	9	7	5	n-body	four-core	rust	pass	0			3.5275444829999287	3.524559	946176
retained	9	7	6	n-body	four-core	java	pass	0			4.970464672999924	4.940957	51494912
retained	9	7	7	n-body	four-core	typerb-native	pass	0			10.273620465000022	10.272428	524288
retained	10	8	1	n-body	four-core	c	pass	0			2.9755680660000507	2.973824	524288
