phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	one-core	typerb-native	pass	0			10.267820277000055	10.265709	446464
warmup	1	0	2	n-body	one-core	typerb-go	pass	0			6.179212220999943	6.167196	3092480
warmup	1	0	3	n-body	one-core	c	pass	0			2.9764413939999486	2.973808	524288
warmup	1	0	4	n-body	one-core	cpp	pass	0			2.736312613999985	2.732819	708608
warmup	1	0	5	n-body	one-core	go	pass	0			3.5993041579999954	3.592827	2637824
warmup	1	0	6	n-body	one-core	rust	pass	0			3.5327020439999615	3.530147	933888
warmup	1	0	7	n-body	one-core	java	pass	0			5.075435606000042	5.025629	49524736
warmup	2	0	1	n-body	one-core	typerb-go	pass	0			6.171446026000012	6.166357	3272704
warmup	2	0	2	n-body	one-core	c	pass	0			2.9764766939999845	2.97402	524288
warmup	2	0	3	n-body	one-core	cpp	pass	0			2.734911309999916	2.732558	692224
warmup	2	0	4	n-body	one-core	go	pass	0			3.597204154999986	3.592794	2654208
warmup	2	0	5	n-body	one-core	rust	pass	0			3.5050875519999636	3.502527	970752
warmup	2	0	6	n-body	one-core	java	pass	0			5.076700546999973	5.025813	49037312
warmup	2	0	7	n-body	one-core	typerb-native	pass	0			10.275176675000012	10.272834	524288
retained	3	1	1	n-body	one-core	c	pass	0			2.975903334999998	2.97329	524288
retained	3	1	2	n-body	one-core	cpp	pass	0			2.7338733419999244	2.730023	700416
retained	3	1	3	n-body	one-core	go	pass	0			3.597794070999953	3.593317	2646016
retained	3	1	4	n-body	one-core	rust	pass	0			3.5335719849999805	3.531037	970752
retained	3	1	5	n-body	one-core	java	pass	0			4.997098715999982	4.952219	48992256
retained	3	1	6	n-body	one-core	typerb-native	pass	0			10.265427773000056	10.263131	524288
retained	3	1	7	n-body	one-core	typerb-go	pass	0			6.175114320000034	6.166115	3014656
retained	4	2	1	n-body	one-core	cpp	pass	0			2.741671645999986	2.73885	708608
retained	4	2	2	n-body	one-core	go	pass	0			3.6012668189999886	3.594105	2646016
retained	4	2	3	n-body	one-core	rust	pass	0			3.536464584999976	3.533485	929792
retained	4	2	4	n-body	one-core	java	pass	0			5.013223539000023	4.968978	48812032
retained	4	2	5	n-body	one-core	typerb-native	pass	0			10.256590140000071	10.25454	524288
retained	4	2	6	n-body	one-core	typerb-go	pass	0			6.184597788000019	6.173424	3026944
retained	4	2	7	n-body	one-core	c	pass	0			2.976043679999975	2.973733	659456
retained	5	3	1	n-body	one-core	go	pass	0			3.6001210000000583	3.593694	2650112
retained	5	3	2	n-body	one-core	rust	pass	0			3.5388614429999734	3.535424	970752
retained	5	3	3	n-body	one-core	java	pass	0			5.045984159999989	5.00105	49020928
retained	5	3	4	n-body	one-core	typerb-native	pass	0			10.264074491999963	10.261799	524288
retained	5	3	5	n-body	one-core	typerb-go	pass	0			6.173607813999979	6.167651	3035136
retained	5	3	6	n-body	one-core	c	pass	0			2.9762860800000226	2.973787	524288
retained	5	3	7	n-body	one-core	cpp	pass	0			2.7418687080000836	2.73918	704512
retained	6	4	1	n-body	one-core	rust	pass	0			3.515170914999999	3.512524	974848
retained	6	4	2	n-body	one-core	java	pass	0			5.05452501700006	5.008242	49020928
retained	6	4	3	n-body	one-core	typerb-native	pass	0			10.264405988000021	10.261066	524288
retained	6	4	4	n-body	one-core	typerb-go	pass	0			6.174860065999951	6.169608	3264512
retained	6	4	5	n-body	one-core	c	pass	0			2.9763456020000376	2.974147	524288
retained	6	4	6	n-body	one-core	cpp	pass	0			2.7416631730000063	2.739232	688128
retained	6	4	7	n-body	one-core	go	pass	0			3.6010792260000244	3.594016	2650112
retained	7	5	1	n-body	one-core	java	pass	0			5.091189994000047	5.042761	49016832
retained	7	5	2	n-body	one-core	typerb-native	pass	0			10.262510979000012	10.260483	524288
retained	7	5	3	n-body	one-core	typerb-go	pass	0			6.17472822000002	6.166587	3014656
retained	7	5	4	n-body	one-core	c	pass	0			2.9760499440000103	2.973391	524288
retained	7	5	5	n-body	one-core	cpp	pass	0			2.73729925300006	2.735061	708608
retained	7	5	6	n-body	one-core	go	pass	0			3.59870933600007	3.591811	2629632
retained	7	5	7	n-body	one-core	rust	pass	0			3.5266044329999886	3.523037	974848
retained	8	6	1	n-body	one-core	typerb-native	pass	0			10.263430429000096	10.261242	524288
retained	8	6	2	n-body	one-core	typerb-go	pass	0			6.174109838000049	6.166813	3211264
retained	8	6	3	n-body	one-core	c	pass	0			2.976613585999985	2.97408	663552
retained	8	6	4	n-body	one-core	cpp	pass	0			2.7344308279999723	2.732102	704512
retained	8	6	5	n-body	one-core	go	pass	0			3.6026446570000417	3.593828	2654208
retained	8	6	6	n-body	one-core	rust	pass	0			3.5102246320000177	3.507671	974848
retained	8	6	7	n-body	one-core	java	pass	0			5.0813935900000615	5.035344	49319936
retained	9	7	1	n-body	one-core	typerb-go	pass	0			6.172209632999966	6.166978	3026944
retained	9	7	2	n-body	one-core	c	pass	0			2.976501403000043	2.973741	524288
retained	9	7	3	n-body	one-core	cpp	pass	0			2.73352859299996	2.731077	692224
retained	9	7	4	n-body	one-core	go	pass	0			3.598928972000067	3.592406	2654208
retained	9	7	5	n-body	one-core	rust	pass	0			3.5096307910000633	3.507028	970752
retained	9	7	6	n-body	one-core	java	pass	0			5.064002494999841	5.013936	49278976
retained	9	7	7	n-body	one-core	typerb-native	pass	0			10.272595567999815	10.270795	524288
retained	10	8	1	n-body	one-core	c	pass	0			2.9764516610000555	2.973261	524288
retained	10	8	2	n-body	one-core	cpp	pass	0			2.732582430999855	2.729945	688128
retained	10	8	3	n-body	one-core	go	pass	0			3.5997963400000117	3.593191	2727936
retained	10	8	4	n-body	one-core	rust	pass	0			3.5133434990000296	3.510759	950272
retained	10	8	5	n-body	one-core	java	pass	0			5.0573099719999846	5.012097	48984064
retained	10	8	6	n-body	one-core	typerb-native	pass	0			10.268824472999995	10.266568	524288
retained	10	8	7	n-body	one-core	typerb-go	pass	0			6.230363174999866	6.16572	3260416
retained	11	9	1	n-body	one-core	cpp	pass	0			2.733170880999978	2.730911	708608
retained	11	9	2	n-body	one-core	go	pass	0			3.5974311349998516	3.592688	2646016
retained	11	9	3	n-body	one-core	rust	pass	0			3.510619861999885	3.506743	958464
retained	11	9	4	n-body	one-core	java	pass	0			5.037869266000143	4.99376	49274880
retained	11	9	5	n-body	one-core	typerb-native	pass	0			10.265423872999918	10.263095	524288
retained	11	9	6	n-body	one-core	typerb-go	pass	0			6.1709627459999865	6.165002	3018752
retained	11	9	7	n-body	one-core	c	pass	0			2.975989715999958	2.973517	524288
retained	12	10	1	n-body	one-core	go	pass	0			3.59921949999989	3.591758	2621440
retained	12	10	2	n-body	one-core	rust	pass	0			3.5008961510000063	3.497851	974848
retained	12	10	3	n-body	one-core	java	pass	0			5.045219161999967	4.999994	49016832
retained	12	10	4	n-body	one-core	typerb-native	pass	0			10.264307061999943	10.261893	524288
retained	12	10	5	n-body	one-core	typerb-go	pass	0			6.175698151999995	6.164295	3260416
retained	12	10	6	n-body	one-core	c	pass	0			2.9762120729999424	2.973775	524288
retained	12	10	7	n-body	one-core	cpp	pass	0			2.740312754000115	2.738027	700416
retained	13	11	1	n-body	one-core	rust	pass	0			3.514272138000024	3.511806	970752
retained	13	11	2	n-body	one-core	java	pass	0			5.057917631000009	5.013044	49012736
retained	13	11	3	n-body	one-core	typerb-native	pass	0			10.269861435999928	10.267887	524288
retained	13	11	4	n-body	one-core	typerb-go	pass	0			6.177828297000133	6.16576	3100672
retained	13	11	5	n-body	one-core	c	pass	0			2.975734855000155	2.973443	663552
retained	13	11	6	n-body	one-core	cpp	pass	0			2.730671048999966	2.728387	688128
retained	13	11	7	n-body	one-core	go	pass	0			3.6013499439998213	3.593684	2650112
