phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	four-core	typerb-native	pass	0			3.3290353919999234	3.327313	1216512
warmup	1	0	2	spectral-norm	four-core	typerb-go	pass	0			5.63657679899984	5.64449	7872512
warmup	1	0	3	spectral-norm	four-core	c	pass	0			1.787224057000003	1.785426	679936
warmup	1	0	4	spectral-norm	four-core	cpp	pass	0			1.839769375999822	1.836778	954368
warmup	1	0	5	spectral-norm	four-core	go	pass	0			3.216236694000145	3.222396	4718592
warmup	1	0	6	spectral-norm	four-core	rust	pass	0			0.4624639300000126	1.800894	2236416
warmup	1	0	7	spectral-norm	four-core	java	pass	0			1.8988752220000151	1.883303	52314112
warmup	2	0	1	spectral-norm	four-core	typerb-go	pass	0			5.635694733000037	5.642853	7720960
warmup	2	0	2	spectral-norm	four-core	c	pass	0			1.7870089729999563	1.78532	679936
warmup	2	0	3	spectral-norm	four-core	cpp	pass	0			1.83871813199994	1.8369	958464
warmup	2	0	4	spectral-norm	four-core	go	pass	0			3.218404411999927	3.219419	4468736
warmup	2	0	5	spectral-norm	four-core	rust	pass	0			0.4594549369999186	1.799997	2244608
warmup	2	0	6	spectral-norm	four-core	java	pass	0			1.899358846000041	1.881824	52305920
warmup	2	0	7	spectral-norm	four-core	typerb-native	pass	0			3.32967620799991	3.327404	1220608
retained	3	1	1	spectral-norm	four-core	c	pass	0			1.7868348399999832	1.785208	684032
retained	3	1	2	spectral-norm	four-core	cpp	pass	0			1.838944440999967	1.83669	1196032
retained	3	1	3	spectral-norm	four-core	go	pass	0			3.2240340230000584	3.220319	4730880
retained	3	1	4	spectral-norm	four-core	rust	pass	0			0.4640116240000225	1.80005	2240512
retained	3	1	5	spectral-norm	four-core	java	pass	0			1.891689771000074	1.876334	52568064
retained	3	1	6	spectral-norm	four-core	typerb-native	pass	0			3.3262064450000253	3.324547	1204224
retained	3	1	7	spectral-norm	four-core	typerb-go	pass	0			5.636617280999872	5.643834	8237056
retained	4	2	1	spectral-norm	four-core	cpp	pass	0			1.8391288050002004	1.836617	950272
retained	4	2	2	spectral-norm	four-core	go	pass	0			3.2224316869999257	3.220491	4468736
retained	4	2	3	spectral-norm	four-core	rust	pass	0			0.45877146600014385	1.800887	2244608
retained	4	2	4	spectral-norm	four-core	java	pass	0			1.8987713149999763	1.878515	52293632
retained	4	2	5	spectral-norm	four-core	typerb-native	pass	0			3.328914032000057	3.326066	1204224
retained	4	2	6	spectral-norm	four-core	typerb-go	pass	0			5.636082537999982	5.646003	7942144
retained	4	2	7	spectral-norm	four-core	c	pass	0			1.7874677100001009	1.785631	675840
retained	5	3	1	spectral-norm	four-core	go	pass	0			3.218152234000172	3.221962	4468736
retained	5	3	2	spectral-norm	four-core	rust	pass	0			0.4924786359999871	1.801953	2224128
retained	5	3	3	spectral-norm	four-core	java	pass	0			1.89810726099995	1.880121	52559872
