phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	one-core	typerb-native	pass	0			3.325936813999988	3.324673	1200128
warmup	1	0	2	spectral-norm	one-core	typerb-go	pass	0			5.639892024999995	5.62998	7225344
warmup	1	0	3	spectral-norm	one-core	c	pass	0			1.7884012950000852	1.785684	700416
warmup	1	0	4	spectral-norm	one-core	cpp	pass	0			1.8394736000000194	1.836747	675840
warmup	1	0	5	spectral-norm	one-core	go	pass	0			3.221808069999952	3.213437	3678208
warmup	1	0	6	spectral-norm	one-core	rust	pass	0			1.8006103310000299	1.795161	1441792
warmup	1	0	7	spectral-norm	one-core	java	pass	0			1.947496602000001	1.890201	50053120
warmup	2	0	1	spectral-norm	one-core	typerb-go	pass	0			5.6416682000000264	5.630556	7192576
warmup	2	0	2	spectral-norm	one-core	c	pass	0			1.7874786930000255	1.7854	692224
warmup	2	0	3	spectral-norm	one-core	cpp	pass	0			1.8390801160001047	1.836868	704512
warmup	2	0	4	spectral-norm	one-core	go	pass	0			3.217574302999992	3.212954	3690496
warmup	2	0	5	spectral-norm	one-core	rust	pass	0			1.7981308890000491	1.795024	1437696
warmup	2	0	6	spectral-norm	one-core	java	pass	0			1.9244305419999819	1.880768	50057216
warmup	2	0	7	spectral-norm	one-core	typerb-native	pass	0			3.3280771720000075	3.32588	1204224
retained	3	1	1	spectral-norm	one-core	c	pass	0			1.7877008259999911	1.785371	671744
retained	3	1	2	spectral-norm	one-core	cpp	pass	0			1.8394184210000049	1.836824	937984
retained	3	1	3	spectral-norm	one-core	go	pass	0			3.2213266580000663	3.212767	3678208
retained	3	1	4	spectral-norm	one-core	rust	pass	0			1.7987453579999055	1.795087	1462272
retained	3	1	5	spectral-norm	one-core	java	pass	0			1.9328937720000567	1.889826	50061312
retained	3	1	6	spectral-norm	one-core	typerb-native	pass	0			3.327815439999995	3.325878	1208320
retained	3	1	7	spectral-norm	one-core	typerb-go	pass	0			5.637857955000072	5.630159	7278592
retained	4	2	1	spectral-norm	one-core	cpp	pass	0			1.8394766579999668	1.837265	962560
retained	4	2	2	spectral-norm	one-core	go	pass	0			3.2168384519999336	3.212525	3694592
retained	4	2	3	spectral-norm	one-core	rust	pass	0			1.7983994719999146	1.794767	1454080
retained	4	2	4	spectral-norm	one-core	java	pass	0			1.9381924639999397	1.89398	50040832
retained	4	2	5	spectral-norm	one-core	typerb-native	pass	0			3.329389730999992	3.326171	1196032
retained	4	2	6	spectral-norm	one-core	typerb-go	pass	0			5.634018910000009	5.629283	6942720
retained	4	2	7	spectral-norm	one-core	c	pass	0			1.7877565910000612	1.785655	806912
retained	5	3	1	spectral-norm	one-core	go	pass	0			3.2169979369999737	3.21244	3682304
retained	5	3	2	spectral-norm	one-core	rust	pass	0			1.7982428069999514	1.795171	1458176
retained	5	3	3	spectral-norm	one-core	java	pass	0			1.9365516880000087	1.88707	50122752
retained	5	3	4	spectral-norm	one-core	typerb-native	pass	0			3.3271514839999554	3.325212	1208320
retained	5	3	5	spectral-norm	one-core	typerb-go	pass	0			5.634755622999933	5.629128	7454720
retained	5	3	6	spectral-norm	one-core	c	pass	0			1.7875628099999403	1.785381	688128
retained	5	3	7	spectral-norm	one-core	cpp	pass	0			1.8394281399999954	1.836699	950272
retained	6	4	1	spectral-norm	one-core	rust	pass	0			1.7975204520000716	1.794589	1433600
retained	6	4	2	spectral-norm	one-core	java	pass	0			1.944058383999959	1.889234	42663936
retained	6	4	3	spectral-norm	one-core	typerb-native	pass	0			3.3286408940000456	3.325856	1224704
