case	language	archive_path	source_sha256	expected_sha256	artifact_bytes
fannkuch-redux	c	fannkuchredux/fannkuchredux.gcc	d109b20a1ef2dcc601d3fc3dca2b7d06f423b72d3a0fa650afb4cef5fa8e9a18	2dc0a3cd4a547ba69389f97f3b447bd4d487fe6216c3cacd2f9bf8c908dc127f	70648
fannkuch-redux	cpp	fannkuchredux/fannkuchredux.gpp-3.gpp	fccf786c37f0ad3939f77727cacc2ce629aed85b6e0963eeab5ae8cb4c12d06f	2dc0a3cd4a547ba69389f97f3b447bd4d487fe6216c3cacd2f9bf8c908dc127f	70912
fannkuch-redux	go	fannkuchredux/fannkuchredux.go-8.go	b2f253a103bb797863b132e10b522034451f395bca02ec470a3e98c2031f742b	2dc0a3cd4a547ba69389f97f3b447bd4d487fe6216c3cacd2f9bf8c908dc127f	2381555
fannkuch-redux	rust	fannkuchredux/fannkuchredux.rust-2.rust	9238cf9dd91b245c4b07de2a6985785c7683e40fcd510f8b817076e7c4ba3d1c	2dc0a3cd4a547ba69389f97f3b447bd4d487fe6216c3cacd2f9bf8c908dc127f	4664888
fannkuch-redux	java	fannkuchredux/fannkuchredux.java-3.java	03438b4110e6e72a29aee4cada71ff0e7ab807b8648a59f5b3c7dceb89a6ee49	2dc0a3cd4a547ba69389f97f3b447bd4d487fe6216c3cacd2f9bf8c908dc127f	3839
n-body	c	nbody/nbody.gcc	6c7a44f4f242b8aafb2e72c1814f67c5568b3815abe0a19a005fe20645a03676	76de83d6d51a74f82828547423f516e7815cfe8cfea6290a2831aa173f806de7	70856
n-body	cpp	nbody/nbody.gpp-2.gpp	1a7d07478068e12230b4800b0da54d2b76b02c588d1d42adc82a6d223474c1b2	76de83d6d51a74f82828547423f516e7815cfe8cfea6290a2831aa173f806de7	71336
n-body	go	nbody/nbody.go-8.go	a684e611ada6c41073ddf7f4e0d01e35632f4f34b3b67064a811049fbbd86d4b	76de83d6d51a74f82828547423f516e7815cfe8cfea6290a2831aa173f806de7	2382167
n-body	rust	nbody/nbody.rust	1097288b773ff0666c453ad91aa9c04024cff3e12e548565d10435ca4e1980d3	76de83d6d51a74f82828547423f516e7815cfe8cfea6290a2831aa173f806de7	4651312
n-body	java	nbody/nbody.java-4.java	6172dfc2c9b08f2396c176dd12174353a6463437ca53055328d73b8ddaa22084	76de83d6d51a74f82828547423f516e7815cfe8cfea6290a2831aa173f806de7	4019
spectral-norm	c	spectralnorm/spectralnorm.gcc-8.gcc	5ae8e0c4d2cb97b744d682e4e974a22b727b5209ecc3293d4d1581ccf86d7574	a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6	70696
spectral-norm	cpp	spectralnorm/spectralnorm.gpp	2842f77e9fcbdb31f4b722005348c76735b52671ccd99794f2cb780484b127e2	a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6	71952
spectral-norm	go	spectralnorm/spectralnorm.go-8.go	8f277cc7c9f4b0cb287c9bd697d047fc8d40562d960030d9c718a948073dd6ab	a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6	2382139
spectral-norm	rust	spectralnorm/spectralnorm.rust-3.rust	6b8fca569218ac7cff178ce4da8e44cccae1c8668b1e5f0e2d2876e80c7b2424	a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6	4673736
spectral-norm	java	spectralnorm/spectralnorm.java-8.java	3b9fb7ad8840638e4193e91a6c46209756faa72a14fa0fb5d9aba4dd33f06a7f	a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6	1428
