/home/runner/work/_temp/baseline-compiler  :
section                size     addr
.interp                  27      624
.note.ABI-tag            32      652
.note.gnu.build-id       24      684
.dynsym                 984      712
.gnu.version             82     1696
.gnu.version_r           48     1780
.gnu.hash                28     1832
.dynstr                 366     1860
.rela.dyn               240     2232
.rela.plt               912     2472
.eh_frame               144     3384
.text                252192    69120
.init                    24   321312
.fini                    20   321336
.plt                    640   321360
.fini_array               8   387536
.init_array               8   387544
.dynamic                432   387552
.got                     40   387984
.got.plt                328   388024
.relro_padding          768   388352
.tm_clone_table           0   453888
.data                 55802   453888
.bss                  56600   509696
.comment                 72        0
Total                369821
