/home/runner/work/_temp/candidate-compiler  :
section                size     addr
.interp                  27      624
.note.ABI-tag            32      652
.note.gnu.build-id       24      684
.dynsym                 984      712
.gnu.version             82     1696
.gnu.version_r           48     1780
.gnu.hash                28     1832
.dynstr                 366     1860
.rela.dyn               240     2232
.rela.plt               912     2472
.eh_frame               144     3384
.text                235856    69120
.init                    24   304976
.fini                    20   305000
.plt                    640   305024
.fini_array               8   371200
.init_array               8   371208
.dynamic                432   371216
.got                     40   371648
.got.plt                328   371688
.relro_padding          720   372016
.tm_clone_table           0   437552
.data                 55746   437552
.bss                  56600   493304
.comment                 72        0
Total                353381
